'land_unit_id;soil_type;salinity;depth;flood_time'
'LU_P_12_1_;P;12;1;'
'LU_P_12_2_;P;12;2;'
'LU_P_8_1_;P;8;1;'
'LU_Sj1M_8_1_;Sj1M;8;1;'
'LU_Sj1M_8_2_;Sj1M;8;2;'
'LU_Sj1M_2_2_;Sj1M;2;2;'
'LU_Sj1M_2_1_;Sj1M;2;1;'
'LU_Sj1M_12_1_;Sj1M;12;1;'
'LU_Sj1M_12_2_;Sj1M;12;2;'
'LU_M_12_2_;M;12;2;'
'LU_M_12_1_;M;12;1;'
'LU_M_8_2_;M;8;2;'
'LU_M_8_1_;M;8;1;'
'LU_M_4_2_;M;4;2;'
'LU_M_4_1_;M;4;1;'
'LU_M_2_2_;M;2;2;'
'LU_M_2_1_;M;2;1;'
'LU_Cz_8_1_;Cz;8;1;'
'LU_Cz_8_2_;Cz;8;2;'
'LU_Cz_4_1_;Cz;4;1;'
'LU_Cz_4_2_;Cz;4;2;'
'LU_Cz_12_1_;Cz;12;1;'
'LU_Cz_12_2_;Cz;12;2;'
'LU_Cz_2_2_;Cz;2;2;'
'LU_Cz_2_1_;Cz;2;1;'
'LU_Sp2M_4_2_;Sp2M;4;2;'
'LU_Sp2M_4_1_;Sp2M;4;1;'
'LU_Sj2P_8_1_;Sj2P;8;1;'
'LU_Sj2P_8_2_;Sj2P;8;2;'
'LU_Sj2P_4_2_;Sj2P;4;2;'
'LU_Sj2P_4_1_;Sj2P;4;1;'
'LU_Sj2P_2_1_;Sj2P;2;1;'
'LU_Sj2P_2_2_;Sj2P;2;2;'
'LU_Sj2P_12_1_;Sj2P;12;1;'
'LU_Mn/c_12_2_;Mn/c;12;2;'
'LU_Mn/c_12_1_;Mn/c;12;1;'
'LU_Mn/c_2_2_;Mn/c;2;2;'
'LU_Mn/c_2_1_;Mn/c;2;1;'
'LU_Mn/c_8_2_;Mn/c;8;2;'
'LU_Mn/c_8_1_;Mn/c;8;1;'
'LU_Mn/c_4_2_;Mn/c;4;2;'
'LU_Mn/c_4_1_;Mn/c;4;1;'
