'2030',tong_luc,tong_luk,tong_lua_tom,tong_tsl,tong_bhk,proportion_ago_supported,proportion_aqua_supported,dt_tsl_risk,dt_lua_caqrisk,budget_supported,
2030,622725,796475,200750,574975,231525,0.3,0.3,0,30150,0,
2030,508650,913800,200250,575300,230000,0.3,0.3,0,0,16426,
2030,508800,913725,199650,573900,230400,0.4,0.3,0,0,16727,
2030,501125,913000,201475,573450,221950,0.5,0.3,0,0,17023,
2030,506100,913550,201025,572750,232325,0.6,0.3,0,0,17377,
2030,503175,911450,199625,573500,232275,0.7,0.3,0,0,17714,
2030,506475,897775,200100,573650,231400,0.8,0.3,0,0,17929,
2030,504675,913300,199250,572750,230050,0.9,0.3,0,0,18261,
2030,505550,914975,195300,580450,230375,0.3,0.4,0,0,14791,
2030,506750,908950,195575,579900,230375,0.4,0.4,0,0,15148,
2030,504625,912850,196025,578300,232150,0.5,0.4,0,0,15114,
2030,505000,913800,194825,580175,231525,0.6,0.4,0,0,15683,
2030,505475,912775,194650,575800,230975,0.7,0.4,0,0,15973,
2030,509325,914350,194850,580425,231350,0.8,0.4,0,0,16337,
2030,506525,911925,195075,579225,232025,0.9,0.4,0,0,16465,
2030,505475,914400,189600,585500,231425,0.3,0.5,0,0,12987,
2030,504975,915550,187900,585975,230750,0.4,0.5,0,0,13423,
2030,507650,913850,185975,587625,232325,0.5,0.5,0,0,13779,
2030,505400,914000,188775,586975,231625,0.6,0.5,0,0,13971,
2030,506450,911125,186400,588600,231650,0.7,0.5,0,0,14304,
2030,508700,914275,186500,588875,230350,0.8,0.5,0,0,14641,
2030,497725,914875,187425,584000,231600,0.9,0.5,0,0,15074,
2030,504825,912250,175975,596525,231650,0.3,0.6,0,0,11249,
2030,507475,914250,175500,598650,231300,0.4,0.6,0,0,11769,
2030,506100,914200,176150,594875,230250,0.5,0.6,0,0,12123,
2030,508775,903025,177100,593500,230050,0.6,0.6,0,0,12280,
2030,505800,913100,177075,597300,230900,0.7,0.6,0,0,12480,
2030,505825,914350,176925,596350,229950,0.8,0.6,0,0,12898,
2030,505625,881525,177250,595975,230300,0.9,0.6,0,0,13182,
2030,506475,914750,164200,607875,230900,0.3,0.7,0,0,9141,
2030,507075,911675,165525,606000,231575,0.4,0.7,0,0,9392,
2030,508850,912300,165650,608525,231125,0.5,0.7,0,0,9697,
2030,506700,914675,166175,605225,230875,0.6,0.7,0,0,10020,
2030,509725,908250,166700,606950,229600,0.7,0.7,0,0,10247,
2030,503775,913950,165025,609500,231575,0.8,0.7,0,0,10519,
2030,508925,913825,165725,609175,232200,0.9,0.7,0,0,10832,
2030,503525,911950,157550,614625,231175,0.3,0.8,0,0,6503,
2030,507175,887200,158950,614725,231175,0.4,0.8,0,0,6910,
2030,471200,912850,158125,612375,230200,0.5,0.8,0,0,7069,
2030,504900,914975,157375,617875,231025,0.6,0.8,0,0,7425,
2030,509750,913475,157450,617150,230900,0.7,0.8,0,0,7824,
2030,506975,911475,157725,617600,231925,0.8,0.8,0,0,8064,
2030,507300,912625,157550,615275,232125,0.9,0.8,0,0,8429,
2030,506050,887725,152425,622750,231025,0.3,0.9,0,0,3844,
2030,505950,913800,150800,621400,231325,0.4,0.9,0,0,4145,
2030,506400,914375,151275,622725,231025,0.5,0.9,0,0,4356,
2030,506700,913100,150800,624350,231125,0.6,0.9,0,0,4822,
2030,507650,912000,150950,624575,231125,0.7,0.9,0,0,4991,
2030,505375,913350,151425,621525,232025,0.8,0.9,0,0,5333,
2030,508100,915075,151025,623025,232075,0.9,0.9,0,0,5525,
2030,514725,907150,151825,623975,230700,0.1,0.1,0,0,4236,221064
2030,507800,910525,151200,624950,230700,0.2,0.1,0,0,4605,222380
2030,509850,910900,152100,624125,231600,0.3,0.1,0,0,4813,227778
2030,506975,910425,151000,624450,230825,0.4,0.1,0,0,5047,230038
2030,505700,912650,151225,622525,231625,0.5,0.1,0,0,5236,222720
2030,507600,911850,151325,623775,230925,0.6,0.1,0,0,5345,223680
2030,506075,912500,150725,624250,232250,0.7,0.1,0,0,5452,220224
2030,507825,912175,151550,622450,231325,0.8,0.1,0,0,5738,218880
2030,512325,907375,156750,616750,229475,0.1,0.2,0,0,6819,189214
2030,510225,909925,158050,615200,231175,0.2,0.2,0,0,7279,194074
2030,506125,913325,158725,615175,231400,0.3,0.2,0,0,7596,181632
2030,509350,912800,157275,618550,232050,0.4,0.2,0,0,7658,191808
2030,507525,911075,158325,614550,230525,0.5,0.2,0,0,7996,192576
2030,508800,912425,158500,616650,230875,0.6,0.2,0,0,8276,186432
2030,508475,914400,157900,618350,229875,0.7,0.2,0,0,8206,187584
2030,505750,914775,157350,618525,230975,0.8,0.2,0,0,8334,194880
2030,518550,901200,165575,610325,230500,0.1,0.3,0,0,9320,156936
2030,509825,912150,167000,606425,230575,0.2,0.3,0,0,9928,150572
2030,508075,912350,166525,609575,232925,0.3,0.3,0,0,10011,152706
2030,508975,904175,166700,608000,232300,0.4,0.3,0,0,10354,149568
2030,506550,912775,166450,609075,231825,0.5,0.3,0,0,10513,152832
2030,496800,913525,165675,602250,231475,0.6,0.3,0,0,10642,158016
2030,505625,914850,165675,610050,231050,0.7,0.3,0,0,10828,156672
2030,505575,912950,165850,608925,223450,0.8,0.3,0,0,10968,153408
2030,511275,879650,177150,595375,231700,0.1,0.4,0,0,11539,120116
2030,510550,912525,174600,598375,230925,0.2,0.4,0,0,12146,121986
2030,508350,902075,175850,597375,231075,0.3,0.4,0,0,12232,120598
2030,508650,912425,176450,596775,232375,0.4,0.4,0,0,12729,127296
2030,509525,912250,175425,600025,230825,0.5,0.4,0,0,12767,118656
2030,506825,902725,176125,596925,232600,0.6,0.4,0,0,12974,118464
2030,505725,911975,175900,596400,230825,0.7,0.4,0,0,13146,111360
2030,505650,912000,175500,599500,231100,0.8,0.4,0,0,12962,115392
2030,514350,905525,187675,587850,230900,0.1,0.5,0,0,13334,88200
2030,509350,910650,185950,586700,231475,0.2,0.5,0,0,14048,87020
2030,508650,911800,185625,587725,231050,0.3,0.5,0,0,14211,96214
2030,510475,912500,187200,588450,231125,0.4,0.5,0,0,14551,87936
2030,505625,913350,186450,585950,231250,0.5,0.5,0,0,14664,86016
2030,508725,910875,188450,586800,230050,0.6,0.5,0,0,14890,79104
