year,tong_luc,tong_luk,tong_lua_tom,tong_tsl,tong_bhk,tong_lnk,climate_maxTAS_thuysan,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,dt_tsl_risk,dt_lua_caqrisk
2015,861750.0,716625.0,183950.0,573875.0,145600.0,502525.0,30.0,400.0,28.0,100.0,40450.0,51550.0
2016,818800.0,724300.0,179025.0,587975.0,171350.0,502775.0,30.0,400.0,28.0,100.0,42550.0,51150.0
2017,786275.0,730925.0,174050.0,594275.0,189800.0,504775.0,30.0,400.0,28.0,100.0,43025.0,49900.0
2018,761750.0,739250.0,170575.0,601875.0,200925.0,509425.0,30.0,400.0,28.0,100.0,46775.0,49075.0
2019,743775.0,746250.0,167150.0,606825.0,208075.0,514050.0,30.0,400.0,28.0,100.0,45750.0,48425.0
2020,726925.0,752775.0,164100.0,610275.0,212775.0,519650.0,30.0,400.0,28.0,100.0,68525.0,61275.0
2021,710450.0,755650.0,161075.0,611775.0,216550.0,523250.0,30.0,400.0,28.0,100.0,67700.0,58975.0
2022,698525.0,763400.0,158750.0,617000.0,220075.0,527300.0,30.0,400.0,28.0,100.0,68250.0,58300.0
2023,686125.0,767150.0,156300.0,618200.0,223025.0,531075.0,30.0,400.0,28.0,100.0,69725.0,56150.0
2024,673975.0,773525.0,153850.0,621225.0,225200.0,536300.0,30.0,400.0,28.0,100.0,68800.0,56650.0
2025,662050.0,779075.0,150250.0,623350.0,227100.0,533900.0,30.0,400.0,28.0,100.0,33300.0,44175.0
2026,651550.0,781550.0,149250.0,625775.0,228850.0,544500.0,30.0,400.0,28.0,100.0,32900.0,43725.0
2027,642525.0,787525.0,147375.0,628000.0,229900.0,547450.0,30.0,400.0,28.0,100.0,34450.0,43050.0
2028,633175.0,792075.0,146700.0,626600.0,230675.0,551150.0,30.0,400.0,28.0,100.0,33100.0,42675.0
2029,626025.0,797000.0,145450.0,628450.0,230900.0,554675.0,30.0,400.0,28.0,100.0,33275.0,42450.0
2015,858525.0,715225.0,184475.0,570150.0,145350.0,502425.0,30.0,400.0,28.0,150.0,39425.0,52625.0
2016,819400.0,725125.0,179025.0,586850.0,171300.0,501675.0,30.0,400.0,28.0,150.0,41450.0,50725.0
2017,785950.0,733100.0,174200.0,596225.0,189825.0,505075.0,30.0,400.0,28.0,150.0,45225.0,50875.0
2018,761400.0,739650.0,170525.0,602725.0,201425.0,509500.0,30.0,400.0,28.0,150.0,44175.0,48700.0
2019,742200.0,743550.0,167025.0,603575.0,208600.0,512325.0,30.0,400.0,28.0,150.0,45050.0,48300.0
2020,725500.0,751850.0,164000.0,608300.0,213175.0,517600.0,30.0,400.0,28.0,150.0,67450.0,59425.0
2021,711500.0,757500.0,161125.0,611275.0,216750.0,522575.0,30.0,400.0,28.0,150.0,68750.0,58850.0
2022,699750.0,763550.0,158700.0,616300.0,219775.0,527350.0,30.0,400.0,28.0,150.0,70300.0,58475.0
2023,685875.0,766525.0,156150.0,615850.0,222800.0,530200.0,30.0,400.0,28.0,150.0,68525.0,58350.0
2024,674850.0,772625.0,153650.0,622450.0,225150.0,534675.0,30.0,400.0,28.0,150.0,69200.0,55900.0
