climat_code,Nam,thang,tmax_avg,tmax_max,ttb,pre_min
1,2016,1,30.26,31.64,30.95,0
1,2016,2,31.37,33.32,32.345,0
1,2016,3,32.84,34.35,33.595,0
1,2016,4,33.96,35.48,34.72,0
1,2016,5,33.46,35.43,34.445,42
1,2016,6,32.3,36.48,34.39,0
1,2016,7,32.02,33.66,32.84,57.3
1,2016,8,31.05,33.56,32.305,0
1,2016,9,31.3,32.7,32,147
1,2016,10,31.04,32.51,31.775,0
1,2016,11,31.08,32.62,31.85,0
1,2016,12,30.24,32.31,31.275,0
1,2017,1,30.59,32.94,31.765,0
1,2017,2,31.18,33.6,32.39,0
1,2017,3,32.81,34.92,33.865,0
1,2017,4,33.9,35.24,34.57,0
1,2017,5,33.45,35.78,34.615,0
1,2017,6,32.34,34.32,33.33,0
1,2017,7,31.7,33.33,32.515,88.5
1,2017,8,31.25,33.22,32.235,0
1,2017,9,31.23,32.79,32.01,124.5
1,2017,10,30.96,31.97,31.465,0
1,2017,11,31.15,33.27,32.21,0
1,2017,12,30.37,33.38,31.875,0
1,2018,1,30.38,33.1,31.74,0
1,2018,2,31.48,33.43,32.455,0
1,2018,3,32.5,33.98,33.24,0
1,2018,4,34.05,35.58,34.815,0
1,2018,5,33.79,36.22,35.005,0
1,2018,6,32.19,33.83,33.01,64.8
1,2018,7,31.93,32.99,32.46,0
1,2018,8,31.38,33.28,32.33,34.8
1,2018,9,31.17,32.01,31.59,75.3
1,2018,10,31.11,32.32,31.715,165.9
1,2018,11,31.08,32.53,31.805,40.8
1,2018,12,30.18,32,31.09,0
1,2019,1,30.53,32.94,31.735,0
1,2019,2,31.18,32.74,31.96,0
1,2019,3,32.92,34.62,33.77,0
1,2019,4,33.92,35.36,34.64,0
1,2019,5,33.44,36.08,34.76,37.5
1,2019,6,32.23,33.94,33.085,69.3
1,2019,7,32.12,33.78,32.95,54
1,2019,8,31.71,33.06,32.385,97.8
1,2019,9,31.26,32.76,32.01,0
1,2019,10,31.24,32.71,31.975,102.6
1,2019,11,31,32.18,31.59,27
1,2019,12,30.15,32.32,31.235,0
1,2020,1,30.21,31.85,31.03,0
1,2020,2,31.5,32.65,32.075,0
1,2020,3,32.89,34.29,33.59,0
1,2020,4,34.17,35.81,34.99,0.3
1,2020,5,33.45,36.82,35.135,0
1,2020,6,32.61,33.83,33.22,28.8
1,2020,7,31.8,32.84,32.32,49.2
1,2020,8,31.46,33.27,32.365,35.1
1,2020,9,31.26,32.83,32.045,0
1,2020,10,31.42,32.29,31.855,68.4
1,2020,11,31.31,33.16,32.235,27.9
1,2020,12,30.29,31.96,31.125,0
1,2021,1,30.64,32.57,31.605,0
1,2021,2,31.32,33.38,32.35,0
1,2021,3,32.94,34.93,33.935,0
1,2021,4,34.15,35.58,34.865,0
1,2021,5,33.69,37.56,35.625,29.1
1,2021,6,32.63,34.46,33.545,93.6
1,2021,7,31.49,33.16,32.325,48.9
1,2021,8,31.35,33.23,32.29,0
1,2021,9,31.42,32.86,32.14,94.2
1,2021,10,31.29,32.25,31.77,94.2
1,2021,11,30.89,32.31,31.6,0
1,2021,12,30.15,32.72,31.435,2.1
1,2022,1,30.25,32.05,31.15,0
1,2022,2,31.68,33.41,32.545,0
1,2022,3,33.17,34.68,33.925,0
1,2022,4,33.97,35.34,34.655,0
1,2022,5,33.39,36.28,34.835,0
1,2022,6,32.73,34.52,33.625,0
1,2022,7,31.96,33.52,32.74,90.3
1,2022,8,31.27,32.68,31.975,87.3
1,2022,9,31.22,32.6,31.91,114.6
1,2022,10,31.13,32.07,31.6,0
1,2022,11,31.19,32.99,32.09,0
1,2022,12,30.41,33.26,31.835,0
1,2023,1,30.49,32.72,31.605,0
1,2023,2,31.53,33.16,32.345,0
1,2023,3,33.07,35.41,34.24,0
1,2023,4,33.98,35.48,34.73,0
1,2023,5,33.65,36.23,34.94,23.7
1,2023,6,32.35,34.38,33.365,0
1,2023,7,31.95,33.79,32.87,69
1,2023,8,31.37,33.61,32.49,59.7
1,2023,9,31.36,33.03,32.195,64.8
1,2023,10,31.26,32.33,31.795,147.9
1,2023,11,31.38,33.43,32.405,6.9
1,2023,12,30.39,32.41,31.4,0.9
1,2024,1,30.67,33.84,32.255,0
1,2024,2,31.5,33.34,32.42,0
1,2024,3,33.01,34.71,33.86,0
1,2024,4,34.1,35.44,34.77,2.1
1,2024,5,33.63,36.39,35.01,45.9
1,2024,6,32.04,33.28,32.66,75.6
1,2024,7,31.72,32.84,32.28,72.3
1,2024,8,31.37,33.48,32.425,80.7
1,2024,9,31.46,33.33,32.395,96.6
1,2024,10,31.12,32.54,31.83,114.6
1,2024,11,31.36,33,32.18,45.3
1,2024,12,30.28,33.1,31.69,0
1,2025,1,30.49,32.67,31.58,0
1,2025,2,31.51,33.31,32.41,0
1,2025,3,33.37,34.81,34.09,0
1,2025,4,34.31,36.55,35.43,0.3
1,2025,5,33.53,35.9,34.715,31.5
1,2025,6,32.53,33.9,33.215,0
1,2025,7,31.93,33.57,32.75,72.6
1,2025,8,31.69,33.25,32.47,95.4
1,2025,9,31.5,33.23,32.365,86.7
1,2025,10,31.33,32.5,31.915,66.3
1,2025,11,30.92,32.63,31.775,0
1,2025,12,30.18,32.38,31.28,0.3
1,2026,1,30.49,31.81,31.15,0
1,2026,2,31.65,33.4,32.525,0
1,2026,3,33.4,35.32,34.36,0
1,2026,4,34.45,35.7,35.075,0
1,2026,5,33.74,36.27,35.005,23.1
1,2026,6,32.45,34.09,33.27,0
1,2026,7,32.15,33.51,32.83,86.4
