ID_1;Tên tỉnh;Pr_2015_1;Pr_2015_2;Pr_2015_3;Pr_2015_4;Pr_2015_5;Pr_2015_6;Pr_2015_7;Pr_2015_8;Pr_2015_9;Pr_2015_10;Pr_2015_11;Pr_2015_12;Pr_2020_1;Pr_2020_2;Pr_2020_3;Pr_2020_4;Pr_2020_5;Pr_2020_6;Pr_2020_7;Pr_2020_8;Pr_2020_9;Pr_2020_10;Pr_2020_11;Pr_2020_12;Pr_2025_1;Pr_2025_2;Pr_2025_3;Pr_2025_4;Pr_2025_5;Pr_2025_6;Pr_2025_7;Pr_2025_8;Pr_2025_9;Pr_2025_10;Pr_2025_11;Pr_2025_12;Pr_2030_1;Pr_2030_2;Pr_2030_3;Pr_2030_4;Pr_2030_5;Pr_2030_6;Pr_2030_7;Pr_2030_8;Pr_2030_9;Pr_2030_10;Pr_2030_11;Pr_2030_12;Pr_2035_1;Pr_2035_2;Pr_2035_3;Pr_2035_4;Pr_2035_5;Pr_2035_6;Pr_2035_7;Pr_2035_8;Pr_2035_9;Pr_2035_10;Pr_2035_11;Pr_2035_12;Pr_2040_1;Pr_2040_2;Pr_2040_3;Pr_2040_4;Pr_2040_5;Pr_2040_6;Pr_2040_7;Pr_2040_8;Pr_2040_9;Pr_2040_10;Pr_2040_11;Pr_2040_12;Pr_2045_1;Pr_2045_2;Pr_2045_3;Pr_2045_4;Pr_2045_5;Pr_2045_6;Pr_2045_7;Pr_2045_8;Pr_2045_9;Pr_2045_10;Pr_2045_11;Pr_2045_12;Pr_2050_1;Pr_2050_2;Pr_2050_3;Pr_2050_4;Pr_2050_5;Pr_2050_6;Pr_2050_7;Pr_2050_8;Pr_2050_9;Pr_2050_10;Pr_2050_11;Pr_2050_12
3;Dong Thap;68.04;47.34;130.90;259.98;464.29;381.90;366.78;374.96;391.90;362.39;167.26;116.42;51.93;92.45;133.89;247.18;385.37;416.14;344.34;385.91;414.57;370.76;206.26;123.96;75.83;52.19;119.61;250.46;391.94;432.62;367.41;367.94;352.96;318.55;163.62;88.68;65.83;68.99;141.98;238.86;373.11;338.19;392.91;399.37;476.77;334.93;170.13;104.21;59.46;67.31;108.56;235.92;438.63;269.84;345.42;326.35;436.25;299.49;203.76;125.28;83.08;93.02;131.18;246.56;319.17;336.25;350.42;357.53;383.12;357.50;239.34;127.16;83.55;79.06;127.39;227.81;410.68;295.24;373.00;408.43;358.84;306.44;191.95;129.79;153.37;60.88;182.36;227.39;373.50;388.74;311.17;360.90;435.57;309.14;180.59;113.62
7;An Giang;68.49;52.76;148.46;268.00;463.57;367.85;349.44;350.13;354.55;357.96;165.77;115.13;58.25;89.06;146.69;264.86;392.54;420.22;322.69;365.92;383.40;364.80;213.22;127.56;74.28;61.11;133.00;252.50;378.72;411.96;344.83;347.39;333.16;322.09;169.86;100.62;66.04;79.83;152.11;247.42;376.01;333.96;370.52;387.87;433.22;332.74;181.36;109.99;60.67;72.03;125.64;256.87;452.06;261.58;317.45;301.59;393.07;308.78;204.56;135.11;81.26;97.07;137.84;268.96;323.29;333.69;333.36;332.42;351.03;363.63;237.60;124.98;85.59;83.41;135.68;233.76;421.01;291.26;371.61;390.28;329.87;304.39;202.88;137.18;153.28;60.19;196.24;229.65;350.66;398.45;291.83;325.92;396.49;304.22;177.89;133.23
13;Bac Lieu;76.24;46.92;117.31;211.13;361.13;281.13;273.42;261.43;288.09;335.73;212.17;134.79;58.91;109.61;118.66;206.77;316.33;308.65;269.58;313.80;333.44;309.53;214.59;134.91;108.18;103.03;91.70;184.57;278.15;299.10;252.28;310.22;283.95;261.99;177.75;128.97;70.99;86.42;130.34;183.42;249.16;259.67;313.25;322.59;416.63;320.39;209.43;116.71;75.67;81.13;102.44;210.04;289.83;167.01;282.21;290.30;302.73;312.39;277.37;169.54;98.31;108.25;110.67;260.64;255.60;211.36;272.76;278.78;310.48;323.86;277.38;157.56;80.92;100.76;109.96;120.06;316.03;208.51;254.71;313.68;304.25;253.21;205.80;135.41;142.28;68.98;155.49;167.51;255.57;261.86;198.90;304.85;334.72;269.70;246.45;152.55
17;Ben Tre;62.59;44.25;112.12;225.91;431.57;364.99;379.78;365.47;395.15;343.68;178.69;116.94;47.77;107.48;134.66;218.50;377.58;380.44;377.01;401.33;424.32;346.83;207.61;129.70;79.26;47.47;84.26;226.41;385.76;403.57;359.33;383.63;343.81;258.67;158.00;94.72;59.73;67.82;135.56;200.02;300.33;325.93;435.04;434.17;495.61;314.65;187.23;82.12;77.84;64.41;89.72;235.63;378.63;242.40;402.04;366.11;414.53;292.87;257.18;131.56;87.30;84.65;111.74;237.03;292.94;278.52;372.28;384.98;383.18;333.48;291.47;135.09;73.89;73.19;118.34;166.71;373.83;273.55;363.73;417.88;358.03;262.53;184.68;141.03;158.74;55.76;195.35;189.54;334.68;349.72;309.10;396.12;451.72;287.79;213.83;98.06
18;Ca Mau;69.00;42.07;95.54;145.92;350.30;248.90;215.43;211.31;322.12;304.67;185.72;109.98;51.62;92.35;105.05;173.70;332.62;279.61;205.80;274.44;268.25;230.58;163.47;122.55;92.69;86.81;91.66;142.97;273.90;287.91;201.38;275.94;237.45;179.31;164.09;121.24;61.08;84.16;111.13;131.22;241.86;200.43;305.42;311.28;345.29;295.30;199.68;100.54;68.16;83.23;84.81;179.54;241.75;119.94;271.74;228.32;292.18;242.81;234.98;150.01;80.13;99.79;89.29;189.75;221.87;140.18;227.98;195.29;270.44;310.69;242.95;156.63;74.68;89.29;92.04;77.17;290.27;185.42;181.83;204.77;262.97;184.20;161.98;117.48;119.57;57.96;124.48;104.42;216.69;202.96;121.11;247.26;278.82;201.99;249.79;163.97
20;Can Tho;86.41;67.83;166.58;300.44;478.16;373.25;375.04;376.43;389.42;383.34;199.90;143.63;68.48;131.76;168.05;279.86;399.61;415.40;356.32;405.68;423.36;401.89;244.72;138.94;102.19;75.67;146.25;272.04;390.66;431.56;370.32;403.79;362.89;341.09;182.26;109.16;89.18;88.15;179.63;269.34;370.88;347.49;394.56;415.67;491.74;363.63;203.16;137.12;78.79;91.78;143.51;261.06;446.40;273.32;349.35;346.38;428.09;357.92;244.83;162.30;118.36;117.45;153.86;290.59;340.03;333.56;370.94;365.60;386.44;356.35;276.28;153.83;94.94;111.25;155.69;239.20;410.87;282.17;374.22;423.05;370.48;340.62;240.88;150.02;182.32;80.21;223.89;259.16;384.97;391.05;308.74;373.20;430.59;341.87;206.83;146.87
31;Hau Giang;95.72;70.85;176.15;316.12;477.06;377.85;378.35;376.65;392.09;409.67;228.63;161.64;72.82;144.08;172.79;281.30;394.54;412.22;364.99;412.93;443.93;425.59;264.10;148.10;116.11;84.90;139.71;267.96;368.69;425.57;369.71;413.71;373.19;359.99;194.68;122.08;94.16;92.73;186.92;280.93;361.33;351.68;391.35;414.70;519.32;367.98;218.21;140.76;87.55;94.15;146.99;270.48;431.16;269.63;355.89;371.19;427.01;394.92;273.58;178.06;128.86;129.45;154.02;314.68;341.70;329.97;378.23;373.65;398.19;380.47;295.17;165.90;103.63;118.56;152.43;227.89;408.60;281.19;370.93;430.93;392.93;350.28;259.94;156.61;189.15;87.47;223.05;275.03;384.35;381.03;304.55;393.51;433.02;365.65;224.26;155.75
33;Kien Giang;69.15;52.24;130.47;208.15;479.69;330.91;295.30;262.69;331.71;306.04;174.50;118.19;59.56;99.49;131.39;231.25;474.12;419.86;286.98;317.14;321.03;281.20;189.22;132.74;83.53;79.48;114.58;232.87;384.61;408.18;289.55;289.96;241.69;233.75;168.06;103.74;68.74;79.57;140.50;189.42;351.91;279.83;381.40;339.06;368.53;298.50;185.97;111.27;63.86;87.57;107.58;260.42;423.75;195.01;301.47;265.00;350.53;257.67;207.10;147.75;91.10;99.09;115.85;229.50;303.57;247.12;295.65;258.00;285.05;328.77;227.45;141.34;78.13;94.90;118.60;152.10;430.96;257.87;299.25;302.97;273.78;234.54;196.33;137.01;144.60;65.15;166.65;164.42;311.90;347.76;214.13;289.97;350.06;240.84;199.19;147.08
39;Long An;64.80;37.26;111.25;243.18;462.73;399.32;386.81;388.94;412.23;358.25;166.66;104.80;43.81;83.88;120.51;229.74;389.02;414.89;369.43;399.51;446.79;358.84;182.16;115.96;71.61;42.99;95.86;246.22;364.77;450.43;395.51;378.04;357.41;291.71;165.02;81.21;57.11;62.74;122.38;220.49;362.55;346.97;442.79;436.26;501.48;320.58;155.67;91.19;60.06;57.13;92.30;227.35;423.50;270.81;374.72;354.05;477.07;284.51;198.28;115.93;78.16;79.71;118.43;208.81;320.00;330.31;371.56;383.16;406.02;348.78;231.80;119.71;80.77;60.78;121.77;214.29;407.57;295.27;392.34;429.37;379.75;286.92;180.82;122.25;145.88;61.72;158.71;207.75;383.27;390.69;335.41;400.98;472.38;302.78;173.31;94.35
51;Soc Trang;74.08;43.77;112.77;215.58;382.22;311.52;312.57;289.20;333.07;337.38;207.82;126.42;53.39;126.53;133.62;195.22;335.97;329.27;303.62;347.21;354.60;332.57;211.07;131.51;104.36;72.01;80.41;188.01;305.30;333.07;290.97;334.02;307.67;264.12;169.17;108.69;66.70;79.96;129.87;184.43;258.81;279.11;357.24;351.98;458.10;334.51;201.22;101.47;73.47;67.99;93.37;215.14;315.74;189.38;322.31;318.57;343.17;296.45;271.16;159.62;95.98;100.18;107.05;258.38;262.68;231.01;307.07;313.25;335.44;327.03;291.48;145.82;77.42;92.49;106.72;127.10;331.33;226.39;281.07;341.92;325.90;251.53;203.39;131.80;147.02;63.17;148.02;179.69;275.17;283.39;226.73;334.08;368.72;289.32;235.52;123.41
