,Lending rate
year,RL
1997,14.417
1998,14.4
1999,12.7
2000,10.55
2001,9.42
2002,9.062
2003,9.48
2004,9.722
2005,11.025
2006,11.176
2007,11.18
2008,15.784
2009,10.069
2010,13.135
2011,16.954
2012,13.472
2013,10.374
2014,8.665
2015,7.118
2016,6.96
2017,7.067
2018,7.372
2019,7.707
2020,7.871
2021,8.087
2022,8.341
2023,8.687
2024,9.032
2025,9.263
2026,9.362
2027,9.366
2028,9.341
2029,9.325
2030,9.281
2031,9.205
2032,9.113
2033,9.022
2034,8.938
2035,8.856
2036,8.773
2037,8.698
2038,8.641
2039,8.609
2040,8.597
2041,8.598
2042,8.61
2043,8.633
2044,8.668
2045,8.71
2046,8.754
2047,8.799
2048,8.845
2049,8.892
2050,8.936
2051,8.977
2052,9.006
2053,9.028
2054,9.044
2055,9.055
2056,9.063
2057,9.07
2058,9.076
2059,9.084
2060,9.093
2061,9.102
2062,9.11
2063,9.12
2064,9.131
2065,9.141
2066,9.153
2067,9.171
2068,9.194
2069,9.216
2070,9.233
2071,9.248
2072,9.264
2073,9.278
2074,9.286
2075,9.288
2076,9.29
2077,9.295
2078,9.297
2079,9.295
2080,9.293
2081,9.298
2082,9.306
2083,9.311
2084,9.314
2085,9.324
2086,9.342
2087,9.356
2088,9.362
2089,9.372
2090,9.394
2091,9.416
2092,9.422
2093,9.424
2094,9.445
2095,9.477
2096,9.484
2097,9.47
2098,9.481
2099,9.526
