'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt','total_wu'
2015,'B2',0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.026444844400004,0.0,0.0,0.0,0.0,12.837561301090002,0.0,14.188883543310002,27.026444844400004,13238603.499998692
2016,'B2',0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.69858786,49.009910660399996,1.2931450480000002,0.0,0.0,0.0,33.52788206909,0.0,26.473761499309997,60.00164356839999,13087139.89999874
2017,'B2',0.5,32.643819594977536,232.50393956422656,0.0,31.311418795182536,0.0,0.6662003998975,241.16454476289394,119.62165384308788,149.9830181073002,486.95323657327316,93.26805598565018,0.0,0.0,88.75017692620253,154.55849277622045,1144.8072179240696,1388.115887626491,13019850.74999876
2018,'B2',0.5,32.643819594977536,474.2505800420748,0.0,67.5010356331825,0.0,0.6662003998975,477.8446388834223,253.5232361436877,172.42058054686018,1000.1220033360943,93.26805598565018,0.0,0.0,103.22602366140251,326.0972765883408,2142.9168503160804,2572.2401505659677,12986665.299998768
2019,'B2',0.5,230.1070371693514,8031.805189417516,145.3329281347395,114.10235498073466,12996.812907441024,2.2459061404925,802.5779018813608,1358.196572472005,365.79894059874556,4263.192802818565,218.0648094926543,0.0,0.0,625.4404725937886,21525.615289111218,6293.421247870516,28528.23735054465,12971901.399998767
2020,'B2',0.5,741.7152814962171,16164.63185653348,2968.710875595948,282.5511891501375,27605.573819687343,134.0241974009851,1155.955312581126,3284.907318796866,1363.610890976939,7482.470938777948,350.43139318329264,0.0,0.0,1861.811456041447,48083.58428620663,11204.715444953117,61534.58307415276,12965341.299998768
2021,'B2',0.5,1099.4715112984093,24680.205767893363,3123.275460316272,329.4415687844023,43106.3108443045,134.89253776458258,1485.830363360216,7361.0935282479295,2296.8468733365953,10276.944607833013,468.43139524457223,0.0,0.0,2736.7213929958225,74913.58011252833,16235.8874795853,94362.74445833411,12961645.399998773
2022,'B2',0.5,1315.4322184163364,24867.55629586319,3288.4761721714385,336.8248408226225,43106.3108443045,136.73835577413757,1791.3132439415574,7972.98219841539,2450.271188661293,10945.130727291898,604.0990189468624,0.0,0.0,3383.3799674277693,75175.6862698852,17779.513394021924,96815.13510454999,12959430.549998775
2023,'B2',0.5,1367.4300112554108,25191.54254355325,3482.46793776337,343.8245437048048,43106.3108443045,139.73822843793008,2026.30326927199,7972.98219841539,2602.5046426628596,11680.09952992079,754.0926521364833,0.0,0.0,3463.267992959588,75464.67400316373,19262.79893202847,98667.29640136336,12958857.799998775
2024,'B2',0.5,1646.0444773462639,25546.829982870804,3482.46793776337,419.41761590000544,43106.3108443045,140.81812946929008,2444.22496840827,8528.05132853461,2858.138542302208,12478.146392096089,754.0926521364833,0.0,0.0,4164.290155015539,75710.89143831375,21046.443657713324,101404.54287107756,12960051.099998776
2025,'B2',0.5,1706.2084048039278,25549.100319756,3482.46793776337,426.2286265555904,43106.3108443045,140.81812946929008,2621.311245453505,8528.05132853461,3022.121663978964,13285.251154782702,925.5030869687128,0.0,0.0,4247.034190825178,75943.60096904618,22119.819962410424,102793.37274232531,12958713.749998774
2026,'B2',0.5,1706.2084048039278,25710.24047854572,3717.8021264990666,426.2286265555904,43106.3108443045,141.9774111872001,2829.981954677275,8540.803427431618,3168.1911604356033,13883.440521224176,1085.4839640402918,0.0,0.0,4274.856952055015,76268.19985006095,23290.69449749944,104316.66891965167,12958961.649998777
2027,'B2',0.5,2193.5181842317456,26100.088302088378,3928.7177272293866,503.9661389881202,43106.3108443045,301.51634524684,3225.6310851174253,9398.236586948206,4751.268777002754,14673.578520724577,1283.5107044176384,0.0,0.0,5640.086234249962,77539.73830311012,25803.601058850058,109466.34321622895,12959111.649998777
2028,'B2',0.5,2688.6465435762634,38213.64431928449,4133.001455909992,575.5231512943276,65028.06352508428,309.47004168626245,3675.6224543516037,15434.564644505503,6205.542014626945,18243.628119502442,1457.6613326650108,0.0,0.0,6891.858920941006,115756.01898859334,32691.781500190787,155965.36760235584,12959100.599998776
