'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2015,'B2',0.5,16330.240499998128,38992.12624999752,33779.800999997344,9974.283250000755,72705.88799999467,16314.582499999684,12862.68424999996,41839.0144999966,22916.551249996282,24915.915249997866,23019.61824999892,25386.10624999869,14460.988000000376,47834.080999992,167869.15124999065,134771.45349998533,353497.79925005266
2016,'B2',0.5,16320.415249998126,39385.08674999748,33925.200749997326,9946.178250000748,73829.44049999466,16239.163749999687,12855.60524999996,43520.97249999649,23038.954749996297,25031.917999997862,22944.480499998892,25951.475749998714,14462.921500000377,47704.35524999199,171261.07999999175,135463.2647499853,357451.81350005255
2017,'B2',0.5,16244.419999998147,39261.121999997566,34015.98349999732,9855.826750000753,74670.87674999461,16194.867749999685,12311.741249999986,44587.52099999642,22951.11024999636,24118.797999997732,22714.93674999899,26264.27699999872,14471.595750000379,47548.396499991984,173565.76699999234,133525.79974998595,357663.07675005205
2018,'B2',0.5,16317.77524999813,39712.73799999751,34115.90524999731,9831.182250000762,75382.52224999458,16174.183999999672,12324.373499999983,45752.71524999624,23215.477499996316,24190.465249997742,22933.41449999889,26468.111249998718,14473.994000000379,47595.004999992,175799.46249999333,134475.2772499858,360892.8582500515
2019,'B2',0.5,15990.680249998224,29394.891999998326,33956.736999997396,9769.839000000751,56463.02774999617,16152.463499999667,12247.444249999995,45014.78424999613,22988.300999996394,20134.296749997993,22732.322499998994,26611.54424999871,14473.994000000379,46672.49324999226,145853.7747499907,130540.35224998635,325930.3265000477
2020,'B2',0.5,15437.185999998343,29539.334499998287,29980.638999997955,9672.875000000724,55125.97174999632,15974.088749999722,12240.513499999997,44331.05774999587,21962.387249996493,20225.261499997992,22740.61174999899,26703.780999998704,14473.33925000038,45561.361249992435,140177.8314999911,130032.86274998653,318407.0470000434
2021,'B2',0.5,15733.001749998308,29421.271249998288,34090.79349999741,9773.433500000752,55412.799749996324,16140.933499999654,12337.43374999998,42132.77449999554,22221.388249996457,21417.06374999793,22748.993749998997,26775.111999998702,14480.270000000377,46145.94024999236,142834.10174999098,130786.07499998648,322685.26925004413
2022,'B2',0.5,15944.188749998244,41617.095249997285,34156.79724999741,9884.019750000753,76833.88649999448,16133.04749999965,12371.059749999975,47202.65549999561,23232.41499999639,24264.95349999774,22765.28374999898,26818.7389999987,14485.806250000374,46566.56424999229,180208.0814999946,135912.18849998596,365709.9477500517
2023,'B2',0.5,16243.497249998149,41723.563499997326,34182.733749997424,9888.405750000751,77029.14099999447,16126.911499999651,12581.801749999977,48529.970749995184,23270.536999996395,24394.422999997747,22763.15199999899,26866.274999998703,14488.944250000375,47461.944999992,180942.70899999508,136661.5889999858,368089.3565000523
2024,'B2',0.5,15935.630749998245,41957.764249997315,34518.234999997345,9777.293750000752,77187.49924999446,16114.304749999661,12391.955749999981,48117.53899999525,23131.469749996424,24365.23799999775,22980.713249998887,26884.4484999987,14488.944250000375,46564.879499992254,181599.08549999548,136670.8884999859,367851.03625005216
2025,'B2',0.5,16255.80874999814,42585.836499997175,34561.153499997345,9884.233750000752,77335.22199999446,16126.496999999648,12662.425749999962,49163.748999994896,23361.432249996393,24419.711249997752,22789.96599999898,26890.724499998698,14488.944250000375,47482.26524999199,182223.07449999548,137797.25124998557,370525.7045000526
2026,'B2',0.5,16330.370749998136,42508.73549999724,34323.51449999743,9898.853750000748,77444.82274999446,16126.691249999645,12627.33774999999,49389.61199999478,23445.05749999638,24712.490499997773,22770.45174999899,26900.8782499987,14491.342500000375,47567.421749992005,182481.63274999594,137897.99074998565,370970.15875005233
2027,'B2',0.5,15743.405249998306,42378.243999997314,34338.80149999742,9805.285750000758,77544.89299999447,15942.701499999712,12334.937749999983,48451.557999994926,22143.64849999651,24357.603749997746,22747.438999999,26902.357749998697,14491.342500000375,45821.78649999242,181953.24249999598,136384.07574998616,367182.2182500492
2028,'B2',0.5,15731.566249998314,30924.808999998157,34347.22549999743,9828.677750000761,56007.161749996325,16110.294249999657,12382.69424999998,43474.642499995054,22126.214499996517,21689.264999997922,22806.47599999897,26903.097499998694,14491.342500000375,46009.45849999238,145990.30724999084,131966.92549998645,326823.466750042
2029,'B2',0.5,15933.322249998251,42610.65849999731,34639.85824999734,9806.74775000076,77754.56399999445,16121.345249999646,12379.011749999976,49228.97999999469,23433.0429999964,24394.15374999775,22989.225999998886,26903.837249998694,14494.480500000376,46666.165749992244,183576.98599999642,137422.96299998584,370689.22825005255
