'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit','total_benefit_5','total_benefit_34'
2015,'B1',0.2,16365.460999998128,38960.94574999752,33763.01549999735,9994.939000000762,72724.41699999466,16284.745749999684,12814.038999999962,41865.32849999659,22886.86749999629,24919.02524999786,23065.5229999989,25379.295499998694,14440.51050000037,47849.23349999201,167725.49524999066,134866.27099998534,353464.1132500525,50763.56399998766,157743.86999999022
2015,'B1',0.1,16309.964749998138,39038.521999997516,33766.52674999735,10034.461750000768,72697.53449999467,16323.85174999968,12811.21224999996,41849.37274999661,22832.037999996308,24902.96324999786,23033.070249998906,25340.8194999987,14518.479500000376,47814.265249992015,167817.35324999064,134804.08499998532,353458.8170000525,50766.48799998766,157743.86999999022
2015,'B1',1.0,16310.646499998129,39123.06199999751,33793.53949999734,10004.165250000757,72709.24749999466,16307.03299999968,12794.659249999957,41777.20849999661,22838.1722499963,24892.549499997862,23083.610749998887,25397.789499998693,14439.301250000366,47796.032999992014,167791.77374999065,134860.06449998534,353470.9847500527,50754.79199998766,157750.80074999022
2015,'B1',0.5,16303.742999998132,39018.12374999752,33803.26149999734,10020.983000000768,72721.97499999465,16333.999499999685,12850.574999999959,41826.27024999662,22863.619249996296,24878.409749997867,23007.79099999892,25394.47674999869,14444.512500000368,47848.145249992005,167765.44099999065,134831.0404999853,353467.7402500525,50759.17799998766,157743.86999999022
2016,'B1',1.0,16301.222749998124,39530.31824999747,33929.747749997325,9975.65875000075,73829.17599999465,16233.22024999968,12787.580249999957,43447.06899999651,22953.104249996315,25000.48374999786,23004.800249998876,25956.882999998717,14442.027000000367,47651.060999992,171196.70499999178,135520.41174998533,357391.2912500525,100323.90199997187,321642.2459999792
2016,'B1',0.2,16356.037249998128,39368.165749997475,33914.41624999733,9966.834000000756,73849.11074999465,16209.32699999969,12809.69649999996,43534.85324999649,23004.9109999963,25027.397249997855,22984.44749999888,25950.94099999872,14442.444000000369,47714.67224999201,171115.57724999165,135565.2184999853,357418.5815000524,100348.75599997187,321628.3844999792
2016,'B1',0.5,16286.437249998127,39411.04799999748,33948.946999997315,9995.276250000763,73837.22274999465,16259.785249999684,12843.094499999957,43508.98674999651,22989.524999996313,24991.546999997867,22934.649999998892,25959.84624999871,14454.317250000371,47701.075999992,171174.0324999917,135522.4612499853,357420.68325005245,100334.13599997187,321628.3844999792
2016,'B1',0.1,16300.540999998137,39431.48249999747,33905.87299999734,10008.353500000763,73826.99349999466,16248.834499999679,12804.133249999959,43519.25549999651,22953.370249996326,25020.427999997853,22955.195999998887,25912.866499998723,14525.949250000378,47670.56774999201,171220.58974999175,135499.00574998528,357413.27675005235,100344.36999997187,321628.3844999792
2017,'B1',0.2,16298.60299999813,39273.11674999756,34005.19899999732,9898.10075000075,74704.72199999461,16165.030999999688,12274.604499999983,44601.86999999642,22911.82499999637,24106.587999997737,22779.365249998966,26264.143749998726,14445.58200000037,47578.249499992,173429.67399999234,133697.71399998595,357728.75100005185,146625.44199995714,490059.4709999679
2017,'B1',1.0,16219.33599999815,39431.58674999754,34024.58724999731,9884.059250000746,74657.42149999463,16187.060749999671,12286.11424999999,44583.87074999641,22843.900749996385,24059.58574999774,22774.00849999897,26276.699999998724,14445.165000000368,47488.17824999198,173517.49624999237,133644.60849998592,357673.39650005195,146552.34199995716,490066.4017499679
2017,'B1',0.1,16215.961249998161,39313.74499999756,34002.191999997325,9907.768000000755,74660.00424999461,16201.212999999665,12307.26724999999,44638.39149999642,22859.37824999639,24051.751999997727,22728.844499998984,26216.253749998737,14532.225250000378,47495.200499992,173522.58899999238,133594.09299998594,357634.9960000518,146549.41799995716,490052.5402499679
2017,'B1',0.5,16210.441999998151,39301.70324999756,34038.98999999731,9900.538750000755,74664.36324999463,16216.95124999967,12284.824499999995,44629.51899999641,22892.207499996373,23996.554999997734,22683.979249998996,26263.973249998722,14456.715500000371,47556.80499999198,173426.32374999239,133534.52024998592,357540.76250005123,146442.6919999572,490045.6094999679
2018,'B1',1.0,16310.680749998131,39909.63224999748,34123.02949999732,9872.261000000753,75349.02174999459,16167.83899999966,12258.504499999994,45652.572999996206,23136.963499996327,24154.478749997743,22997.66449999887,26486.07049999872,14445.165000000368,47557.843499992,175742.1052499933,134540.82174998583,360863.8840000516,192886.0459999424,662489.600251117
2018,'B1',0.2,16357.61324999813,39713.93099999751,34098.84474999732,9874.606500000758,75402.31324999458,16144.347249999675,12296.702749999999,45743.97424999624,23184.990749996316,24194.644999997734,22979.709999998875,26478.71224999872,14448.72000000037,47609.668999992005,175654.64249999312,134631.6859999858,360919.1110000513,193011.77799994237,662475.7387511169
