'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit','total_benefit_5','total_benefit_34',
2015,'B2',0.2,16332.3035,39022.43,33776.18725,10023.3805,72687.97275,16362.9545,12815.767,41826.815,22795.8585,24921.569,23058.34525,25411.62875,14447.5395,47822.35525,167786.3927,134850.89,353482.7515,50750.406,157743.87
2015,'B2',1,16340.372,39078.68425,33796.5425,9961.09225,72667.377,16327.5865,12821.2115,41842.372,22843.89175,24912.18075,23054.869,25375.93075,14461.6205,47848.29525,167814.5445,134797.7775,353483.7308,50757.716,157743.87
2015,'B2',0.5,16353.55475,39061.88225,33765.00325,9964.2665,72741.795,16317.80125,12847.8735,41785.8825,22884.38375,24860.2225,23045.166,25419.5325,14409.70925,47812.6165,167761.8887,134859.4542,353457.073,50766.488,157736.9392
2015,'B2',0.1,16313.611,39032.3325,33785.20825,10004.72975,72693.44875,16366.726,12777.13425,41862.747,22828.39625,24932.30325,23055.836,25449.89075,14378.188,47843.5175,167805.8287,134808.092,353480.5518,50748.944,157750.8007
2016,'B2',0.1,16300.24625,39415.7625,33934.549,9976.22325,73800.30725,16292.51175,12772.4535,43553.55325,22939.15625,25049.3665,22977.96175,26015.26025,14379.3185,47689.014,171202.4552,135492.0872,357406.67,100296.124,321642.246
2016,'B2',0.2,16318.93875,39413.9285,33926.3835,10000.81175,73811.44075,16288.33875,12811.826,43512.713,22915.87275,25033.867,22988.32475,25978.65675,14453.12825,47681.191,171192.6827,135557.2432,357454.2305,100312.206,321628.3845
2016,'B2',0.5,16340.5915,39459.57175,33903.20825,9935.76,73860.58225,16243.1855,12843.19275,43470.72,23002.9795,24968.193,22964.8935,25981.02425,14423.39175,47662.0975,171160.9135,135551.1695,357397.294,100344.37,321614.523
2016,'B2',1,16323.46775,39474.51025,33941.08675,9935.3855,73790.9295,16253.37225,12819.66875,43520.36675,22949.65025,25020.15125,22973.7935,25940.5605,14462.01125,47696.50175,171206.8115,135478.5275,357404.9543,100318.054,321628.3845
2017,'B2',0.1,16221.327,39369.663,34024.592,9887.33375,74646.388,16248.21575,12234.12575,44618.63975,22865.2975,24128.9365,22742.50675,26324.9235,14388.7325,47557.92325,173560.7912,133558.8537,357700.6818,146501.172,490094.1247
2017,'B2',0.5,16256.43975,39371.07425,33998.04775,9851.2565,74700.79275,16197.4275,12334.84475,44591.88575,22880.88875,23997.67575,22722.40575,26294.227,14434.46425,47494.336,173501.6832,133612.2977,357631.4305,146533.336,490024.8172
2017,'B2',1,16250.353,39398.06575,34035.92625,9854.95625,74622.83525,16208.67475,12316.74075,44607.12575,22867.723,24067.178,22800.01975,26247.8255,14468.28725,47541.272,173482.2585,133699.0672,357745.7113,146580.12,490080.2632
2017,'B2',0.2,16244.1915,39329.817,34023.62125,9906.07425,74658.74725,16243.64125,12276.734,44586.80775,22833.5555,24076.887,22770.60125,26282.78375,14462.54225,47533.96225,173530.93,133607.9982,357696.004,146507.02,490059.471
2018,'B2',0.1,16297.543,39718.795,34114.181,9862.1635,75339.214,16227.1305,12272.24275,45762.44125,23129.8975,24131.40275,22967.57225,26533.55425,14397.40675,47594.849,175737.68,134397.902,360753.5445,192714.992,662517.3233
2018,'B2',0.5,16342.9705,39817.75875,34086.897,9829.22425,75394.603,16177.80425,12331.58075,45688.3215,23178.4395,24096.0885,22965.23825,26498.06125,14440.0005,47571.60075,175705.8465,134546.4272,360846.988,192846.572,662441.085
2018,'B2',1,16325.17025,39872.1045,34130.31175,9836.15975,75322.6365,16187.991,12311.7025,45736.6865,23130.09425,24103.72675,22977.27625,26468.15275,14468.28725,47595.448,175727.1505,134524.588,360870.3,192902.128,662503.4618
2018,'B2',0.2,16323.37775,39758.1545,34121.14475,9888.95375,75351.57325,16222.9575,12334.98075,45754.5245,23104.83125,24183.95,22974.79725,26480.342,14462.54225,47591.469,175760.2622,134587.2847,360962.1295,192913.824,662475.7388
2019,'B2',0.2,15972.93425,29655.97875,33936.0875,9855.9455,57012.88775,16200.1765,12228.90875,45173.3075,22889.3205,20504.85,22779.14275,26615.10075,14468.0785,46726.0445,147045.4472,130615.9365,327292.719,237588.158,803710.5623
2019,'B2',0.1,15984.38925,29629.9645,33942.69225,9831.357,56637.964,16205.0085,12221.01525,45243.95175,22917.072,20697.17325,22769.22525,26668.313,14400.54475,46674.30275,146886.456,130682.6212,327148.6708,237441.958,803565.0165
2019,'B2',1,15983.45525,29752.0395,33954.651,9781.74725,56405.3075,16166.2705,12198.7655,45041.609,22910.909,20652.9165,22743.1015,26602.9115,14470.6855,46699.15275,146280.409,130786.4477,326664.3695,237525.292,803163.033
2019,'B2',0.5,16035.558,28916.249,33892.01625,9799.87975,56653.934,16156.08375,12295.3795,45180.88675,22982.355,20523.635,22782.8925,26635.958,14440.0005,46775.185,146214.1177,130407.1652,326294.828,237561.842,802650.1575
2020,'B2',0.2,15478.524,29760.09975,30093.349,9784.141,55453.6135,15990.75325,12259.08625,44635.49875,21880.9905,20366.984,22760.05975,26707.3375,14473.61475,45601.68775,141020.536,130400.6982,319644.052,281525.644,938569.0958
2020,'B2',1,15417.1155,30021.11375,30378.5425,9680.75775,54803.509,15987.89575,12221.32075,44418.15225,21862.64825,20424.547,22747.16525,26697.5465,14473.8235,45498.7965,140922.5872,130084.6932,319134.1378,281402.836,937605.7215
2020,'B2',0.1,15464.8265,29695.9845,30182.401,9736.17925,54533.76025,16040.49525,12188.728,44406.16825,21952.10925,20632.063,22761.24025,26760.54975,14400.54475,45593.7545,140135.2605,130418.7665,318755.05,281411.608,937522.5525
2020,'B2',0.5,15459.09775,29788.79125,30217.75125,9697.049,55594.8995,15929.19375,12304.24875,44204.90175,21974.972,20353.67175,22756.39225,26729.85325,14440.0005,45463.81625,140739.5432,130577.818,319450.8228,281439.386,937425.522
2021,'B2',0.2,15753.33775,29739.65925,34094.40775,9874.2275,54964.1975,16188.904,12302.9895,42093.44975,22006.95875,21418.221,22791.2435,26785.68425,14473.61475,46183.861,142436.919,130926.1707,322486.8953,325280.38,1076899.935
2021,'B2',0.1,15681.92125,30178.66775,34094.7495,9829.48275,55484.7145,16191.615,12240.50175,41935.603,22097.79775,21553.759,22797.75475,26832.6205,14400.54475,46055.69975,143388.3215,130977.351,323319.7323,325001.138,1076886.074
2021,'B2',1,15741.18675,29694.2255,34119.4545,9782.07475,55649.56225,16152.877,12319.0275,42236.7785,21941.50825,21612.3365,22780.9125,26772.417,14473.8235,46192.33575,143280.5095,130870.3255,323276.1845,325134.18,1076782.112
2021,'B2',0.5,15746.907,29566.858,34050.402,9804.59325,54987.66075,16144.55375,12330.075,42095.784,22127.41525,21537.7085,22777.90875,26801.18425,14443.1385,46125.81325,142638.2182,130751.7975,322414.189,325119.56,1075804.877
2022,'B2',0.5,16009.45825,41692.225,34173.7015,9880.0915,76819.82725,16138.12975,12390.251,47149.16275,23235.55875,24254.568,22805.6615,26854.22525,14445.53675,46566.9555,180153.0517,136105.2765,365848.3973,369457.634,1257328.15
2022,'B2',1,15974.90625,41758.7655,34179.4685,9880.02875,76764.47025,16149.1895,12306.806,47189.3225,23161.161,24283.126,22809.61475,26819.182,14488.77375,46604.0785,180200.2137,135937.409,365764.8148,369359.68,1258305.386
2022,'B2',0.1,15963.41525,41671.4285,34165.107,9918.87875,76781.04775,16186.2515,12294.35225,47214.45875,23146.40225,24337.5065,22817.91775,26885.6615,14408.47925,46580.27075,180221.548,135965.9747,365790.907,369277.808,1258402.416
2022,'B2',0.2,15988.78975,41621.51475,34166.456,9942.9415,76780.337,16182.48,12324.588,47179.17275,23124.11225,24343.57075,22799.01425,26829.31125,14476.75275,46577.9955,180212.1045,135945.8275,365759.041,369521.962,1258416.278
2023,'B2',0.1,16239.84725,41794.23625,34276.0625,9923.47875,76967.9975,16183.0395,12503.31825,48559.81075,23234.226,24404.337,22799.7215,26930.0595,14408.47925,47483.65725,180929.918,136787.9252,368224.614,414788.406,1441395.008
2023,'B2',1,16251.676,41828.13825,34261.01575,9880.02875,76951.42,16147.038,12501.802,48527.264,23231.77125,24291.4765,22784.7675,26863.58,14491.91175,47465.26075,180892.4995,136631.016,368011.8898,414677.294,1441291.047
2023,'B2',0.2,16266.105,41776.4865,34225.1985,9944.4035,76972.052,16179.268,12493.002,48522.3255,23161.83275,24403.78075,22838.03025,26877.587,14479.89075,47478.23625,180891.6057,136747.007,368139.9625,415012.092,1441374.216
