'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt','total_debt_5','total_debt_34','total_wu'
2015,'B2',0.2,0,0,0,0,0,0,0,0,20.26983363,0,0.675661121,0,0,10.13491682,0,10.81057794,20.94549475,20.94549475,0,13239187.7
2015,'B2',1,0,0,0,0,0,0,0,0,16.21586691,0,0,0,0,10.13491682,0,6.08095009,16.21586691,16.21586691,0,13238074.95
2015,'B2',0.5,0,0,0,0,0,0,0,0,18.91851139,0,0,0,0,8.783594574,0,10.13491682,18.91851139,18.91851139,0,13238202.85
2015,'B2',0.1,0,0,0,0,0,0,0,0,18.91851139,0,0,0,0,9.459255696,0,9.459255696,18.91851139,18.91851139,0,13237486.4
2016,'B2',0.1,0,0,0,0,0,0,0,9.052015336,42.84169478,0,0,0,0,30.79614899,0,21.09756113,51.89371012,51.89371012,0,13086333.85
2016,'B2',0.2,0,0.646572524,0,0,0,0,0,6.46572524,42.25329945,0,0.675661121,0,0,29.53209254,0,20.5091658,50.04125833,50.04125833,0,13090947.1
2016,'B2',0.5,0,0,0,0,0,0,0,7.112297764,38.31568711,0,0,0,0,27.53419777,0,17.8937871,45.42798488,45.42798488,0,13086882.15
2016,'B2',1,0,0.646572524,0,0,0,0,0,6.46572524,38.19933272,0,0,0,0,29.53209254,0,15.77953795,45.31163049,45.31163049,0,13086333.45
2017,'B2',0.1,36.64102199,192.5319156,0,28.6466172,0,0.6662004,247.8265488,144.9568969,146.3349272,469.6712819,100.5962604,0,0,84.01984264,143.8992864,1139.952541,1367.87167,1344.322486,23.54918439,13017874.7
2017,'B2',0.5,40.63822439,211.8517272,0,26.648016,0,1.3324008,234.5025408,118.3677645,161.5779165,490.3234943,105.2596632,0,0,99.93302636,149.2288896,1141.339832,1390.501748,1355.177971,35.32377659,13020803.65
2017,'B2',1,35.97482159,211.8320993,0,27.3142164,0,0.6662004,229.1729376,130.3789996,141.8372418,482.3290895,73.94824439,0,0,95.26891712,175.2107052,1062.974228,1333.453851,1317.754394,15.69945626,13019096.4
2017,'B2',0.2,33.31001999,211.1658989,0,31.3114188,0,0.6662004,243.8293464,135.0424024,150.9314584,486.3262919,91.94511591,0,0,89.86697559,155.2246932,1139.436484,1384.528153,1353.129241,31.39891252,13022649
