year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,869125.0,795475.0,172325.0,579700.0,110675.0,470950.0,37.0,400.0,36.0,200.0,0.0,575.0
2016,849225.0,813225.0,151900.0,601850.0,111550.0,470500.0,37.0,400.0,36.0,200.0,0.0,1000.0
2017,839525.0,821550.0,136000.0,618425.0,112125.0,470625.0,37.0,400.0,36.0,200.0,250.0,49125.0
2018,833925.0,825975.0,122025.0,632650.0,113000.0,470675.0,37.0,400.0,36.0,200.0,0.0,41450.0
2019,830325.0,828525.0,111225.0,643525.0,113675.0,470975.0,37.0,400.0,36.0,200.0,126000.0,67025.0
2020,794075.0,863275.0,102950.0,652325.0,123925.0,461700.0,37.0,400.0,36.0,200.0,158600.0,72300.0
2021,790300.0,867550.0,95725.0,659650.0,126575.0,458450.0,37.0,400.0,36.0,200.0,150275.0,69200.0
2022,787775.0,870075.0,89400.0,666050.0,128125.0,456825.0,37.0,400.0,36.0,200.0,150.0,55800.0
2023,785250.0,872300.0,84225.0,671250.0,128575.0,456650.0,37.0,400.0,36.0,200.0,125.0,35725.0
2024,783000.0,874050.0,79875.0,675625.0,128825.0,456875.0,37.0,400.0,36.0,200.0,600.0,50625.0
2025,780700.0,875900.0,76200.0,679300.0,129025.0,457125.0,37.0,400.0,36.0,200.0,150.0,22700.0
2026,778975.0,877275.0,73225.0,682275.0,129150.0,457350.0,37.0,400.0,36.0,200.0,0.0,21875.0
2027,777550.0,878650.0,70825.0,684675.0,129150.0,457400.0,37.0,400.0,36.0,200.0,5700.0,65075.0
2028,776050.0,880025.0,68475.0,687025.0,129150.0,457525.0,37.0,400.0,36.0,200.0,159175.0,64900.0
2029,774875.0,881050.0,66100.0,689400.0,129200.0,457625.0,37.0,400.0,36.0,200.0,375.0,51200.0
