'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit','total_benefit_5','total_benefit_34'
2015,'M1',0.1,16327.301999998124,39066.09849999752,33789.28374999735,9998.065500000755,72661.82899999466,16329.159499999692,12749.066499999972,41865.75299999663,22810.333999996317,24940.64124999786,23062.246999998897,25363.5789999987,14489.576250000377,47823.355999992,167780.48524999066,134825.98049998534,353452.9352500526,50756.25399998766,157778.5237499902
2015,'M1',0.2,16336.396999998131,39098.39949999751,33798.63024999734,9991.42950000076,72676.39374999466,16317.598249999683,12858.350999999953,41793.40774999664,22878.416499996292,24879.627249997862,23043.506999998906,25417.932499998686,14419.254000000365,47837.554249992,167824.87774999064,134823.79874998532,353509.34425005264,50775.259999987655,157778.5237499902
2015,'M1',1.0,16313.826249998132,39066.89799999751,33821.759249997325,9993.696500000759,72761.21324999466,16320.51899999968,12837.833749999956,41729.85024999661,22863.4437499963,24910.163749997857,23050.063499998905,25428.722999998685,14407.967500000366,47891.95299999199,167586.3897499907,135004.50149998532,353505.9577500526,50765.02599998766,157778.5237499902
2015,'M1',0.5,16351.351499998129,39117.56199999751,33803.75599999734,9990.60725000076,72640.83524999466,16326.618999999679,12858.51574999996,41847.90024999661,22835.451999996305,24859.750999997865,23060.202749998894,25405.303999998687,14389.336500000376,47867.59099999199,167733.45174999067,134863.03699998534,353487.19325005263,50770.873999987656,157785.4544999902
2016,'M1',1.0,16300.862999998128,39450.32799999747,33955.569249997316,9965.190000000752,73880.00049999464,16246.706249999683,12830.353249999955,43423.602749996506,22992.692499996316,25032.795249997853,22975.246499998877,25990.954499998705,14414.232750000368,47762.82299999197,170985.81599999146,135686.78199998528,357458.53450005245,100356.06599997186,321711.5534999792
2016,'M1',0.2,16319.492749998126,39500.85424999747,33942.03324999732,9965.722750000754,73792.78274999463,16242.580999999682,12851.271999999952,43472.84224999653,22997.012249996307,24991.30249999786,22966.372499998877,25977.025999998707,14425.582500000366,47689.969999992,171224.34024999166,135507.4529999853,357444.8767500526,100364.83799997186,321711.5534999792
2016,'M1',0.5,16335.250249998127,39524.818249997465,33941.96099999732,9962.100750000753,73761.98949999463,16251.200249999678,12847.897249999958,43529.2204999965,22957.41674999632,24967.685249997863,22987.864749998873,25964.397499998708,14397.546000000377,47726.69049999198,171134.8434999916,135544.7004999853,357429.3480000525,100367.76199997186,321725.4149999792
2016,'M1',0.1,16309.996249998123,39463.82424999748,33929.88699999733,9973.09850000075,73786.60724999462,16254.945249999691,12741.987499999972,43541.20299999652,22921.261749996338,25048.17399999786,22983.65049999888,25925.810499998715,14489.967000000377,47669.039999992005,171155.21474999163,135523.0444999853,357370.4127500525,100310.74399997188,321711.5534999792
2017,'M1',0.5,16258.80999999814,39444.76849999753,34035.141999997315,9876.135250000743,74608.07024999462,16205.040749999665,12305.495249999989,44622.36474999642,22870.02074999638,24085.26724999774,22756.32424999898,26274.800499998713,14400.684000000378,47582.39824999195,173480.3457499924,133657.06599998593,357742.9235000519,146637.13799995714,490246.6012499679
2017,'M1',1.0,16219.421249998157,39380.51224999754,34055.02624999732,9860.218500000754,74715.44574999461,16202.410249999672,12331.811249999992,44568.0387499964,22901.73649999638,24039.265249997727,22739.453249998984,26303.7557499987,14424.56550000037,47599.243999991966,173306.71099999239,133812.5919999859,357741.6605000519,146593.27799995715,490198.0859999679
