year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,868900.0,795975.0,172325.0,579700.0,110600.0,470750.0,37.0,400.0,36.0,200.0,0.0,850.0
2016,847550.0,815325.0,151900.0,601750.0,111250.0,470475.0,37.0,400.0,36.0,200.0,0.0,900.0
2017,836500.0,824875.0,136025.0,618300.0,111675.0,470875.0,37.0,400.0,36.0,200.0,200.0,49325.0
2018,828950.0,831175.0,122050.0,632450.0,112400.0,471225.0,37.0,400.0,36.0,200.0,0.0,40250.0
2019,823625.0,835450.0,111250.0,643425.0,112900.0,471600.0,37.0,400.0,36.0,200.0,125650.0,63825.0
2020,818575.0,839475.0,102975.0,651825.0,113250.0,472150.0,37.0,400.0,36.0,200.0,154675.0,73125.0
2021,812725.0,844150.0,95775.0,659075.0,113825.0,472700.0,37.0,400.0,36.0,200.0,149250.0,74300.0
2022,806200.0,849800.0,89425.0,665425.0,114275.0,473125.0,37.0,400.0,36.0,200.0,100.0,60575.0
2023,800300.0,855025.0,84225.0,670650.0,114700.0,473350.0,37.0,400.0,36.0,200.0,150.0,39325.0
2024,794725.0,859725.0,79875.0,675025.0,115175.0,473725.0,37.0,400.0,36.0,200.0,750.0,54125.0
2025,789775.0,864050.0,76200.0,678700.0,115550.0,473975.0,37.0,400.0,36.0,200.0,75.0,26450.0
2026,785875.0,867700.0,73225.0,681675.0,115675.0,474100.0,37.0,400.0,36.0,200.0,0.0,25625.0
2027,782775.0,870550.0,70825.0,684100.0,115725.0,474275.0,37.0,400.0,36.0,200.0,5800.0,67800.0
2028,780175.0,872850.0,68475.0,686475.0,115650.0,474625.0,37.0,400.0,36.0,200.0,154975.0,66500.0
2029,777450.0,875375.0,66100.0,688850.0,115675.0,474800.0,37.0,400.0,36.0,200.0,475.0,51575.0
2030,775225.0,877450.0,64125.0,690825.0,115725.0,474900.0,37.0,400.0,36.0,200.0,325.0,54200.0
2031,773350.0,879150.0,62025.0,692925.0,115750.0,475050.0,37.0,400.0,36.0,200.0,2775.0,20300.0
2032,771525.0,880750.0,60125.0,694825.0,115825.0,475200.0,37.0,400.0,36.0,200.0,134150.0,58450.0
2033,769550.0,882450.0,58400.0,696550.0,115925.0,475375.0,37.0,400.0,36.0,200.0,0.0,47325.0
2034,767900.0,883975.0,56625.0,698325.0,116000.0,475425.0,37.0,400.0,36.0,200.0,375.0,14600.0
2035,766250.0,885500.0,54875.0,700075.0,116025.0,475525.0,37.0,400.0,36.0,200.0,200.0,55050.0
2036,764700.0,886775.0,53250.0,701700.0,116150.0,475675.0,37.0,400.0,36.0,200.0,5450.0,44725.0
2037,763300.0,888025.0,52150.0,702800.0,116250.0,475725.0,37.0,400.0,36.0,200.0,5250.0,62200.0
2038,762050.0,889175.0,51200.0,703750.0,116325.0,475750.0,37.0,400.0,36.0,200.0,100.0,60625.0
2039,760850.0,890300.0,50275.0,704675.0,116375.0,475775.0,37.0,400.0,36.0,200.0,183800.0,59575.0
2040,759450.0,891575.0,49350.0,705600.0,116450.0,475825.0,37.0,400.0,36.0,200.0,4125.0,63075.0
2041,758000.0,892950.0,48425.0,706525.0,116475.0,475875.0,37.0,400.0,36.0,200.0,159000.0,59475.0
2042,756100.0,894700.0,47675.0,707375.0,116450.0,475950.0,37.0,400.0,36.0,200.0,7575.0,60575.0
2043,754250.0,896425.0,47025.0,708125.0,116450.0,475975.0,37.0,400.0,36.0,200.0,194725.0,59575.0
2044,752650.0,897950.0,46450.0,708975.0,116325.0,475900.0,37.0,400.0,36.0,200.0,154750.0,57175.0
2045,750950.0,899425.0,45700.0,709825.0,116300.0,476050.0,37.0,400.0,36.0,200.0,5075.0,57375.0
2046,749350.0,900850.0,45025.0,710650.0,116325.0,476050.0,37.0,400.0,36.0,200.0,106150.0,58975.0
2047,747800.0,902250.0,44375.0,711400.0,116350.0,476075.0,37.0,400.0,36.0,200.0,195350.0,56050.0
2048,746225.0,903750.0,43650.0,712300.0,116375.0,475950.0,37.0,400.0,36.0,200.0,186675.0,56600.0
2049,744675.0,905275.0,42900.0,713125.0,116400.0,475875.0,37.0,400.0,36.0,200.0,54625.0,56550.0
2050,743175.0,906750.0,42175.0,713850.0,116450.0,475850.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,741825.0,907925.0,41425.0,714650.0,116550.0,475875.0,37.0,400.0,36.0,200.0,0.0,0.0
