year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,869200.0,795625.0,172325.0,579725.0,110850.0,470525.0,37.0,400.0,36.0,200.0,0.0,975.0
2016,847725.0,815025.0,151900.0,601775.0,111475.0,470350.0,37.0,400.0,36.0,200.0,0.0,925.0
2017,836850.0,824425.0,136025.0,618325.0,112000.0,470625.0,37.0,400.0,36.0,200.0,175.0,49425.0
2015,868825.0,795650.0,172325.0,579700.0,110825.0,470925.0,37.0,400.0,36.0,200.0,0.0,650.0
2016,847550.0,814850.0,151900.0,601775.0,111325.0,470850.0,37.0,400.0,36.0,200.0,0.0,1225.0
2017,836725.0,824425.0,136025.0,618325.0,111725.0,471025.0,37.0,400.0,36.0,200.0,75.0,49375.0
2018,829175.0,830950.0,122050.0,632475.0,112350.0,471250.0,37.0,400.0,36.0,200.0,0.0,41725.0
2019,823925.0,835325.0,111250.0,643450.0,112925.0,471375.0,37.0,400.0,36.0,200.0,124825.0,65050.0
2020,818875.0,839375.0,102975.0,651850.0,113450.0,471725.0,37.0,400.0,36.0,200.0,156800.0,75050.0
2021,813950.0,843200.0,95775.0,659100.0,114050.0,472175.0,37.0,400.0,36.0,200.0,149025.0,77525.0
2022,807950.0,848275.0,89425.0,665450.0,114625.0,472525.0,37.0,400.0,36.0,200.0,75.0,62100.0
2023,801950.0,853425.0,84225.0,670675.0,115150.0,472825.0,37.0,400.0,36.0,200.0,75.0,39650.0
2024,796650.0,857975.0,79875.0,675050.0,115425.0,473275.0,37.0,400.0,36.0,200.0,425.0,54250.0
2025,792125.0,861875.0,76200.0,678725.0,115800.0,473525.0,37.0,400.0,36.0,200.0,150.0,27450.0
2026,788325.0,865275.0,73225.0,681700.0,115975.0,473750.0,37.0,400.0,36.0,200.0,0.0,24875.0
2027,785250.0,868150.0,70825.0,684125.0,116075.0,473825.0,37.0,400.0,36.0,200.0,5000.0,66850.0
2028,782500.0,870525.0,68475.0,686500.0,116175.0,474075.0,37.0,400.0,36.0,200.0,154000.0,67350.0
2029,779900.0,872950.0,66100.0,688875.0,116225.0,474200.0,37.0,400.0,36.0,200.0,400.0,51775.0
2030,777300.0,875250.0,64125.0,690850.0,116325.0,474400.0,37.0,400.0,36.0,200.0,325.0,55125.0
2031,775050.0,877250.0,62025.0,692950.0,116375.0,474600.0,37.0,400.0,36.0,200.0,2575.0,20850.0
2032,773075.0,879050.0,60125.0,694850.0,116400.0,474750.0,37.0,400.0,36.0,200.0,134800.0,59100.0
2033,771250.0,880600.0,58400.0,696575.0,116500.0,474925.0,37.0,400.0,36.0,200.0,0.0,48500.0
2034,769725.0,881925.0,56625.0,698350.0,116600.0,475025.0,37.0,400.0,36.0,200.0,450.0,14375.0
2035,768300.0,883150.0,54875.0,700100.0,116725.0,475100.0,37.0,400.0,36.0,200.0,225.0,56975.0
2036,766900.0,884250.0,53250.0,701725.0,116800.0,475325.0,37.0,400.0,36.0,200.0,5525.0,46375.0
2037,765825.0,885250.0,52150.0,702825.0,116875.0,475325.0,37.0,400.0,36.0,200.0,5500.0,63575.0
2038,764500.0,886475.0,51200.0,703775.0,116825.0,475475.0,37.0,400.0,36.0,200.0,100.0,63525.0
2039,763250.0,887600.0,50275.0,704700.0,116800.0,475625.0,37.0,400.0,36.0,200.0,183050.0,60925.0
2040,761950.0,888850.0,49350.0,705625.0,116775.0,475700.0,37.0,400.0,36.0,200.0,3900.0,62025.0
2041,760725.0,890025.0,48425.0,706550.0,116800.0,475725.0,37.0,400.0,36.0,200.0,157975.0,62075.0
2042,759400.0,891325.0,47675.0,707300.0,116800.0,475750.0,37.0,400.0,36.0,200.0,7375.0,61850.0
2043,758000.0,892675.0,47025.0,707950.0,116750.0,475850.0,37.0,400.0,36.0,200.0,190925.0,59550.0
2044,756525.0,894150.0,46450.0,708525.0,116750.0,475850.0,37.0,400.0,36.0,200.0,156975.0,62775.0
2045,755100.0,895425.0,45700.0,709275.0,116750.0,476000.0,37.0,400.0,36.0,200.0,5075.0,60600.0
2046,753825.0,896600.0,45025.0,709950.0,116800.0,476050.0,37.0,400.0,36.0,200.0,107250.0,57500.0
2047,752400.0,897850.0,44375.0,710600.0,116850.0,476175.0,37.0,400.0,36.0,200.0,192450.0,58700.0
2048,751075.0,899050.0,43650.0,711325.0,116900.0,476250.0,37.0,400.0,36.0,200.0,185400.0,58425.0
2049,749975.0,900075.0,42900.0,712075.0,116950.0,476275.0,37.0,400.0,36.0,200.0,56775.0,57725.0
2050,749075.0,900950.0,42175.0,712800.0,117000.0,476250.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,748350.0,901650.0,41425.0,713550.0,117000.0,476275.0,37.0,400.0,36.0,200.0,0.0,0.0
