year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,868825.0,796000.0,172325.0,579675.0,110725.0,470700.0,37.0,400.0,36.0,200.0,0.0,675.0
2016,847400.0,815425.0,151900.0,601725.0,111375.0,470425.0,37.0,400.0,36.0,200.0,0.0,950.0
2017,836450.0,824975.0,136025.0,618275.0,111775.0,470750.0,37.0,400.0,36.0,200.0,175.0,47700.0
2018,829225.0,831250.0,122050.0,632425.0,112425.0,470875.0,37.0,400.0,36.0,200.0,0.0,39950.0
2019,823625.0,835725.0,111250.0,643400.0,113000.0,471250.0,37.0,400.0,36.0,200.0,127000.0,67325.0
2020,818225.0,840125.0,102975.0,651800.0,113500.0,471625.0,37.0,400.0,36.0,200.0,156000.0,74350.0
2021,812400.0,845125.0,95775.0,659050.0,114050.0,471850.0,37.0,400.0,36.0,200.0,146650.0,73875.0
2022,806125.0,850400.0,89425.0,665400.0,114600.0,472300.0,37.0,400.0,36.0,200.0,50.0,62350.0
2023,799825.0,855775.0,84225.0,670625.0,115050.0,472750.0,37.0,400.0,36.0,200.0,175.0,37925.0
2024,794325.0,860475.0,79875.0,675000.0,115400.0,473175.0,37.0,400.0,36.0,200.0,700.0,54975.0
2025,789300.0,864825.0,76200.0,678675.0,115650.0,473600.0,37.0,400.0,36.0,200.0,175.0,25925.0
2026,785925.0,867700.0,73225.0,681650.0,115800.0,473950.0,37.0,400.0,36.0,200.0,0.0,24525.0
2027,783225.0,869975.0,70825.0,684075.0,115850.0,474300.0,37.0,400.0,36.0,200.0,5575.0,68325.0
2028,780775.0,872125.0,68475.0,686450.0,115950.0,474475.0,37.0,400.0,36.0,200.0,152425.0,65775.0
2029,778125.0,874600.0,66100.0,688825.0,115950.0,474650.0,37.0,400.0,36.0,200.0,475.0,52925.0
2030,775775.0,876725.0,64125.0,690800.0,115975.0,474850.0,37.0,400.0,36.0,200.0,400.0,56925.0
2031,772875.0,878825.0,62025.0,693000.0,116700.0,474825.0,37.0,400.0,36.0,200.0,2975.0,20925.0
2032,766325.0,884650.0,60150.0,695300.0,116925.0,474900.0,37.0,400.0,36.0,200.0,136825.0,56350.0
2033,759950.0,890550.0,58425.0,697350.0,117000.0,474975.0,37.0,400.0,36.0,200.0,0.0,47375.0
2034,753900.0,896400.0,56675.0,699925.0,116375.0,474975.0,37.0,400.0,36.0,200.0,400.0,14375.0
2035,748075.0,901900.0,54925.0,702150.0,116200.0,475000.0,37.0,400.0,36.0,200.0,225.0,52000.0
2036,742050.0,907325.0,53300.0,704300.0,116200.0,475075.0,37.0,400.0,36.0,200.0,5275.0,40100.0
2037,735375.0,912925.0,52300.0,705800.0,116900.0,474950.0,37.0,400.0,36.0,200.0,5225.0,53100.0
2038,728825.0,919150.0,51400.0,707650.0,116675.0,474550.0,37.0,400.0,36.0,200.0,150.0,52825.0
2039,722825.0,924525.0,50475.0,709500.0,116675.0,474250.0,37.0,400.0,36.0,200.0,184825.0,52125.0
2040,717175.0,929600.0,49500.0,711475.0,116125.0,474375.0,37.0,400.0,36.0,200.0,4650.0,49600.0
2041,711150.0,935050.0,48475.0,713075.0,116475.0,474025.0,37.0,400.0,36.0,200.0,162125.0,49275.0
2042,703175.0,942825.0,47600.0,714350.0,117075.0,473225.0,37.0,400.0,36.0,200.0,7850.0,45225.0
2043,694625.0,951425.0,46775.0,715525.0,117350.0,472550.0,37.0,400.0,36.0,200.0,196175.0,44625.0
2044,683875.0,962775.0,46025.0,716875.0,117200.0,471500.0,37.0,400.0,36.0,200.0,160475.0,41550.0
2045,673075.0,973950.0,45150.0,718025.0,116975.0,471075.0,37.0,400.0,36.0,200.0,5425.0,36225.0
2046,663675.0,983225.0,44500.0,719025.0,116775.0,471050.0,37.0,400.0,36.0,200.0,102550.0,34650.0
2047,655025.0,991950.0,43950.0,719750.0,116875.0,470700.0,37.0,400.0,36.0,200.0,195075.0,32750.0
2048,647375.0,1000000.0,43325.0,720725.0,116350.0,470475.0,37.0,400.0,36.0,200.0,187350.0,30525.0
2049,640800.0,1006550.0,42650.0,721750.0,116200.0,470300.0,37.0,400.0,36.0,200.0,55500.0,28375.0
2050,635025.0,1012175.0,41975.0,722625.0,116200.0,470250.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,630625.0,1016575.0,41175.0,723950.0,116200.0,469725.0,37.0,400.0,36.0,200.0,0.0,0.0
