'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2015,'B2',1.0,15178.07074999805,39042.719249997666,33543.61449999737,9015.004999999792,73259.71574999463,14464.664249998103,12680.558249999183,43085.65849999702,26460.75049999733,25255.76299999759,22652.740249998784,24083.660499998354,13597.645249999796,48130.31949999284,169725.18574998953,131310.2549999855,352320.5657500528
2015,'B2',0.1,15179.487249998043,39069.141249997665,33546.46449999737,9017.791749999795,73191.77924999464,14457.853749998096,12706.268749999186,43084.195999997,26569.886999997314,25264.191249997606,22546.597499998796,24119.609749998355,13555.570499999807,48132.229249992844,169685.86424998954,131335.93949998554,352308.83850005275
2015,'B2',0.5,15162.190249998068,39105.235999997654,33547.99874999737,8978.585499999805,73281.74474999463,14503.279999998102,12699.756749999193,43042.57499999701,26492.856499997328,25225.152249997598,22610.192749998776,24110.651999998354,13551.369749999794,48108.27149999284,169672.45374998954,131376.05949998548,352311.59025005274
2015,'B2',0.2,15200.974999998032,39005.46674999767,33557.53024999737,8977.682249999803,73322.77224999462,14464.399499998095,12726.154499999184,43031.71024999702,26524.35224999732,25280.962749997594,22585.603999998788,24114.479249998356,13572.953999999803,48132.85949999285,169734.35199998954,131343.0259999855,352365.0430000533
2016,'B2',0.2,15240.713249998033,39378.261249997646,33712.175249997345,9006.991749999786,74404.87124999457,14541.878249998128,12720.343249999181,44757.13674999701,26715.18749999733,25402.2482499976,22767.11924999887,24691.418249998365,13581.300749999802,48266.007249992865,173136.6229999894,132362.20924998543,356919.64500005177
2016,'B2',0.1,15213.350999998052,39456.59674999763,33705.79024999735,9050.239249999782,74291.27574999459,14532.595999998128,12696.114999999185,44805.63074999695,26766.689999997317,25377.444499997608,22725.45699999888,24692.607749998366,13563.853999999808,48263.04824999286,173087.42674998942,132372.36749998547,356877.6480000514
2016,'B2',1.0,15212.335999998055,39434.93999999763,33702.65449999735,9046.311249999777,74352.93624999459,14538.603499998135,12681.02299999918,44796.17899999698,26648.266499997342,25372.55574999759,22827.65874999883,24667.276999998365,13605.991999999796,48246.80649999286,173139.8352499894,132345.28624998545,356886.73350005154
2016,'B2',0.5,15191.309999998073,39497.49299999763,33707.44024999735,9017.773749999791,74365.47099999458,14581.16024999813,12699.080249999191,44757.07999999696,26680.872249997337,25342.732999997603,22786.44899999885,24693.528749998364,13556.515249999795,48229.35624999287,173069.26799998942,132423.47699998546,356876.9067500515
2017,'B2',1.0,15172.935999998073,39478.347499997704,33797.17724999734,9015.41224999979,75176.56274999454,14577.561999998163,12320.810999999325,45961.21324999683,26650.984249997393,24714.604249998072,22763.96799999894,24994.310249998387,13621.4069999998,48270.08399999287,175588.23299998938,131232.1732499861,358245.2957500555
2017,'B2',0.1,15165.868499998072,39469.78699999773,33810.191749997335,9025.000749999796,75114.90224999456,14577.214999998158,12331.30299999932,45957.681499996805,26749.39724999738,24722.89674999809,22647.425249998985,25010.163749998388,13581.551499999814,48260.78574999289,175527.03949998942,131220.75349998614,358163.3842500554
