'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2015,'M1',0.1,15208.531749998036,39009.84124999766,33558.603999997365,9006.4552499998,73274.91174999463,14469.536999998096,12698.371749999184,43070.644749996995,26451.58674999734,25261.058999997607,22631.474499998778,24109.276999998354,13537.405749999802,48100.00524999285,169855.11424998954,131177.77549998552,352287.7005000527
2015,'M1',0.5,15251.80849999803,39040.228249997665,33515.276749997385,8971.75124999981,73297.97349999462,14468.8019999981,12716.28274999919,43063.140499997,26485.40174999733,25233.62099999761,22614.799749998776,24101.676999998355,13581.973999999795,48189.06249999284,169774.93949998953,131223.9294999855,352342.7370000529
2015,'M1',0.2,15182.806249998044,39078.43899999766,33564.86724999736,9024.44074999979,73297.88174999462,14448.2327499981,12679.143999999184,43072.62624999702,26538.788999997316,25197.0372499976,22603.29874999878,24167.237499998348,13498.174999999797,48109.11724999285,169800.57624998948,131288.4764999855,352352.9755000529
2015,'M1',1.0,15197.690499998056,39014.40499999766,33531.47499999738,8981.393249999795,73263.41699999463,14462.8774999981,12724.320749999191,43108.13724999703,26499.875499997328,25253.659999997602,22611.67349999878,24091.282749998354,13570.498749999804,48106.533749992836,169750.19749998953,131299.1699999855,352310.70675005275
2016,'M1',0.2,15213.531999998053,39470.659749997634,33712.31749999734,9053.750249999775,74394.27649999458,14522.573499998132,12676.069249999182,44780.022749996984,26745.38774999732,25315.858749997606,22781.355249998865,24758.33449999837,13506.859999999799,48235.93199999287,173209.3072499894,132330.95299998546,356930.99775005167
2016,'M1',0.5,15281.731249998034,39437.21424999763,33672.319999997366,9000.6592499998,74395.95924999457,14542.741249998133,12709.66849999919,44776.50674999698,26679.762999997336,25342.108999997614,22799.935249998853,24678.615999998365,13587.119499999797,48318.65724999286,173176.8722499894,132254.0082499855,356904.3432500516
2016,'M1',0.1,15245.53349999804,39396.931499997634,33708.050999997344,9035.363249999786,74368.16849999457,14544.27924999813,12697.695249999184,44770.661249996985,26657.231749997343,25383.80649999761,22812.784749998842,24693.294999998365,13552.768249999803,48234.01249999287,173256.3284999894,132221.42324998547,356866.5697500514
2016,'M1',1.0,15238.231749998058,39397.13149999764,33690.80074999736,9010.30124999978,74351.87224999457,14536.013749998132,12724.78549999919,44836.859749997035,26699.877499997332,25374.780249997602,22790.532999998846,24671.761249998366,13582.786499999804,48252.93324999286,173162.4487499894,132335.54749998543,356905.73500005156
2017,'M1',1.0,15194.633249998074,39468.51349999771,33794.06099999734,8984.279499999791,75170.73349999455,14577.093249998159,12315.432499999339,46013.42374999682,26630.416499997402,24721.472249998078,22731.590249998946,24989.317249998392,13595.803249999806,48232.601499992874,175607.94474998946,131191.41799998612,358186.7697500561
2017,'M1',0.1,15208.92699999807,39440.3529999977,33811.31124999733,9010.827249999791,75194.93299999455,14585.760249998157,12320.515249999327,45953.4312499968,26652.3654999974,24746.270249998084,22740.991749998957,25027.40724999839,13555.166499999803,48257.051749992876,175689.19074998944,131147.21149998612,358248.2595000557
2017,'M1',0.5,15243.706249998066,39464.19099999773,33772.04074999735,8974.71824999981,75210.05524999455,14581.69974999816,12356.521999999319,45957.835999996794,26658.5112499974,24681.900749998094,22715.640999998963,25003.250999998385,13589.517749999795,48318.75774999288,175588.03074998944,131147.99699998612,358209.5910000556
2017,'M1',0.2,15181.555499998074,39508.241499997705,33804.84349999733,9035.151999999793,75233.70949999454,14563.65299999816,12292.168249999315,45937.51174999683,26774.005249997357,24657.24824999809,22710.445999998974,25086.107499998383,13512.797749999798,48244.924249992895,175643.18649998945,131254.52349998607,358297.43975005596
2018,'M1',1.0,15263.611499998045,39907.32049999765,33884.12549999734,8998.452249999795,75845.44774999452,14602.324499998185,12344.63349999933,47160.51474999654,26926.406499997353,24803.916749998087,22915.99999999887,25202.2379999984,13620.57974999981,48374.49124999287,177797.57874998945,132148.69574998593,361475.57125005574
2018,'M1',0.5,15313.04874999803,39937.71474999765,33872.839499997346,8997.016999999803,75875.23899999452,14612.189999998187,12341.297749999327,47103.98824999649,26916.76199999735,24780.222249998074,22928.086249998873,25215.030499998396,13600.251999999797,48445.57474999287,177842.79299998947,132050.51474998597,361493.68800005474
2018,'M1',0.1,15279.587499998035,39920.26199999763,33909.711749997325,9024.283999999789,75864.88199999451,14610.991499998177,12360.921499999322,47097.5982499965,26896.29924999736,24770.829749998113,22936.98399999887,25249.8052499984,13561.104249999804,48369.226499992874,177923.70974998944,132035.51924998595,361483.2610000557
2018,'M1',0.2,15242.503749998044,39956.06974999765,33902.10274999733,9046.487749999793,75913.18899999451,14588.482749998184,12322.68949999931,47101.80699999652,26988.095749997334,24730.446749998104,22905.501999998876,25302.567749998394,13519.8767499998,48358.478749992886,177866.20149998946,132140.33549998593,361519.82125005464
2019,'M1',1.0,15025.629749998141,29509.271749998523,33788.58399999743,8987.484499999788,57303.71949999608,14612.981499998195,12305.046499999335,46650.29649999636,26740.631499997427,21376.14774999841,22807.759749998968,25349.221249998405,13627.658749999811,47747.1564999931,148800.4559999908,128506.76849998653,328084.433000049
2019,'M1',0.1,15066.970749998118,29636.48949999852,33803.193749997416,8998.827249999793,57059.78524999609,14621.792499998191,12296.991749999335,46451.78949999635,26724.928749997438,20992.54874999845,22829.616749998964,25385.430249998404,13568.183249999805,47760.2824999931,148414.8469999908,128252.15874998659,327436.5480000489
2019,'M1',0.2,15022.79049999813,29548.494999998515,33788.944499997415,9022.79399999979,57290.45724999608,14600.9597499982,12267.912999999322,46638.18574999637,26807.29324999742,20943.112999998462,22811.299499998968,25453.4919999984,13526.2159999998,47708.3429999931,148475.0867499908,128466.88724998655,327721.95350004925
