'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt'
2020,'B1',0.5,3582.247818657586,66619.29418924372,23607.957346604417,1005.8763839074996,133747.31548498425,1259.0014321599974,1833.2373080599573,45697.9160121751,8009.012588826511,30031.370319152367,732.7773418119983,0.0,0.0,9787.189125761404,272103.69138395466,34235.12571606038,316126.00622601947
2020,'B1',0.1,3779.8356514910897,67095.62864911817,23343.413136299492,973.9582859589998,133419.94231416687,1205.1072861484975,1774.5858272769547,45795.33492525152,8298.4108896875,30177.49307035725,795.4762954829977,0.0,13.087301073,9794.548742643863,272659.53927887,34218.185610992376,316672.27363274986
2020,'B1',0.2,3474.491711805081,66694.37723784067,23248.144494198456,920.9889095924977,133166.08979270502,1199.8784485934978,1840.672817656956,45683.557050623895,8086.285733271048,30185.519561894187,798.8476994779984,0.0,0.0,9445.946538567785,271615.16535490187,34237.74156438142,315298.85345809825
2030,'B1',0.1,11911.809782395192,250456.7204338715,84970.20544948534,3275.5095548545837,485890.745986686,4100.321916302497,5639.721010132902,198835.65250080006,31411.950189121068,106128.74203857455,2537.075553634056,0.0,56.247248981,31878.31395208388,1021133.1638845882,132203.2238288948,1185214.7016668706
2030,'B1',0.2,11634.497869925433,250120.5449180895,85131.91610052326,3059.11936890458,485685.49521565775,4020.144140067497,5621.48429876191,197929.04235093488,31092.717170355583,104894.70827777438,2477.790684590049,0.0,0.0,31236.619806586667,1018043.2727095234,132387.56788021233,1181667.4603976265
2030,'B1',0.5,11269.777914916409,248900.18003026952,84303.18711522629,3384.490243254588,485867.12599375437,4157.317009085993,5827.602804039398,197510.7514588728,30791.552804922954,105313.44895046558,2295.851081513023,0.0,0.0,31455.80965440983,1015431.9110150583,132733.5647376141,1179621.2854084114
2040,'B1',0.5,18375.221963179556,427385.8062553191,142687.27346747363,5485.612179667073,828756.6257709363,6892.974248862966,9082.241064602937,360932.23102856404,53665.56659650082,177446.92981512097,3476.7694711075856,0.0,0.0,51010.32672994738,1755321.3828277946,227855.5423039334,2034187.2518660736
2040,'B1',0.2,18842.88022225703,431764.4014710123,144308.12503812843,5088.221135672544,830505.596331492,6544.676392617476,8795.829353846742,363734.84571307397,54499.977892999625,178348.0112701121,3909.084560391126,0.0,0.0,50696.231628924696,1767934.1704342107,227711.24731874908,2046341.6493862295
2040,'B1',0.1,18490.748468515794,433207.3602368372,146010.13853494122,5351.002296013067,832743.6140626651,6831.287650722479,8732.977888149757,375626.8762713728,56027.62714150074,193236.84074553775,4051.530624698624,0.0,92.66988661699999,50333.044307850025,1802509.228105237,227560.4013947807,2080402.6738122753
2050,'B1',0.2,24660.036679943954,592166.2458155147,196025.190762779,6755.524761694036,1139587.1846324236,9160.021047617445,11169.620114496614,524619.7305949192,78569.1538548451,257693.90126389128,5016.1135067436035,0.0,0.0,67021.57618544338,2469004.0528762117,309397.0939758418,2845422.723038257
2050,'B1',0.1,23882.493739259833,592738.543704197,205759.3356810883,6957.12209413856,1147944.5642229796,9270.976717922453,11167.145869638689,536833.0959097003,77683.2682573661,269706.5763297832,5669.00900145061,0.0,140.33409698,64073.91961186958,2514174.9209914412,309503.62502393976,2887752.4656265676
2050,'B1',0.5,24110.16107897245,583104.3032052956,193754.16108343142,7143.048911891558,1131492.0514511608,9304.168168381937,11511.786467214302,512242.42270754796,73769.63610290427,240243.1078020571,4512.299096277056,0.0,0.0,67289.050808115,2414382.0509121427,309516.0443574872,2791187.1460793363
