'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt'
2020,'B1',0.5,378.50275401249854,15440.930094316363,2721.6315283529857,120.48522873199984,29104.54813874091,135.72589399600005,434.5655039559947,2692.772555279482,1192.5197115069936,7116.2376460681835,87.41950261699974,0.0,0.0,976.562908398992,50519.115189973614,7929.660459205657,59425.33855757768
2020,'B1',1.0,348.97796538349905,15703.126463785324,2864.376641820485,153.08811310500036,29417.588295862886,111.48912721100005,415.024218924995,2833.66011042748,1253.3484938984932,7015.271338084667,66.4779888959998,0.0,0.0,959.4175755569909,51145.82489518358,8077.18628665916,60182.428757398804
2020,'B1',0.1,375.1977403599984,15684.106414938287,2974.7955741344845,156.7336997770004,29303.304771122872,130.87854063900005,416.9772125859951,2751.928387279981,1156.6904236284938,6845.881201494162,93.3055745504997,0.0,0.0,982.7000563314917,51105.64447188607,7801.455012293146,59889.79954051013
2020,'B1',0.2,413.53589872899795,15217.022060438409,2821.254082735485,129.16640455249987,29747.53114086386,121.18383392500006,408.4638342209954,2782.282303198981,1175.082560919494,7063.669448356176,76.45042842199975,0.0,0.0,972.3806559809912,51252.36786717006,7730.893473210636,59955.641996361046
2030,'B1',0.2,453.8279019374973,35422.15932359612,2975.156145325513,192.26709575749987,68790.92591301128,338.74038105600044,970.8392999164978,13782.975984813953,5244.760724348484,12508.094972531975,314.9253672979973,0.0,0.0,2268.9364796604514,120091.00712769087,18634.729502207912,140994.67310957663
2030,'B1',1.0,376.99040679049847,36143.13077390701,3026.3486898695146,217.51698633650022,68717.78959475638,302.30050458300036,964.9120322864964,14363.52910968905,5545.035599181467,12430.378082949523,297.43873015049746,0.0,0.0,2143.2679083704566,121125.97013872217,19116.132463373906,142385.37051048336
2030,'B1',0.1,409.23929953749774,36306.549527184536,3148.227444032516,229.25953583550026,68507.32842568454,292.87205432100035,937.4101986909956,14405.868416313026,5566.510859625474,12534.568495251513,324.04644575699734,0.0,0.0,2237.9800203214622,121313.98482945657,19109.915852421982,142661.88070221714
2030,'B1',0.5,429.15988328349783,35543.229310727496,2880.2720024135156,184.35453015899944,69272.83649000489,379.6984950220005,978.3688738154937,14453.429392155538,5351.346520348483,12840.429166530985,277.4397777009983,0.0,0.0,2316.4097441039585,121472.33401905955,18801.820678963875,142590.56444214477
2040,'B1',0.5,1176.038371209999,58339.96498927303,6475.591039021431,391.7467311459984,107978.58096205734,612.6180834619995,1525.626709081481,24935.79730620031,10357.120933902084,22459.52657621513,503.2991665084956,0.0,0.0,4787.252249495505,197931.15103972176,32037.507578803223,234755.91086810388
2040,'B1',1.0,1101.4180117925093,58637.162247345885,6560.107361480922,436.82206967149955,108197.40869425713,505.8618640460004,1504.8116113629817,24927.624800767757,10719.311293897981,21815.083991948388,477.02260012999454,0.0,0.0,4546.731484933002,197953.96107577565,32381.941985937017,234882.63454673128
2040,'B1',0.2,1234.8112303294959,58054.09395395574,6454.9788344519275,390.13343397049937,108657.0931253857,490.02762809000046,1542.2594545809845,24527.73962144801,10626.330102150549,23327.732175098423,498.2131567174951,0.0,0.0,4777.986291985501,199343.26482948964,31682.161594646863,235803.4127162085
2040,'B1',0.1,1124.269831141504,58656.74909135186,6659.947090692916,407.7759394709986,107630.41234941958,463.07659382600036,1513.81399161298,25554.89885955722,11073.245183369967,24903.26721959864,519.3119950809955,0.0,0.0,4526.598384849491,202133.77684197208,31846.39291824551,238506.76814515344
2050,'B1',0.5,3678.6352436420448,113586.89554243052,24903.168674167355,1038.6329301754974,222086.45354573356,1738.035854862997,2794.8478416815356,75170.25599935613,22179.05370031578,47783.68874138911,978.4914861990096,0.0,0.0,11782.446880859385,441580.1685987289,62575.54408005005,515938.1595595004
2050,'B1',0.2,3753.0220805845393,113878.3234050717,25221.44294633527,1069.6537967889976,225599.08669536922,1508.5148541539988,2816.0709139240284,77304.68182771227,25460.204956090653,55833.41357784414,819.9927406040026,0.0,0.0,11803.437641587368,459406.664968312,62054.305184246354,533264.4077939
2050,'B1',1.0,3535.469203174552,113589.92783890305,25151.507118852744,1150.9997844745005,222024.69589392963,1620.657075267999,2700.437404943033,74883.7744937542,22501.260495516115,46893.03439411071,919.6219562605063,0.0,0.0,11551.764329676913,440610.3326395926,62809.28868960213,514971.385658742
2050,'B1',0.1,3580.728373119544,114974.54330873817,27921.099305007814,1093.0709888244992,226522.78170968883,1567.398423437,2765.7933367195315,78644.34883399832,24492.155953322042,54710.343017228275,1177.0661658910017,0.0,0.0,10280.749581435855,464659.66875719314,62508.91107699444,537449.3294153423
