'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2020,'B2',0.5,12812.0,19421.0,24329.0,8095.0,36912.0,13362.0,11066.0,30589.0,19569.0,16609.0,20881.0,24984.0,13814.0,37453.0,98384.0,116606.0,252443.0
2020,'B2',0.1,12967.0,19749.0,24258.0,8142.0,36870.0,13493.0,11032.0,30669.0,19780.0,16558.0,20900.0,25066.0,13943.0,37817.0,98873.0,116737.0,253427.0
2020,'B2',0.2,12942.0,19109.0,24186.0,8080.0,36759.0,13460.0,11080.0,30010.0,19664.0,16483.0,20880.0,24947.0,13835.0,37621.0,97350.0,116464.0,251435.0
2030,'B2',0.5,14306.0,20152.0,25236.0,8735.0,37802.0,14960.0,11667.0,31806.0,21268.0,19499.0,21739.0,28067.0,15979.0,39356.0,102967.0,128893.0,271216.0
2030,'B2',0.1,14330.0,19925.0,25250.0,8728.0,37152.0,14995.0,11612.0,31257.0,20620.0,18489.0,21662.0,28168.0,16126.0,39464.0,100429.0,128421.0,268314.0
2030,'B2',0.2,14324.0,20332.0,25319.0,8682.0,38746.0,14913.0,11673.0,31874.0,21012.0,19531.0,21709.0,28112.0,16061.0,39456.0,104028.0,128804.0,272288.0
2040,'B2',0.1,15181.0,20754.0,25172.0,9250.0,36784.0,16171.0,11956.0,32241.0,21554.0,19821.0,22548.0,29906.0,17342.0,40927.0,101168.0,136585.0,278680.0
2040,'B2',0.5,15186.0,21031.0,25476.0,9215.0,38954.0,16323.0,11939.0,32794.0,22393.0,21570.0,22199.0,29747.0,17245.0,41222.0,106398.0,136452.0,284072.0
2040,'B2',0.2,15207.0,21251.0,25521.0,9105.0,37849.0,16342.0,11922.0,31671.0,21596.0,20140.0,22149.0,29956.0,17259.0,41157.0,102414.0,136397.0,279968.0
2050,'B2',0.2,16487.0,39414.0,32082.0,9678.0,73757.0,17584.0,12430.0,51074.0,24654.0,30350.0,22743.0,30839.0,17897.0,44144.0,183977.0,150868.0,378989.0
2050,'B2',0.1,16082.0,39442.0,31850.0,9726.0,72226.0,16689.0,12425.0,50770.0,24244.0,29008.0,23023.0,30802.0,17885.0,42423.0,181004.0,150745.0,374172.0
2050,'B2',0.5,16599.0,39712.0,31417.0,9690.0,73912.0,17719.0,12457.0,50619.0,25632.0,30586.0,22570.0,30718.0,17912.0,44628.0,183995.0,150920.0,379543.0
