'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit','total_benefit_5','total_benefit_34',
2015,'B2',0.1,16341.65075,38987.55125,33784.63375,10015.3395,72779.89925,16313.61225,12850.252,41761.94975,22858.507,24916.31925,23048.44275,25388.68725,14485.97575,47867.3695,167807.6435,134834.694,353532.8205,50747.482,157771.593
2016,'B2',0.1,16335.365,39385.24075,33928.83975,9992.031,73904.6775,16238.9965,12842.03175,43445.7925,22970.63925,25029.055,22972.56525,25962.731,14484.36975,47735.368,171205.225,135528.6285,357492.335,100316.592,321697.692
2017,'B2',0.1,16265.00375,39301.5085,34022.02075,9888.5215,74746.11375,16193.2385,12284.484,44520.0525,22859.7375,24096.929,22735.7115,26272.39425,14487.50775,47582.33225,173515.0015,133552.776,357673.2233,146480.704,490156.5015
2018,'B2',0.1,16329.52375,39711.5985,34110.87,9876.50925,75450.68025,16174.01675,12360.783,45627.662,23153.20425,24175.32175,22966.634,26473.492,14489.906,47629.91925,175750.864,134496.3047,360900.2015,192776.396,662642.0768
2019,'B2',0.1,16002.553,29116.26725,33906.1345,9847.887,56200.67525,16152.95525,12240.179,45056.92575,22973.16175,20585.5595,22783.3175,26620.1795,14499.32,46774.24275,145805.7017,130486.0185,325985.1153,237428.8,802580.85
2020,'B2',0.1,14911.14225,29733.01725,30132.7835,9652.8635,55551.929,15822.1805,12271.64975,44352.00475,21495.70875,20520.13525,22831.60375,26731.364,14510.3925,44426.9075,140962.1847,130513.4832,318516.7748,279702.53,937501.7603
2021,'B2',0.1,15123.79425,29443.63175,34157.7275,9778.364,55003.67575,15865.23275,12299.81175,42383.961,21501.359,21387.826,22823.485,26807.9045,14510.3925,44697.11625,142849.4762,130676.867,321087.1658,321805.206,1075985.076
2022,'B2',0.1,15351.71475,41602.48425,34197.35675,9889.0745,76896.0535,15833.2835,12382.8575,47084.66625,22644.418,24390.08025,22837.36125,26858.94875,14510.3925,45005.69075,180327.854,136122.0335,364478.6918,364557.01,1257723.203
2023,'B2',0.1,15584.2135,41736.844,34286.93825,9887.6125,77078.238,15811.741,12547.278,48420.0365,22680.57425,24414.80075,22832.1615,26888.28,14510.3925,45830.106,181019.9202,136805.971,366679.1108,408438.94,1440916.787
2024,'B2',0.1,15238.439,41962.81,34455.96875,9806.1685,77236.59625,15810.8115,12361.37075,47994.74775,22660.493,24415.37075,23006.78775,26915.52925,14516.6685,44955.50175,181621.4467,136788.6305,366381.7618,451130.802,1625260.875
2025,'B2',0.1,15571.55025,42530.115,34487.24375,9904.952,77384.319,15811.139,12635.69875,49046.66175,22794.89025,24404.569,22835.84725,26922.545,14521.465,45811.6385,182164.6852,137851.5587,368850.996,495376.77,1810727.745
2026,'B2',0.1,15644.51525,42525.311,34402.10675,9911.6465,77497.45925,15807.0715,12610.38,49272.78225,22880.6055,24708.71275,22828.0815,26931.959,14521.465,45902.74675,182592.332,138023.904,369542.0963,539586.188,1997060.959
2027,'B2',0.1,15091.2095,42398.38025,34387.065,9807.8445,77597.5295,15631.59875,12354.68075,48394.48275,21685.46625,24457.484,22830.302,26933.4385,14521.465,44237.60225,182175.213,136661.9487,366090.9468,581241.492,2182631.79
2028,'B2',0.1,15062.84875,30786.53175,34430.721,9831.2365,56808.31925,15789.33675,12338.175,44644.65775,21770.2055,21839.627,22848.5495,26934.17825,14521.465,44413.9855,148039.561,132281.6685,327605.852,622744.748,2330007.258
