'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt','total_debt_5','total_debt_34','total_wu'
2015,'B2',0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.269833633300003,0.0,0.0,0.0,0.0,10.810577937760002,0.0,9.459255695540001,20.269833633300003,20.269833633300003,0.0,13241595.199998688
2016,'B2',0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.879435144000001,42.253299449299995,0.0,0.0,0.0,0.0,26.97489103776,0.0,19.157843555539998,46.13273459329999,46.13273459329999,0.0,13091315.799998738
2017,'B2',0.1,31.311418795182536,211.85172716740433,0.0,35.30862119456753,0.0,1.332400799795,255.15475316074125,130.4575111245254,165.37085215205482,475.0008851269133,101.26246078442024,0.0,0.0,87.23743575653253,155.2246931761179,1164.5885013729544,1407.050630305604,1363.8771255905535,43.17350471505501,13022758.74999876
2018,'B2',0.1,31.311418795182536,468.79800671721233,0.0,71.49823803256749,0.0,1.332400799795,494.7300166283103,273.7683938030059,187.0846222548548,975.8651821648159,101.26246078442024,0.0,0.0,100.26569781821252,314.45900726331774,2190.926034898601,2605.6507399802904,2562.477235265226,43.17350471505501,12983878.049998764
2019,'B2',0.1,210.60802035271405,8193.083445165725,160.34013267039188,123.62852747220211,13238.787225803717,2.1222536700925003,830.349689919254,1283.8129472267058,359.4800145910276,3965.5390783638977,210.26215688547447,0.0,0.0,577.0975050012429,21637.076442741574,6294.039260235191,28578.013492118636,4644.52940136948,23933.4840907505,12963419.299998764
2020,'B2',0.1,790.1895361809301,16087.893416214378,3021.4468569357227,285.67004184062495,27745.694227307282,85.39868267213504,1162.9667360516435,3148.38392852848,1349.1487260926663,7028.575998914857,318.75410885846514,0.0,0.0,1855.4549097454521,47908.15483140278,10904.551246975869,61024.122259570664,6966.131520121169,54057.990739460256,12616792.899998792
2021,'B2',0.1,1140.1307027107441,24922.306271988728,3126.516040930999,359.4789727464122,43691.50191896769,86.26702303573254,1491.690584303195,6883.174097983236,2307.8691950323673,9655.66830644329,430.77001576254224,0.0,0.0,2710.5815931130496,74939.80316079665,15971.364744259172,94095.37312985727,9394.011176739306,84701.3619531351,12559701.999998793
2022,'B2',0.1,1333.0186847092345,25077.354984791342,3239.11093951385,367.7851537894099,43691.50191896769,87.18993204051003,1787.0214658319842,7501.523131184138,2448.3727842901803,10112.508263808135,541.5190963358432,0.0,0.0,3334.06722978654,74939.80316079665,17439.412332943062,96186.90635520658,11447.483712369169,84739.42264286264,12527871.34999879
2023,'B2',0.1,1376.0168595569307,25350.343397196855,3333.106949646023,377.7847293353846,43691.50191896769,88.18988959510753,1995.012637188282,7501.523131184138,2603.60611095554,10608.487210888312,664.5138755513323,0.0,0.0,3415.6294339196143,74939.80316079665,18761.030483612765,97590.08671000665,12809.425901730461,84780.6608083039,12508744.04999879
2024,'B2',0.1,1669.7499400868223,25638.67697257007,3333.106949646023,453.37780153058526,43691.50191896769,89.26979062646753,2360.0191857879267,8054.432459240637,2838.1110274640077,11155.99703378801,667.7535786454123,0.0,0.0,4138.718654099081,74939.80316079665,20393.489064907146,99951.99665830261,15063.179354179512,84888.81730414322,12494773.949998789
