year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,807550.0,803625.0,164525.0,610475.0,111325.0,500750.0,37.0,400.0,36.0,200.0,0.0,650.0
2016,768925.0,814725.0,142600.0,640850.0,117900.0,513250.0,37.0,400.0,36.0,200.0,0.0,900.0
2017,734650.0,822225.0,124300.0,662700.0,125000.0,529375.0,37.0,400.0,36.0,200.0,150.0,42550.0
2018,705250.0,826625.0,109225.0,680100.0,130325.0,546725.0,37.0,400.0,36.0,200.0,0.0,36875.0
2019,679625.0,830025.0,97450.0,693375.0,134500.0,563275.0,37.0,400.0,36.0,200.0,137500.0,56600.0
2020,657025.0,831950.0,87800.0,704375.0,137700.0,579400.0,37.0,400.0,36.0,200.0,169850.0,63525.0
2021,636400.0,833500.0,79250.0,713550.0,140100.0,595450.0,37.0,400.0,36.0,200.0,157150.0,61575.0
2022,616900.0,834175.0,72325.0,720925.0,142225.0,611700.0,37.0,400.0,36.0,200.0,150.0,48375.0
2023,599200.0,834600.0,66675.0,726950.0,143825.0,627000.0,37.0,400.0,36.0,200.0,225.0,28600.0
2024,582550.0,834250.0,61725.0,732175.0,145025.0,642525.0,37.0,400.0,36.0,200.0,850.0,43775.0
2025,565975.0,833825.0,57375.0,736775.0,146325.0,657975.0,37.0,400.0,36.0,200.0,200.0,17700.0
2026,551325.0,832675.0,53450.0,740825.0,147375.0,672600.0,37.0,400.0,36.0,200.0,0.0,19600.0
2027,536975.0,831975.0,49975.0,744400.0,148300.0,686625.0,37.0,400.0,36.0,200.0,6175.0,52025.0
2028,523075.0,831175.0,46550.0,747900.0,149025.0,700525.0,37.0,400.0,36.0,200.0,169350.0,47800.0
2029,510325.0,829550.0,43525.0,751050.0,149950.0,713850.0,37.0,400.0,36.0,200.0,350.0,39125.0
2030,497100.0,828300.0,41100.0,753550.0,150400.0,727800.0,37.0,400.0,36.0,200.0,325.0,39425.0
2031,485675.0,827525.0,38675.0,756000.0,150825.0,739550.0,37.0,400.0,36.0,200.0,3225.0,14450.0
