'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2015,'B2',0.5,15597.371249998057,39304.28624999766,33955.71874999727,9215.138499999768,75533.36824999478,14995.410249998256,13113.061499999276,44875.873249997385,27249.506999997262,27008.10649999719,23467.587749998846,25126.751499998354,13896.791999999843,49432.175999992774,176139.3709999896,134612.62024998487,363338.97275005456
2016,'B2',0.5,16055.269499998109,39770.06974999761,34346.43749999725,9313.82049999978,77259.22249999503,15351.606999998305,13218.044999999294,46922.996249997195,27619.828499997264,27493.90874999716,23899.24049999889,26253.21574999841,14258.115749999897,50121.769749992774,181273.33249998998,137211.8694999845,371761.77725005476
2017,'B2',0.5,16471.98549999815,39858.691499997694,34668.04199999719,9335.014999999803,78358.43449999497,15781.160749998378,12969.321249999419,48676.52324999665,27832.586749997277,27096.169249997474,24114.240999998983,27100.965999998425,14557.092249999941,50827.82399999274,184909.7184999905,137927.8809999848,376820.2290000564
2018,'B2',0.5,16976.081499998152,40384.8407499976,35022.708499997134,9447.226999999797,79245.4827499949,16117.915499998442,13071.536249999415,50169.13899999625,28283.71149999723,27451.98249999742,24417.38174999889,27802.905499998436,14928.97125000001,51605.65324999271,187986.2409999909,140573.1839999842,383319.8837500542
2019,'B2',0.5,17232.543749998196,29951.47899999854,35138.51549999717,9508.69899999981,59782.29349999584,16443.13124999846,13152.567249999405,49798.99024999603,28414.227999997234,23072.979249997792,24509.994749998947,28427.504249998412,15288.573250000067,51750.20974999291,157314.25399999108,138633.91399998436,350721.4990000572
2020,'B2',0.5,17173.339999998276,30261.92449999849,31509.171999997663,9529.471249999826,57647.32999999602,16611.392249998484,13231.65424999941,49530.44624999584,27522.99799999724,23560.221499997777,24622.61024999894,28959.425499998353,15604.961500000118,51573.159499993155,151686.32274999146,139780.36599998412,345764.94725006074
2021,'B2',0.5,17908.3417499982,30808.319499998444,35678.9839999971,9734.726749999814,58418.66374999597,17095.062499998454,13378.431249999421,46497.086499995654,27890.82049999717,25640.090749997562,24761.644249998913,29438.9719999983,15983.919500000186,52956.05224999307,154933.95849999116,142315.00024998363,353235.06300005683
2022,'B2',0.5,18466.771249998106,42432.094249997324,35858.28049999707,9896.890749999813,81336.09199999459,17414.03324999843,13482.420999999433,53064.832999995335,29426.380249997033,28622.670999997372,24866.650249998893,29845.25574999824,16322.284500000247,53830.171499992895,195074.45474999223,148975.22599998256,401034.65775005653
2023,'B2',0.5,19000.603249998007,42668.69274999735,35958.30924999706,9990.820249999813,81686.86924999452,17677.2799999984,13703.641499999385,54217.31724999497,29710.810249996975,28944.57724999735,24979.84424999889,30256.505249998158,16635.017500000205,54955.81674999271,196246.36649999247,151073.299249982,405430.2880000523
2024,'B2',0.5,19171.917499998028,42975.791999997346,36205.867499996995,10046.908249999844,81916.8834999945,17955.90024999838,13673.47049999944,54260.29549999491,29919.02824999693,29162.26599999737,25166.14624999881,30650.975999998096,16901.73700000015,54961.90624999291,197312.29849999267,152578.17824998175,408007.1885000547
2025,'B2',0.5,19714.463249997883,43506.05024999721,36321.780999996976,10177.363499999845,82164.09849999445,18268.076249998343,13902.900749999399,55212.4519999946,30275.344499996874,29416.486999997353,25181.667499998854,30982.30549999807,17198.0295000001,56163.27124999272,198314.29749999283,154688.6452499811,412321.01950005745
2026,'B2',0.5,20012.41999999786,43584.576999997254,36351.53599999699,10288.268249999863,82430.02499999439,18548.660749998307,13952.170749999419,55650.85799999444,30579.012749996804,29765.762999997318,25275.96974999883,31352.685249998,17483.703500000058,56697.83499999275,199234.691749993,156188.3177499808,415275.65000005567
2027,'B2',0.5,20013.332249997944,43536.57474999733,36432.533749996954,10310.048249999883,82661.31699999436,18606.477499998327,13862.795499999464,55457.673999994506,29404.477749996848,29879.78324999736,25322.857249998822,31675.456249997944,17745.74225000001,56161.052999993146,199026.5644999933,156573.5774999809,414909.0697500545
2028,'B2',0.5,20388.332749997906,31938.12724999835,36557.03999999694,10410.987249999904,59516.314249995725,19020.909749998238,13862.43974999947,49159.8644999945,29693.61749999679,27409.34899999755,25411.233999998807,31946.391749997914,17959.36924999997,56931.93024999305,160327.73749999143,152977.326499981,373273.9770000586
