'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt','total_debt_5','total_debt_34','total_wu'
2015,'B2',0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.377767086620004,0.0,0.6756611211100001,0.0,0.0,12.837561301090002,0.0,16.215866906640002,29.053428207730004,29.053428207730004,0.0,13238789.799998697
2016,'B2',0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.879435144000001,51.007805426619996,0.0,1.3222336451100003,0.0,0.0,25.12243925709,0.0,31.087034958639997,56.20947421573,27.156046007999993,0.0,13088166.99999874
2017,'B2',0.1,37.97342279415752,205.85592356832692,0.0,29.31281759549003,0.0,0.0,242.49694556268892,135.78711432370534,148.50523420527264,478.99808752629826,91.92548803117016,0.0,0.0,89.5992013783875,147.2302883773479,1134.0255438513746,1370.8550336071128,1291.0963750013607,23.549184390030003,13020315.349998761
2018,'B2',0.1,37.97342279415752,444.707394699134,0.0,64.05484975996998,0.0,0.0,491.4815094081378,257.3842268993852,170.2190043080726,1000.1285699934797,92.64928036793016,0.0,0.0,105.52263278710748,307.1883948013077,2145.887230641823,2558.598258230385,1187.743224623142,0.0,12988100.94999877
2019,'B2',0.1,218.84973009228395,7813.397326273097,139.01410517235954,111.36025703223967,12750.185236802126,0.0,802.7872736110186,1209.476289234474,363.68312930553805,4103.577216235554,207.17794656106685,0.0,0.0,605.0028783720256,20817.220417575692,6208.871521124327,27719.50851031745,2112.8564280457267,23048.053824042567,12973997.44999877
2020,'B2',0.1,752.5072943110014,16085.143474863,2932.933364277619,240.91820864466254,27761.51160579361,160.05614545288506,1153.4267165720923,3163.2840555881708,1386.7480594760727,7226.406712590041,349.2449027033952,0.0,0.0,1897.5719992035904,47811.884960497635,11157.250017348812,61212.18054024619,2485.431488123254,31007.24054182922,12968576.549998771
2021,'B2',0.1,1112.868545203986,24775.04995262913,3085.7612682707486,294.7553111877074,43441.30004818671,162.66116654367755,1448.4738654193,7347.486593904588,2237.9433903620884,10013.93365873633,495.9944241513722,0.0,0.0,2732.915428984419,75230.28687547149,16020.584525415348,94416.2282245472,2698.8018500609933,30505.245834268917,12965450.649998775
2022,'B2',0.1,1320.523071278916,24952.248481546405,3255.5765251498024,301.21567422115004,43441.30004818671,164.50698455323254,1770.5691080866357,7960.298173076825,2376.901799527406,10680.273960185661,612.280958753334,0.0,0.0,3356.601490935949,75460.09121766113,17586.56068124467,96835.6947845082,2397.7175944118812,21.748965558579997,12962458.949998777
2023,'B2',0.1,1365.5211612358073,25288.234219891652,3434.5689274227702,305.2155044395399,43441.30004818671,166.50689966242754,1996.55951542569,7960.298173076825,2541.351901856105,11403.243272159387,773.274125043527,0.0,0.0,3430.3811923042035,75756.07865382182,19057.172507549385,98676.07374833836,1810.9231313761188,29.455832458024997,12961342.649998777
2024,'B2',0.1,1658.174340734339,25633.802549926964,3434.5689274227702,370.0095663211405,43441.30004818671,180.31109432194756,2362.645965056695,8474.331064004351,2820.5091054372124,12204.529837428767,777.593729168967,0.0,0.0,4138.610883457434,76030.37351578721,20749.98828722586,101357.77622795656,2522.6488092568225,159.05367035200007,12960930.949998777
2025,'B2',0.1,1709.2569206512235,25634.93771836956,3434.5689274227702,377.9557454193229,43441.30004818671,180.31109432194756,2518.1640416925743,8474.331064004351,3003.7900906381287,13010.499431672783,945.5986586734039,0.0,0.0,4219.084582381878,76230.16316168432,21842.662455447113,102730.71374100786,1339.4987622650488,33.438750778025,12960137.149998777
2026,'B2',0.1,1709.2569206512235,25791.440750287635,3671.0623978763765,377.9557454193229,43441.30004818671,183.78893947567758,2715.241933737246,8490.561008055089,3148.700305376858,13646.945094805282,1107.8980991808048,0.0,0.0,4250.385188765446,76593.01833939014,23001.94417335703,104284.15124299972,1553.4375019994075,0.0,12959627.149998777
2027,'B2',0.1,2151.3165062750354,26155.762823479286,3910.858547918924,455.6932578518527,43441.30004818671,359.3195624945377,3136.416814528374,9441.97533931842,4631.31272784785,14468.410151554597,1293.1619643826602,0.0,0.0,5736.182064042128,77845.58826005139,25411.282712005304,109445.52774376808,3616.5347201819673,1544.8417806045143,12960249.649998777
2028,'B2',0.1,2602.587341948011,38061.493908969605,4132.454456996191,519.1712526396149,64764.69223395762,386.51776681311765,3571.278973006426,15527.054399793007,6055.5519304692225,18093.10680112763,1463.97547762972,0.0,0.0,7001.580108541057,115161.241730179,32412.997873138505,155177.88454322118,3615.9374121827677,42116.419387325834,12960477.799998775
2029,'B2',0.1,2905.1003793495265,38418.06821160975,4132.454456996191,606.5894687708686,64764.69223395762,386.51776681311765,3965.8111852829275,16088.371366530642,6288.452268575509,18861.46691133285,1466.275957001595,0.0,0.0,7696.475942633381,115398.19110548237,34180.29178548591,157883.8002060729,2611.0440870781017,94.87157579375,12959637.799998775
2030,'B2',0.1,3226.4488566581704,38581.02151747916,4352.384443239341,676.1010188269937,64764.69223395762,386.51776681311765,4363.508414292562,16849.579816326193,6496.889107505167,19658.00090296023,1620.1129940110523,0.0,0.0,8582.290682343128,115734.35351968843,36049.7714974185,160975.25707188426,3024.322194245201,67.13467160245001,12959716.349998774
