'year','tong_luc','total_2rice_luk','total_rice_shrimp','tong_tsl','tong_bhk','total_fruit_tree_lnk','climate_maxTAS_shrimp','climate_maxPR_thuysan','climate_maxTAS_caytrong','climate_minPR_caytrong','area_shrimp_tsl_risk','area_rice_fruit_tree_risk'
year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,869150.0,795825.0,172200.0,579800.0,110600.0,470675.0,37.0,400.0,36.0,200.0,0.0,1075.0
2016,849300.0,813500.0,151725.0,602000.0,111500.0,470225.0,37.0,400.0,36.0,200.0,0.0,1050.0
2017,839500.0,821825.0,135775.0,618625.0,112075.0,470450.0,37.0,400.0,36.0,200.0,150.0,48450.0
2018,834550.0,825700.0,121775.0,632875.0,112775.0,470575.0,37.0,400.0,36.0,200.0,0.0,41025.0
2019,831875.0,827525.0,110900.0,643825.0,113275.0,470850.0,37.0,400.0,36.0,200.0,124075.0,66875.0
2020,830500.0,828300.0,102600.0,652225.0,113475.0,471150.0,37.0,400.0,36.0,200.0,160175.0,75475.0
2021,829475.0,828750.0,95375.0,659550.0,113675.0,471425.0,37.0,400.0,36.0,200.0,149350.0,77700.0
2022,828750.0,829150.0,89000.0,666000.0,113775.0,471575.0,37.0,400.0,36.0,200.0,100.0,64950.0
2023,828200.0,829350.0,83775.0,671250.0,113925.0,471750.0,37.0,400.0,36.0,200.0,125.0,45275.0
2024,827775.0,829475.0,79400.0,675650.0,114025.0,471925.0,37.0,400.0,36.0,200.0,625.0,58400.0
2025,827400.0,829600.0,75600.0,679450.0,114175.0,472025.0,37.0,400.0,36.0,200.0,125.0,29500.0
2026,827200.0,829725.0,72650.0,682400.0,114175.0,472100.0,37.0,400.0,36.0,200.0,0.0,33500.0
2027,826975.0,829775.0,70225.0,684825.0,114175.0,472275.0,37.0,400.0,36.0,200.0,5650.0,77925.0
2028,826700.0,829925.0,67900.0,687150.0,114100.0,472475.0,37.0,400.0,36.0,200.0,155150.0,78325.0
2029,826500.0,830075.0,65650.0,689400.0,114100.0,472525.0,37.0,400.0,36.0,200.0,350.0,56750.0
2030,826350.0,830150.0,63650.0,691400.0,114075.0,472625.0,37.0,400.0,36.0,200.0,250.0,66350.0
2031,826200.0,830200.0,61575.0,693550.0,114025.0,472700.0,37.0,400.0,36.0,200.0,2275.0,23375.0
2032,826000.0,830200.0,59675.0,695475.0,114000.0,472900.0,37.0,400.0,36.0,200.0,133125.0,70025.0
2033,825950.0,830250.0,58000.0,697150.0,113975.0,472925.0,37.0,400.0,36.0,200.0,0.0,57325.0
2034,825925.0,830250.0,56300.0,698850.0,113975.0,472950.0,37.0,400.0,36.0,200.0,350.0,16200.0
2035,825925.0,830200.0,54625.0,700525.0,113950.0,473025.0,37.0,400.0,36.0,200.0,275.0,64925.0
2036,825925.0,830125.0,53075.0,702075.0,113950.0,473100.0,37.0,400.0,36.0,200.0,5400.0,58850.0
2037,825925.0,830125.0,52000.0,703150.0,113925.0,473125.0,37.0,400.0,36.0,200.0,4650.0,78050.0
2038,825875.0,830100.0,51075.0,704075.0,113925.0,473200.0,37.0,400.0,36.0,200.0,150.0,78425.0
2039,825875.0,830075.0,50175.0,704975.0,113875.0,473275.0,37.0,400.0,36.0,200.0,183650.0,76650.0
2040,825875.0,830075.0,49275.0,705875.0,113875.0,473275.0,37.0,400.0,36.0,200.0,4100.0,76050.0
2041,825350.0,830625.0,48325.0,706900.0,113875.0,473175.0,37.0,400.0,36.0,200.0,158600.0,79525.0
2042,825025.0,830900.0,47625.0,707600.0,113875.0,473225.0,37.0,400.0,36.0,200.0,7550.0,76850.0
2043,824800.0,831125.0,47000.0,708225.0,113875.0,473225.0,37.0,400.0,36.0,200.0,193200.0,79675.0
2044,824675.0,831200.0,46425.0,708800.0,113875.0,473275.0,37.0,400.0,36.0,200.0,156350.0,77375.0
2045,824600.0,831275.0,45675.0,709550.0,113825.0,473325.0,37.0,400.0,36.0,200.0,5100.0,77425.0
2046,824500.0,831375.0,45000.0,710225.0,113825.0,473325.0,37.0,400.0,36.0,200.0,104500.0,77750.0
2047,824400.0,831425.0,44350.0,710875.0,113825.0,473375.0,37.0,400.0,36.0,200.0,195925.0,77325.0
2048,824350.0,831475.0,43625.0,711600.0,113825.0,473375.0,37.0,400.0,36.0,200.0,187550.0,78025.0
2049,824275.0,831500.0,42875.0,712350.0,113825.0,473425.0,37.0,400.0,36.0,200.0,56150.0,78225.0
2050,824200.0,831550.0,42150.0,713075.0,113825.0,473450.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,823550.0,832250.0,41400.0,713825.0,113825.0,473400.0,37.0,400.0,36.0,200.0,0.0,0.0
