'year','sc','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit','total_benefit_5','total_benefit_34'
2015,'B2',0.5,16328.776249998125,39051.87649999752,33758.89249999735,10013.53250000076,72712.41699999466,16330.647999999668,12771.714249999972,41820.045999996626,22867.049749996295,24903.882999997862,23061.9919999989,25386.39324999869,14488.800250000375,47812.829499992,167784.56374999066,134875.51449998532,353496.02125005267,50794.26599998765,157771.59299999021
2016,'B2',0.5,16318.950999998122,39433.442999997475,33902.63374999734,9990.963750000754,73841.96049999465,16256.43374999967,12770.911249999968,43503.42149999652,22977.99724999631,25021.74924999786,22983.716249998877,25951.02299999871,14486.792750000375,47669.720999991994,171178.7962499915,135568.3662499853,357439.99700005265,100392.61599997185,321697.6919999792
2017,'B2',0.5,16240.43324999815,39311.698749997566,33992.67674999733,9910.84625000075,74677.40574999462,16211.736249999662,12199.269249999976,44595.98399999643,22880.589249996367,24108.62924999775,22768.257749998964,26260.686249998722,14489.930750000376,47513.33849999197,173523.24849999236,133588.44299998597,357648.1435000521,146621.05599995714,490149.5707499679
2018,'B2',0.5,16319.850499998125,39802.7887499975,34091.11899999732,9858.112000000767,75371.21599999459,16190.650999999647,12281.35524999999,45777.738999996254,23159.52149999633,24107.57574999774,22975.851499998877,26464.520499998715,14496.206750000378,47571.87924999198,175728.33649999308,134573.1782499858,360896.50750005164,193019.08799994236,662635.1460011182
2019,'B2',0.5,15973.792999998226,29333.114749998327,33913.109999997425,9845.951000000763,56496.69724999616,16169.589499999636,12161.055499999979,45053.15349999613,22972.074249996396,20187.966749997995,22777.272999998982,26611.207999998707,14498.605000000378,46707.09974999224,145957.0169999907,130389.53024998635,325993.5915000479,237687.57399992814,802740.2572522855
2020,'B2',0.5,15384.237999998344,29693.817499998288,30156.28224999791,9734.892750000727,55088.959749996335,15988.692249999704,12250.794499999987,44346.3592499959,21893.438499996493,20304.109749998,22748.65174999899,26703.444749998704,14506.53950000038,45466.773249992446,140257.1212499911,130378.95774998653,318800.22050004377,281771.2599999141,936864.1312534029
2021,'B2',0.5,15726.963999998316,29891.699749998264,34113.23799999741,9842.761250000756,55249.80849999633,16155.536999999622,12220.740999999976,42066.91324999554,22099.036249996472,21337.26324999794,22761.97674999899,26777.0262499987,14506.53950000038,46119.16474999236,143048.61524999098,130697.22624998646,322749.50475004414,325729.2139999001,1075617.746254559
2022,'B2',0.5,15973.238999998237,41702.05649999727,34134.28024999741,9933.619250000753,76809.51024999449,16149.112999999614,12309.757749999972,47173.77274999562,23202.2952499964,24358.965999997767,22793.100749998976,26828.587749998704,14506.53950000038,46517.10024999229,180228.19074999462,136106.43349998593,365874.8380000517,370418.16799988586,1257244.980756072
2023,'B2',0.5,16253.541499998146,41757.35474999733,34212.70224999741,9935.08125000075,76996.45999999448,16145.900999999612,12483.735749999987,48546.78924999519,23283.897999996392,24393.405499997767,22817.28499999897,26864.194999998705,14506.53950000038,47455.20324999198,180946.87924999508,136771.6927499858,368196.8887500526,416352.74599987123,1440355.3957575976
2024,'B2',0.5,15929.592999998249,41994.10024999732,34504.48999999734,9857.595250000755,77160.67149999447,16144.231749999613,12227.885749999974,48120.116749995264,23173.192999996423,24330.59449999775,23015.429749998875,26895.321999998698,14506.53950000038,46571.85624999224,181600.01274999522,136671.7112499859,367859.76300005225,461220.06399985694,1624512.354009132
