'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2015,'B2',0.1,16335.383999998134,39014.678249997516,33788.13224999734,10057.322500000762,72711.91024999466,16293.062999999684,12804.960749999967,41766.99349999662,22888.06974999629,24948.331999997867,23050.550999998908,25431.722249998682,14406.496500000361,47815.20274999201,167819.19749999064,134840.10224998533,353497.6160000526
2016,'B2',0.1,16322.42074999813,39393.342999997476,33928.735499997325,10031.615750000756,73844.99324999464,16218.848749999683,12797.881749999966,43453.716749996514,23005.310249996302,25065.796749997862,22973.07824999889,25993.2139999987,14412.761750000363,47678.450499991995,171199.90099999175,135540.25149998532,357441.7165000525
2017,'B2',0.1,16248.690499998153,39267.59199999756,34025.05449999731,9940.952500000745,74680.43849999462,16174.151249999672,12252.555749999969,44554.95174999643,22884.744749996375,24168.379499997747,22734.227749998983,26308.4134999987,14417.558250000364,47530.99799999199,173501.52099999238,133602.07799998595,357657.7105000519
2018,'B2',0.1,16320.182249998134,39735.289999997505,34117.04174999732,9922.156000000756,75385.00499999458,16153.06599999966,12305.40174999998,45661.00699999622,23191.13074999632,24123.086749997732,22962.815249998883,26512.247749998704,14417.558250000364,47571.077249992,175720.61349999328,134491.18424998582,360805.98850005143
2019,'B2',0.1,15994.14774999823,29145.737749998334,33915.06499999742,9879.293000000762,56933.261999996124,16132.405999999653,12206.474999999973,44841.82549999616,22976.3759999964,20245.820749997998,22759.324999998986,26646.266749998693,14423.834250000366,46692.090749992254,145950.9372499907,130586.16974998634,326099.8347500477
2020,'B2',0.1,15478.088249998345,29644.621249998294,30392.55474999787,9786.10300000074,54955.97724999634,15958.037999999702,12237.060499999974,44275.97674999589,21951.98274999649,20337.109749997977,22776.349999998973,26738.50349999869,14426.972250000366,45632.25499999242,140603.93249999106,130081.22824998654,318959.33800004394
2021,'B2',0.1,15684.452749998334,29896.108249998266,34107.60149999741,9909.20350000076,55011.92499999635,16119.413999999644,12320.517249999986,41966.44424999551,22118.485749996467,21395.551499997946,22776.74974999898,26815.37074999869,14430.110250000367,46082.17074999239,142750.59749999095,130848.52924998642,322551.93450004404
2022,'B2',0.1,16019.063249998231,41641.48849999727,34162.648999997415,9974.467750000753,76832.82974999449,16111.527999999638,12368.383999999975,47092.57899999563,23214.700499996386,24361.318999997748,22774.938749998983,26862.13574999869,14433.248250000368,46599.14374999226,180186.50074999462,136040.57349998594,365849.3315000516
2023,'B2',0.1,16248.81124999816,41715.79274999733,34178.35149999743,9974.467750000755,77023.31899999447,16109.777999999638,12485.343999999975,48467.0574999952,23249.519249996396,24379.67649999775,22792.963249998982,26910.41149999869,14438.044750000368,47447.21824999199,180852.4142499951,136650.79099998585,367973.53700005246
2024,'B2',0.1,15971.031249998243,41967.537499997314,34517.71299999734,9891.34775000076,77172.14674999447,16106.646749999638,12309.903999999979,48086.701749995256,23165.39949999642,24410.43349999775,23011.050249998876,26928.986499998686,14441.18275000037,46636.06449999224,181553.26624999547,136781.49849998584,367980.08125005214
2025,'B2',0.1,16250.273249998158,42605.84374999716,34558.23324999734,9980.743750000753,77315.10424999447,16102.053499999638,12593.531999999972,49118.6709999949,23337.3712499964,24425.432749997755,22821.764999998974,26936.002249998684,14447.45875000037,47451.220249991995,182133.7744999955,137884.37649998558,370492.4847500526
2026,'B2',0.1,16350.07374999814,42519.970749997236,34306.18824999743,10000.90000000075,77424.70499999447,16103.709749999636,12562.829999999987,49350.38199999478,23398.450999996396,24721.13599999778,22797.650749998986,26943.01799999868,14452.99500000037,47553.222499992,182401.1047499959,137954.5694999857,370932.0102500524
2027,'B2',0.1,15733.87349999832,42399.71324999731,34328.78524999742,9900.022000000761,77524.77524999446,15915.713249999717,12271.366249999977,48364.08199999494,22060.222749996527,24382.331249997755,22812.12424999897,26947.63549999868,14452.99500000037,45813.65474999241,181742.87149999602,136527.86124998613,367093.6395000493
2028,'B2',0.1,15798.206749998306,30604.126749998166,34341.184749997425,9916.104000000756,56496.52824999629,16080.381999999647,12302.06824999999,43513.81624999501,22040.275249996514,21427.666249997954,22794.200999998986,26948.37524999868,14452.99500000037,46064.07174999238,145781.7444999909,131950.9612499865,326715.9297500421
2029,'B2',0.1,15975.108749998251,42635.0517499973,34632.88124999734,9913.180000000757,77737.98574999445,16099.825749999634,12309.378249999982,49175.1299999947,23390.853749996415,24449.583249997755,23017.88699999888,26949.11499999868,14455.393250000372,46694.84224999223,183507.68674999644,137515.73124998587,370741.3737500525
2030,'B2',0.1,16037.126349998229,34407.62825000256,30288.788800000475,8176.49050000056,68384.98115000132,16090.914849999632,10115.092450000751,44902.42850000065,22024.871249997967,20642.29215000104,21326.288999999597,21659.745899999783,12652.936599999966,46246.02049999302,161469.08919998998,116008.78860000307,326709.5857498497
2031,'B2',0.1,15950.18962999826,27765.885049997472,27271.753159998003,6833.490740000035,60918.892349997965,16086.819229999632,8750.310449999823,42076.180789999555,20332.28591999693,18243.63214999918,20178.041479999483,17432.031860000305,11213.715600000225,46124.00629999218,143613.80567000125,100354.12522999234,293053.22840978263
2032,'B2',0.1,15952.570653998258,15752.051415998825,24489.174312000585,5662.1587240000545,40652.354793999984,16075.602983999635,6951.8364539995,38356.36096199546,19981.260763998864,12478.110767999446,19220.013479999943,14092.334331999542,10067.483104000203,45613.06907199239,108567.47070599091,82681.85479599955,239731.3127478683
2033,'B2',0.1,16132.57777319822,17728.25415240133,22579.235490799194,4797.1100999998835,50187.4083791983,16078.94473719963,5881.446666000002,37370.09884679599,19450.707753197683,13242.623255600178,18610.19860959987,11423.69724560058,9149.63037600024,45994.13131039216,118962.2342783774,74742.47642239873,242631.93338569067
2034,'B2',0.1,15967.024268558256,14404.34855016036,20923.96799055911,4100.134709920436,46431.69374151873,16071.928439759637,5110.764217039806,36325.38042455995,18779.381983757918,12071.275079600038,17999.689478720084,9291.410352160046,8411.527232639495,45960.54309367231,110289.00070111787,66725.3129246393,225888.5264687965
2035,'B2',0.1,15789.844264846308,11477.206422288202,19589.643171935528,3528.2062500162524,43386.51116676375,16073.069401807634,4292.839609232043,34336.463880325275,18417.369171739992,10543.491791920482,17511.179743840636,7548.787190623883,7824.243356032609,45184.341884040005,103142.85381116411,59087.98267654578,210318.8554215866
2036,'B2',0.1,16013.30786187664,9229.316209872179,18392.948977260337,3091.59571812484,40995.104526782445,16050.850721446046,3725.642492342324,33986.94345549621,17185.870287205627,9571.094295279596,17015.59481976997,6172.0223465154795,7361.510270335793,45706.85430513892,96796.1410508757,53400.05448659742,198791.80198247143
2037,'B2',0.1,15822.223439501018,7433.087261366938,17543.408333373733,2730.004137053438,39019.47256726737,16069.039827156748,3289.164952318012,32426.773197824154,16938.9395946442,8772.80916882379,16689.365028819644,5089.153940760395,6987.097900474065,44855.091827689546,92192.7599911791,48866.469218760045,188810.5393492426
2038,'B2',0.1,15788.455101600492,6000.049180818896,16864.827901333218,2442.818162619455,37421.11644728685,16068.126911725327,2930.106484531405,31768.83349300648,17579.990014248062,8215.313585719905,16461.90940917319,4232.427125659885,6692.516489977071,44847.03629474823,89310.72651173046,45417.62545182762,182466.49030776406
2039,'B2',0.1,15428.645731280098,3492.985326065606,12991.586054723028,2179.5431122038963,26070.119040165002,15858.012079380269,2646.096297620198,27258.27788861822,16531.76036430218,5981.100979577625,16279.374957839744,3545.572170259668,6446.637860926791,44091.49827115081,66209.59354464391,41878.8001757149,154709.711863078
2040,'B2',0.1,15149.346085023728,3925.050162598646,13368.121506687477,1760.5772733163362,29928.38654058617,13815.874013503946,2127.591270341904,27838.854985396607,14835.600028477707,6077.422633373636,13314.041247893902,2982.8663274031796,5164.419119053649,40499.77456432629,72614.93771895766,34492.482069436235,150288.1511935156
2041,'B2',0.1,14311.12534801972,2231.2015216524987,8731.189537720098,1401.1822257025362,18332.033027265537,11836.809070803045,1696.0656789688107,24973.555818591656,12254.867337947431,4038.370365875734,10949.891535977775,2508.6400770868936,4142.273891618016,36580.336241632,50942.97780337605,27567.77820951994,117407.20543714668
2042,'B2',0.1,14214.631554415404,2591.234816363446,9054.894148564283,1136.5366230483426,20878.057475667578,10515.311194643347,1371.1794621283138,22822.358278027506,10698.236606151908,4388.454419015297,9064.808263295556,2114.058981248053,3316.0117949948203,34306.613038910924,52648.8128177875,22757.98524662684,112165.77361753852
2043,'B2',0.1,13674.04447833209,1556.5239293225688,6014.071150877736,902.090833806974,12792.638899978228,9254.725492515878,1095.1470505517727,17012.984158843145,9417.330637605475,2856.2481958128014,7571.0303785964525,1804.2230357704436,2666.6517311262737,31549.079556444758,34623.62668711332,18368.777276223947,86617.70997313135
