'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt','total_wu'
2015,'B2',0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.594172512190003,0.0,0.0,0.0,0.0,9.459255695540001,0.0,10.134916816650001,19.594172512190003,13241431.799998693
2016,'B2',0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.526007668000001,38.34477570819,0.0,0.0,0.0,0.0,23.68385122354,0.0,19.186932152649998,42.87078337619,13090815.29999874
2017,'B2',0.1,34.64242079467003,233.17013996412405,0.0,31.977619195080038,0.0,0.6662003998975,248.49274916176634,119.11247645037038,160.27460427991,457.01347432968106,101.26246078442024,0.0,0.0,78.16760734637504,160.55429637529795,1147.8902416382473,1386.6121453599212,13023604.299998762
2018,'B2',0.1,34.64242079467003,481.43091147281257,0.0,66.71965135955999,0.0,0.6662003998975,493.8583513234153,251.5664740774502,176.19803568862997,999.1339345629033,101.26246078442024,0.0,0.0,91.19586940805503,335.7120418712184,2178.570529184455,2605.4784404638867,12990489.89999877
2019,'B2',0.1,214.728875222499,8193.250233887726,157.9705740594994,125.8728516862921,12703.65171404007,1.456053270195,823.244966597559,1404.0957440716718,364.0474256484327,4238.766442773191,217.37083271815192,0.0,0.0,582.0734983652807,21553.75769855332,6206.250766980251,28444.455713972817,12975771.39999877
2020,'B2',0.1,729.4326582889377,16183.953759629263,2851.503663246931,252.1377506480049,27579.172868707883,118.6837858531526,1152.7477455796782,3338.860336522868,1312.2660723548402,7576.721323729773,333.45093865568026,0.0,0.0,1747.4276075008388,48201.94680095299,11110.422502260131,61428.93090318978,12969541.69999877
2021,'B2',0.1,1114.9757797262514,24726.371688744435,3000.858205785671,298.15978991867223,43468.707257638795,118.6837858531526,1446.152501087671,7415.254874621682,2217.9980252433156,10357.981312554914,461.0969721045123,0.0,0.0,2632.7576288184027,75450.96308341011,16060.838883077784,94626.24019322985,12966441.049998773
2022,'B2',0.1,1315.2470337629616,24904.493126666486,3162.3672816217277,307.38887996644746,43468.707257638795,119.6066948579301,1726.7168385400207,8052.062087918133,2358.8022524181883,11009.555069927805,600.4562318259128,0.0,0.0,3244.4458737078257,75711.22342275741,17588.05286070645,97025.40275508583,12963637.249998778
2023,'B2',0.1,1377.2444021480119,25245.47865278473,3361.3588349866473,317.3884555124222,43468.707257638795,119.6066948579301,1950.70733076988,8052.062087918133,2512.469979318275,11722.52480635556,746.4500347971438,0.0,0.0,3326.442393184819,76010.2107315819,19055.66481434738,98873.99853702467,12963724.499998778
2024,'B2',0.1,1649.3794620507056,25593.20678488276,3361.3588349866473,391.9016266762628,43468.707257638795,120.68659588929009,2322.1932855576842,8585.533197410146,2804.4687359016216,12483.855033464606,747.5299358285038,0.0,0.0,4037.0664051489293,76258.58796879467,20738.761484741593,101528.82075023289,12963946.749998778
2025,'B2',0.1,1718.624737049149,25600.017795538344,3361.3588349866473,403.2533111022377,43468.707257638795,124.0921012170826,2492.4685519473333,8585.533197410146,2975.2628682339637,13276.202606397455,898.5073386939774,0.0,0.0,4127.879880556729,76478.81064665853,21802.933181397933,102904.02860016939,12963250.449998777
2026,'B2',0.1,1718.624737049149,25780.865743532562,3592.0558968507044,403.2533111022377,43468.707257638795,125.2513829349926,2690.705725709915,8598.285296307155,3124.8102098443323,13854.684183634463,1072.3995963804743,0.0,0.0,4148.746951479108,76832.39157062107,22954.09992728249,104429.64334093155,12964442.949998777
2027,'B2',0.1,2217.4111450953424,26155.630169140535,3823.6042320586034,483.3113462939475,43468.707257638795,310.97238801512253,3122.3229589173516,9545.058582052128,4619.807551958242,14706.316036253103,1238.1909884843394,0.0,0.0,5612.598450939201,78169.43499641924,25401.223150747137,109691.3326558363,12965252.949998777
2028,'B2',0.1,2669.836126128095,38219.65700129664,4046.3542864956476,550.2517771610437,64200.53849948047,332.525186613835,3527.4279801992298,15429.21132733109,6146.818202897016,18454.433429540586,1415.9293738900637,0.0,0.0,6846.808315075543,115096.23458856819,32439.870963393245,154992.98319090417,12965732.949998777
2029,'B2',0.1,2981.5510810171095,38593.48489922583,4046.3542864956476,619.2661583172967,64200.53849948047,332.525186613835,3925.410911533543,16029.63644339061,6382.1439173626795,19245.798333464525,1417.0796135760013,0.0,0.0,7572.635723700685,115366.54091476378,34224.5433680172,157773.7893303287,12964562.949998775
2030,'B2',0.1,3241.3647435219705,38757.57773870271,4267.423806346275,697.8939772332415,64200.53849948047,333.6647202213125,4341.340678262816,16803.379762868422,6606.410492312402,20032.0765226246,1594.8468563424851,0.0,0.0,8393.373313299597,115679.91265682026,36186.4490366401,160876.51779773016,12964240.449998774
2031,'B2',0.1,3563.1378233630076,38757.57773870271,4267.423806346275,728.1653122705546,64200.53849948047,333.6647202213125,4342.461838819754,17200.270600024105,7478.249032086068,20032.0765226246,1745.0823709720983,0.0,0.0,9097.852866760473,116369.21999948664,36558.187383641365,162648.648264727,12956822.949998774
2032,'B2',0.1,3876.3874855183044,50565.970604056994,4460.869211747361,831.985134262419,83173.41162006996,340.1401035389175,4794.106482797972,19391.92247536096,7776.544042516199,24339.338538810636,1918.7435871845084,0.0,0.0,10048.643077269584,147306.636267437,43413.04732632125,201469.41928562574,12949451.999998776
2033,'B2',0.1,4053.104048717911,50904.31817018393,4460.869211747361,903.1027755500807,83173.41162006996,340.1401035389175,5186.331049899538,19964.09622572018,7916.624245052472,25074.220832115698,1918.7435871845084,0.0,0.0,10558.319506497905,147525.37689139773,45110.172857049074,203894.96186951568,12944882.14999877
2034,'B2',0.1,4346.11763475302,50904.31817018393,4460.869211747361,969.7448546844124,83173.41162006996,343.3135358786476,5378.852611843184,19964.09622572018,8150.678277156735,25074.220832115698,1920.8592087443283,0.0,0.0,10957.966323960547,147525.37689139773,45495.81434876235,204686.48218264073,12928625.649998778
2035,'B2',0.1,4759.531894178923,51224.246793056234,4460.869211747361,1049.7270104024892,83173.41162006996,344.3522651736876,5746.562782287328,20667.31595846223,8299.578562811772,25807.563714413907,1923.9753966294481,0.0,0.0,11862.58675113523,147754.9360656018,47126.1681867546,207457.1352089958,12918505.749998778
2036,'B2',0.1,5009.332474525914,51566.83044610415,4638.278603504,1113.9614453488298,83173.41162006996,363.39242192460017,6119.734261499569,20864.09764012298,9648.458425816518,26492.73102050729,2059.581425960612,0.0,0.0,12319.434539432837,148848.06755296572,49156.84977887955,211049.80978512115,12910022.049998779
2037,'B2',0.1,5388.261761183121,51888.61960223368,4802.6817860748515,1172.104034306814,83173.41162006996,365.3973387852202,6449.543085071582,21611.93162913429,10930.319708842171,27194.45192172434,2219.974774810223,0.0,0.0,13335.755296834257,149932.63424685,51202.84980444547,215196.69726195236,12904999.799998777
