'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt','total_wu'
2015,'B2',0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.100688142000003,0.0,0.0,0.0,0.0,4.391603540000001,0.0,5.709084602000002,10.100688142000003,257366.3999998454
2016,'B2',0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7822824000000006,18.926013742000002,0.0,0.0,0.0,0.0,13.63718274,0.0,9.071113402000002,22.70829614199999,253180.39999983308
2017,'B2',0.5,15.155390477499989,129.4703357935002,0.0,16.454423946999988,0.0,0.0,148.9558378359996,73.93008975300012,81.87921337353009,268.03390587349674,50.229294154000065,0.0,0.0,51.392444325015006,84.0041643610001,648.7118825220106,784.1084912080448,249537.1999998231
2018,'B2',0.5,15.155390477499989,268.72183793750185,0.0,38.56530435500004,0.0,0.0,299.0275580519996,143.0853965609997,88.93587733353,566.7660135134839,50.69973841800007,0.0,0.0,57.50821975701501,179.5043499529998,1233.944546937987,1470.9571166480152,246536.89999981478
2019,'B2',0.5,131.69304012300074,8151.506935602756,65.71285971199998,65.77453532950004,13694.815748871868,0.0,497.489152070351,1172.746114377538,208.05372308830934,3908.399013093521,97.9308563360005,0.0,0.0,370.0063884937691,22875.746139377854,4673.915814313635,27994.12197860243,244249.3999998081
2020,'B2',0.5,567.3725303237455,15891.37487637188,3083.7222742609265,186.78902665021047,29656.77861812905,135.8052143236601,700.5998677559512,3123.7963976738556,1200.4964427156206,7421.65528057369,185.9613114047615,0.0,0.0,1309.2884356654104,51727.6789998622,8771.320339581707,62154.35184015779,242526.89999980066
2021,'B2',0.5,762.6536627527295,23957.197781067815,3145.241474939434,221.2172031767111,46600.158494540454,135.8052143236601,889.1444319120411,7726.390422208842,2168.8139733607336,9990.523466035149,246.3517194102626,0.0,0.0,1803.8805652649723,80853.73307845475,12737.505039053396,95843.49784368937,240984.99999979505
2022,'B2',0.5,879.0273541217313,24062.773913443736,3205.8277781779348,223.61666073071115,46600.158494540454,135.8052143236601,1054.7070031380435,8064.713937322591,2241.6667976212484,10300.053490500919,306.3381582602635,0.0,0.0,2158.477342654767,80959.90907521911,13507.923223352886,97074.6888021353,239851.59999979034
2023,'B2',0.5,892.6761725882302,24227.209678777792,3261.07299578044,224.91654820371116,46600.158494540454,135.8052143236601,1158.0480572415536,8064.713937322591,2317.3519810969865,10626.32524622395,361.58337586276406,0.0,0.0,2193.049379278583,81080.14866647158,14148.284495257845,97869.86170191452,239023.89999978465
2024,'B2',0.5,1038.6723510202237,24416.022044154117,3261.07299578044,265.62702103571075,46600.158494540454,154.8916547659001,1358.792802585574,8364.427245930496,2435.8570295840186,10968.854741775653,362.2852805667641,0.0,0.0,2607.0113036715757,81185.43437207144,14979.474678227632,99226.6616616809,238344.59999978053
2025,'B2',0.5,1049.0019281312225,24416.022044154117,3261.07299578044,267.84050184521084,46600.158494540454,154.8916547659001,1421.5080921880667,8364.427245930496,2501.02233863154,11315.633401930612,422.78708935976636,0.0,0.0,2637.3568235222856,81276.92491219743,15405.342743769414,99774.36578719935,237771.2999997769
2026,'B2',0.5,1049.0019281312225,24495.893030798237,3307.036488094454,267.84050184521084,46600.158494540454,154.8916547659001,1506.6535779500666,8367.441245426493,2531.162333591549,11548.464862996401,489.0950782717663,0.0,0.0,2641.8778227662856,81382.41489455747,15838.605171319243,100317.63919635417,237326.59999977192
