year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,868600.0,796000.0,172325.0,579675.0,110725.0,470925.0,37.0,400.0,36.0,200.0,0.0,900.0
2016,847000.0,815550.0,151900.0,601725.0,111250.0,470825.0,37.0,400.0,36.0,200.0,0.0,950.0
2017,836150.0,825100.0,136025.0,618275.0,111650.0,471050.0,37.0,400.0,36.0,200.0,200.0,49475.0
2018,828550.0,831450.0,122050.0,632425.0,112450.0,471325.0,37.0,400.0,36.0,200.0,0.0,40000.0
2019,823450.0,835575.0,111250.0,643400.0,112875.0,471700.0,37.0,400.0,36.0,200.0,128575.0,65000.0
2020,818825.0,839250.0,102975.0,651800.0,113325.0,472075.0,37.0,400.0,36.0,200.0,158375.0,76000.0
2021,813300.0,843775.0,95775.0,659050.0,113725.0,472625.0,37.0,400.0,36.0,200.0,148575.0,74675.0
2022,807550.0,848750.0,89425.0,665400.0,114275.0,472850.0,37.0,400.0,36.0,200.0,175.0,61625.0
2023,801400.0,853900.0,84225.0,670625.0,114775.0,473325.0,37.0,400.0,36.0,200.0,150.0,39850.0
2024,795975.0,858525.0,79875.0,675000.0,115150.0,473725.0,37.0,400.0,36.0,200.0,625.0,53675.0
2025,791375.0,862600.0,76200.0,678675.0,115375.0,474025.0,37.0,400.0,36.0,200.0,125.0,26675.0
2026,787200.0,866175.0,73225.0,681650.0,115575.0,474425.0,37.0,400.0,36.0,200.0,0.0,25150.0
2027,784025.0,869025.0,70825.0,684075.0,115700.0,474600.0,37.0,400.0,36.0,200.0,6225.0,67350.0
2028,781300.0,871475.0,68475.0,686450.0,115700.0,474850.0,37.0,400.0,36.0,200.0,155000.0,66500.0
2029,778525.0,874100.0,66100.0,688825.0,115675.0,475025.0,37.0,400.0,36.0,200.0,425.0,52450.0
2030,776175.0,876275.0,64125.0,690800.0,115675.0,475200.0,37.0,400.0,36.0,200.0,300.0,54875.0
2031,774050.0,878275.0,62025.0,692900.0,115675.0,475325.0,37.0,400.0,36.0,200.0,2925.0,20725.0
2032,772025.0,880075.0,60125.0,694800.0,115725.0,475500.0,37.0,400.0,36.0,200.0,133600.0,58800.0
2033,770150.0,881750.0,58400.0,696525.0,115775.0,475650.0,37.0,400.0,36.0,200.0,0.0,50175.0
2034,768425.0,883275.0,56625.0,698300.0,115800.0,475825.0,37.0,400.0,36.0,200.0,325.0,14925.0
2035,766975.0,884575.0,54875.0,700050.0,115775.0,476000.0,37.0,400.0,36.0,200.0,125.0,56575.0
2036,765525.0,885800.0,53250.0,701675.0,115875.0,476125.0,37.0,400.0,36.0,200.0,5075.0,46350.0
2037,764075.0,887100.0,52150.0,702775.0,115925.0,476225.0,37.0,400.0,36.0,200.0,5300.0,60800.0
2038,762650.0,888375.0,51200.0,703725.0,116025.0,476275.0,37.0,400.0,36.0,200.0,225.0,62175.0
2039,761275.0,889600.0,50275.0,704650.0,116125.0,476325.0,37.0,400.0,36.0,200.0,183725.0,60950.0
2040,759775.0,890875.0,49350.0,705575.0,116225.0,476450.0,37.0,400.0,36.0,200.0,4100.0,59100.0
2041,758350.0,892075.0,48425.0,706500.0,116350.0,476550.0,37.0,400.0,36.0,200.0,159850.0,60825.0
2042,756600.0,893750.0,47675.0,707350.0,116400.0,476475.0,37.0,400.0,36.0,200.0,8250.0,58925.0
2043,754800.0,895375.0,47025.0,708100.0,116425.0,476525.0,37.0,400.0,36.0,200.0,197475.0,58625.0
2044,753000.0,897025.0,46450.0,708950.0,116275.0,476550.0,37.0,400.0,36.0,200.0,156275.0,59400.0
2045,751350.0,898575.0,45700.0,709800.0,116225.0,476600.0,37.0,400.0,36.0,200.0,5200.0,58850.0
2046,749775.0,900050.0,45025.0,710625.0,116225.0,476550.0,37.0,400.0,36.0,200.0,107800.0,56100.0
2047,748275.0,901425.0,44375.0,711375.0,116250.0,476550.0,37.0,400.0,36.0,200.0,193850.0,58125.0
2048,746800.0,902825.0,43650.0,712275.0,116250.0,476450.0,37.0,400.0,36.0,200.0,186500.0,57500.0
2049,745325.0,904150.0,42900.0,713100.0,116225.0,476550.0,37.0,400.0,36.0,200.0,54950.0,54375.0
2050,744000.0,905500.0,42175.0,713825.0,116225.0,476525.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,742400.0,906975.0,41425.0,714625.0,116325.0,476500.0,37.0,400.0,36.0,200.0,0.0,0.0
2015,868625.0,796075.0,172325.0,579700.0,110650.0,470875.0,37.0,400.0,36.0,200.0,0.0,800.0
2016,848575.0,813875.0,151900.0,601850.0,111475.0,470575.0,37.0,400.0,36.0,200.0,0.0,1000.0
2017,838875.0,822175.0,136000.0,618450.0,112025.0,470725.0,37.0,400.0,36.0,200.0,125.0,49175.0
2018,833175.0,826750.0,122025.0,632625.0,112825.0,470850.0,37.0,400.0,36.0,200.0,0.0,42075.0
2019,829550.0,829375.0,111225.0,643500.0,113500.0,471100.0,37.0,400.0,36.0,200.0,126150.0,68500.0
2020,826750.0,831225.0,102950.0,651875.0,114175.0,471275.0,37.0,400.0,36.0,200.0,157675.0,76250.0
2021,823850.0,833250.0,95725.0,659200.0,114600.0,471625.0,37.0,400.0,36.0,200.0,147625.0,75850.0
2022,820700.0,835700.0,89400.0,665600.0,115000.0,471850.0,37.0,400.0,36.0,200.0,175.0,62500.0
2023,818000.0,837750.0,84225.0,670800.0,115475.0,472000.0,37.0,400.0,36.0,200.0,175.0,41800.0
2024,815700.0,839425.0,79875.0,675175.0,116025.0,472050.0,37.0,400.0,36.0,200.0,500.0,57350.0
2025,813475.0,840950.0,76200.0,678850.0,116375.0,472400.0,37.0,400.0,36.0,200.0,150.0,27950.0
2026,811550.0,842400.0,73225.0,681825.0,116625.0,472625.0,37.0,400.0,36.0,200.0,0.0,28100.0
2027,809650.0,843925.0,70825.0,684225.0,116775.0,472850.0,37.0,400.0,36.0,200.0,6100.0,71800.0
2028,807550.0,845800.0,68475.0,686575.0,116825.0,473025.0,37.0,400.0,36.0,200.0,154150.0,70550.0
2029,805475.0,847600.0,66100.0,688950.0,117025.0,473100.0,37.0,400.0,36.0,200.0,450.0,57300.0
2030,803700.0,849125.0,64125.0,690925.0,117150.0,473225.0,37.0,400.0,36.0,200.0,325.0,62150.0
2031,802225.0,850225.0,62025.0,693025.0,117375.0,473375.0,37.0,400.0,36.0,200.0,2725.0,21700.0
2032,801100.0,851150.0,60125.0,694925.0,117500.0,473450.0,37.0,400.0,36.0,200.0,135025.0,65775.0
2033,800050.0,851875.0,58400.0,696650.0,117600.0,473675.0,37.0,400.0,36.0,200.0,0.0,53525.0
2034,799400.0,852400.0,56625.0,698425.0,117675.0,473725.0,37.0,400.0,36.0,200.0,325.0,14825.0
2035,799025.0,852700.0,54875.0,700175.0,117700.0,473775.0,37.0,400.0,36.0,200.0,300.0,64050.0
2036,798425.0,853175.0,53250.0,701800.0,117700.0,473900.0,37.0,400.0,36.0,200.0,5700.0,52650.0
2037,798075.0,853500.0,52150.0,702900.0,117725.0,473900.0,37.0,400.0,36.0,200.0,4300.0,67025.0
2038,797600.0,853850.0,51200.0,703850.0,117750.0,474000.0,37.0,400.0,36.0,200.0,125.0,68775.0
2039,797200.0,854200.0,50275.0,704775.0,117750.0,474050.0,37.0,400.0,36.0,200.0,185375.0,70525.0
2040,796850.0,854425.0,49350.0,705700.0,117775.0,474150.0,37.0,400.0,36.0,200.0,4050.0,71050.0
2041,796375.0,854700.0,48425.0,706675.0,117825.0,474250.0,37.0,400.0,36.0,200.0,156675.0,68350.0
2042,796075.0,854825.0,47675.0,707475.0,117875.0,474325.0,37.0,400.0,36.0,200.0,8650.0,68700.0
2043,795650.0,855075.0,47025.0,708175.0,118050.0,474275.0,37.0,400.0,36.0,200.0,193450.0,67475.0
2044,795000.0,855575.0,46450.0,708950.0,118025.0,474250.0,37.0,400.0,36.0,200.0,156200.0,67775.0
2045,794350.0,856025.0,45700.0,709725.0,118175.0,474275.0,37.0,400.0,36.0,200.0,5625.0,68950.0
2046,793750.0,856400.0,45025.0,710575.0,118275.0,474225.0,37.0,400.0,36.0,200.0,103350.0,68875.0
2047,793300.0,856700.0,44375.0,711350.0,118325.0,474200.0,37.0,400.0,36.0,200.0,200800.0,65575.0
2048,792750.0,857200.0,43650.0,712150.0,118375.0,474125.0,37.0,400.0,36.0,200.0,190475.0,69175.0
2049,792150.0,857750.0,42900.0,712975.0,118375.0,474100.0,37.0,400.0,36.0,200.0,55625.0,67875.0
2050,791575.0,858300.0,42175.0,713700.0,118400.0,474100.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,790200.0,859650.0,41425.0,714500.0,118425.0,474050.0,37.0,400.0,36.0,200.0,0.0,0.0
2015,868775.0,795875.0,172325.0,579675.0,110575.0,471025.0,37.0,400.0,36.0,200.0,0.0,600.0
2016,848800.0,813725.0,151900.0,601825.0,111350.0,470650.0,37.0,400.0,36.0,200.0,0.0,950.0
2017,838925.0,822125.0,136000.0,618400.0,111925.0,470875.0,37.0,400.0,36.0,200.0,225.0,48400.0
2018,833200.0,826475.0,122025.0,632625.0,112800.0,471125.0,37.0,400.0,36.0,200.0,0.0,41600.0
2019,829750.0,829075.0,111225.0,643500.0,113350.0,471350.0,37.0,400.0,36.0,200.0,126750.0,65600.0
2020,826825.0,830975.0,102950.0,651875.0,113975.0,471650.0,37.0,400.0,36.0,200.0,157900.0,78475.0
2021,824000.0,832975.0,95725.0,659200.0,114500.0,471850.0,37.0,400.0,36.0,200.0,147625.0,73950.0
2022,821275.0,834975.0,89400.0,665600.0,114975.0,472025.0,37.0,400.0,36.0,200.0,75.0,63325.0
2023,818675.0,836825.0,84225.0,670800.0,115450.0,472275.0,37.0,400.0,36.0,200.0,200.0,42800.0
2024,816450.0,838450.0,79875.0,675175.0,115875.0,472425.0,37.0,400.0,36.0,200.0,725.0,55950.0
2025,814325.0,840000.0,76200.0,678850.0,116250.0,472625.0,37.0,400.0,36.0,200.0,175.0,27625.0
2026,812625.0,841425.0,73225.0,681825.0,116350.0,472800.0,37.0,400.0,36.0,200.0,0.0,28300.0
2027,810875.0,842925.0,70825.0,684225.0,116425.0,472975.0,37.0,400.0,36.0,200.0,5375.0,71800.0
2028,809050.0,844525.0,68475.0,686575.0,116525.0,473100.0,37.0,400.0,36.0,200.0,157100.0,73300.0
2029,807000.0,846225.0,66100.0,688950.0,116675.0,473300.0,37.0,400.0,36.0,200.0,500.0,54350.0
2015,869000.0,795600.0,172325.0,579700.0,110625.0,471000.0,37.0,400.0,36.0,200.0,0.0,875.0
2016,849150.0,813375.0,151900.0,601850.0,111450.0,470525.0,37.0,400.0,36.0,200.0,0.0,1175.0
2017,839325.0,821750.0,136000.0,618450.0,112050.0,470675.0,37.0,400.0,36.0,200.0,150.0,49900.0
2018,833625.0,826300.0,122025.0,632625.0,112925.0,470750.0,37.0,400.0,36.0,200.0,0.0,39575.0
2019,830100.0,828825.0,111225.0,643500.0,113700.0,470900.0,37.0,400.0,36.0,200.0,127225.0,69325.0
2020,827300.0,830900.0,102950.0,651875.0,114150.0,471075.0,37.0,400.0,36.0,200.0,156400.0,76775.0
2021,824275.0,832875.0,95725.0,659200.0,114800.0,471375.0,37.0,400.0,36.0,200.0,147275.0,75400.0
2022,821475.0,834925.0,89400.0,665600.0,115350.0,471500.0,37.0,400.0,36.0,200.0,100.0,64425.0
2023,819175.0,836675.0,84225.0,670800.0,115725.0,471650.0,37.0,400.0,36.0,200.0,100.0,42850.0
2024,816900.0,838275.0,79875.0,675175.0,116150.0,471875.0,37.0,400.0,36.0,200.0,600.0,56600.0
2025,814550.0,840000.0,76200.0,678850.0,116450.0,472200.0,37.0,400.0,36.0,200.0,125.0,28425.0
2026,812300.0,841925.0,73225.0,681825.0,116675.0,472300.0,37.0,400.0,36.0,200.0,0.0,27125.0
2027,809975.0,843750.0,70825.0,684225.0,116950.0,472525.0,37.0,400.0,36.0,200.0,5500.0,69850.0
2028,807675.0,845725.0,68475.0,686575.0,117125.0,472675.0,37.0,400.0,36.0,200.0,155175.0,72325.0
2029,805325.0,847675.0,66100.0,688950.0,117275.0,472925.0,37.0,400.0,36.0,200.0,375.0,58175.0
2030,803100.0,849550.0,64125.0,690925.0,117500.0,473050.0,37.0,400.0,36.0,200.0,350.0,61800.0
2031,801625.0,850750.0,62025.0,693025.0,117650.0,473175.0,37.0,400.0,36.0,200.0,3125.0,21850.0
2032,800675.0,851575.0,60125.0,694925.0,117625.0,473325.0,37.0,400.0,36.0,200.0,135600.0,63825.0
2033,799600.0,852475.0,58400.0,696650.0,117725.0,473400.0,37.0,400.0,36.0,200.0,0.0,54400.0
2034,799000.0,852975.0,56625.0,698425.0,117825.0,473400.0,37.0,400.0,36.0,200.0,300.0,14975.0
2035,798450.0,853275.0,54875.0,700175.0,117950.0,473525.0,37.0,400.0,36.0,200.0,100.0,61375.0
2036,798050.0,853525.0,53250.0,701800.0,118000.0,473625.0,37.0,400.0,36.0,200.0,4825.0,52600.0
2037,797925.0,853525.0,52150.0,702900.0,118025.0,473725.0,37.0,400.0,36.0,200.0,4650.0,69750.0
2038,797725.0,853625.0,51200.0,703850.0,118050.0,473800.0,37.0,400.0,36.0,200.0,125.0,69925.0
2039,797500.0,853800.0,50275.0,704775.0,118075.0,473825.0,37.0,400.0,36.0,200.0,185200.0,68300.0
2040,797225.0,853875.0,49350.0,705700.0,118050.0,474050.0,37.0,400.0,36.0,200.0,3850.0,68525.0
2041,796875.0,854100.0,48425.0,706675.0,118075.0,474100.0,37.0,400.0,36.0,200.0,156550.0,70875.0
2042,796625.0,854300.0,47675.0,707475.0,118075.0,474100.0,37.0,400.0,36.0,200.0,7750.0,69375.0
2043,796300.0,854525.0,47025.0,708175.0,118125.0,474100.0,37.0,400.0,36.0,200.0,196400.0,68500.0
2044,795600.0,855100.0,46450.0,708950.0,118100.0,474050.0,37.0,400.0,36.0,200.0,154125.0,67650.0
2045,794875.0,855625.0,45700.0,709725.0,118275.0,474050.0,37.0,400.0,36.0,200.0,4950.0,66350.0
2046,794300.0,855975.0,45025.0,710575.0,118350.0,474025.0,37.0,400.0,36.0,200.0,104875.0,68025.0
2047,793775.0,856300.0,44375.0,711350.0,118475.0,473975.0,37.0,400.0,36.0,200.0,196950.0,69450.0
2048,793175.0,856800.0,43650.0,712150.0,118550.0,473925.0,37.0,400.0,36.0,200.0,186225.0,67900.0
2049,792450.0,857400.0,42900.0,712975.0,118600.0,473925.0,37.0,400.0,36.0,200.0,56150.0,67925.0
2050,791825.0,857975.0,42175.0,713700.0,118600.0,473975.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,790375.0,859325.0,41425.0,714500.0,118650.0,473975.0,37.0,400.0,36.0,200.0,0.0,0.0
