'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit','total_benefit_5','total_benefit_34'
2015,'M1',0.1,16305.162499998134,39009.01624999752,33767.18374999735,10003.993500000768,72761.50374999466,16311.724749999674,12821.88999999996,41787.14074999662,22815.945499996313,24934.477499997865,23098.953499998883,25364.500749998704,14462.739500000367,47807.309249992,167709.12899999067,134904.6802499853,353444.2320000527,50751.86799998766,157743.86999999022
2015,'M1',0.2,16317.221749998127,38988.182999997516,33809.45249999733,10015.792000000767,72788.10024999465,16283.087249999679,12853.738749999953,41817.55024999662,22836.993999996295,24854.15124999787,23059.9669999989,25406.288999998687,14419.899750000364,47807.032499992,167746.83924999068,134873.44149998532,353450.42675005255,50765.02599998766,157743.86999999022
2015,'M1',0.5,16342.55149999813,39104.74674999751,33763.65274999735,9968.689250000754,72753.33774999465,16308.645249999678,12826.211249999955,41714.8857499966,22872.9644999963,24942.499749997864,23049.84199999891,25393.18099999869,14449.300000000363,47839.22624999199,167734.74799999065,134893.41974998533,353490.50750005245,50756.25399998766,157757.73149999022
2015,'M1',1.0,16336.924749998127,39011.36349999752,33794.19424999734,10012.118750000764,72755.19174999466,16268.834249999682,12826.57924999996,41740.51349999664,22844.1552499963,24946.58374999786,23077.14724999889,25369.1682499987,14462.266750000368,47805.37974999199,167825.86949999066,134790.67849998534,353445.0412500525,50748.94399998766,157743.86999999022
2016,'M1',1.0,16319.618999998123,39413.81824999747,33937.195749997314,9986.412000000757,73869.21374999465,16193.81699999968,12815.960749999958,43430.11624999652,22972.138499996316,25049.788999997854,22998.738249998867,25933.79799999872,14470.07475000037,47667.627999991986,171239.92974999174,135460.01999998532,357390.69125005236,100318.05399997187,321628.3844999792
2016,'M1',0.1,16291.79774999813,39410.00899999747,33902.99049999734,9979.026500000762,73871.98624999465,16237.911999999676,12813.669749999957,43456.76499999652,22942.616999996324,25047.21324999786,23020.42024999886,25929.130499998722,14463.067000000367,47665.367999992,171096.56324999148,135581.5599999853,357366.60475005256,100323.90199997187,321628.3844999792
2016,'M1',0.5,16329.588249998127,39488.140499997455,33918.46649999733,9940.18275000075,73886.33624999464,16233.627999999675,12821.128999999954,43392.4132499965,22992.888999996314,25055.23549999786,22968.76649999889,25961.688499998712,14460.647500000367,47683.48549999199,171118.5049999918,135624.00749998528,357449.1115000523,100312.20599997188,321656.1074999792
2016,'M1',0.2,16303.856999998125,39370.15099999748,33958.72999999731,9989.68375000076,73908.11324999464,16208.069999999683,12852.195999999953,43498.8482499965,22960.296499996308,24970.153999997867,22979.69449999888,25965.382499998712,14421.431750000365,47669.01249999199,171142.32449999175,135552.1579999853,357386.6085000525,100344.36999997187,321628.3844999792
2017,'M1',0.2,16224.937749998144,39231.56624999757,34049.51274999731,9895.160250000752,74730.48849999461,16162.31199999968,12336.109999999984,44627.9162499964,22908.05599999636,24034.702499997744,22763.83449999897,26278.18374999872,14432.504250000367,47502.130249991984,173463.0934999924,133686.94749998592,357675.284750052,146578.65799995715,490066.4017499679
2017,'M1',1.0,16253.412749998133,39331.92724999755,34029.6369999973,9890.212500000749,74701.11949999462,16150.982999999671,12320.34274999999,44503.12824999644,22865.48949999638,24146.523749997737,22765.146749998978,26246.59924999873,14478.009250000372,47528.07874999197,173573.38949999237,133557.94974998597,357682.53150005185,146587.42999995715,490031.7479999679
