'year','sc','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit','total_benefit_5','total_benefit_34'
2015,'B2',0.1,16334.039499998125,39401.85374999747,33927.90424999734,9989.792000000763,73394.38424999463,16280.835999999677,12832.06324999995,42983.098999996546,23023.282249996304,24917.238249997867,23065.258999998892,25662.344499998708,14466.148750000373,47804.16824999203,170064.39174999145,135386.5712499853,356278.2447500522,50767.94999998766,161860.73549998994
2016,'B2',0.1,16317.536749998122,40117.389249997366,34186.01149999733,9963.683750000757,75000.52524999458,16205.417249999677,12830.858749999948,45218.39699999641,23235.20849999632,25101.01499999787,22989.78299999888,26233.584249998727,14469.740750000374,47666.56049999202,174906.9944999926,136272.4824999853,361869.1510000515,100356.06599997186,332246.2934999785
2017,'B2',0.1,16226.921499998152,40314.460249997435,34376.09349999735,9866.958500000748,76156.46799999455,16161.12124999967,12326.896749999982,46593.78524999611,23236.6209999964,24265.600999997758,22742.909249998986,26547.205499998723,14469.740750000374,47485.202249992006,178180.23274999394,134596.23399998594,363284.7825000509,146536.25999995717,508952.6954999666
2018,'B2',0.1,16318.774499998126,40965.94049999736,34518.131499997355,9858.396000000757,77063.34874999449,16140.838999999658,12344.190499999972,47889.84999999565,23591.00824999635,24424.826499997762,22985.669499998872,26739.17849999871,14469.740750000374,47556.557999992016,180948.2079999951,135782.0147499858,367309.8942500516,192929.9059999424,690711.6142513521
2019,'B2',0.1,15957.588749998233,30166.936999998234,34317.81824999746,9818.603500000763,57244.862749996166,16122.04249999965,12262.437749999981,47247.29549999546,23376.573999996443,20695.883749998015,22800.873499998965,26805.596499998715,14476.016750000375,46642.073749992276,150387.60949999077,131350.62574998633,331292.530500047,237555.99399992818,839161.3485025889
2020,'B2',0.1,14939.088499998403,30808.78324999815,30724.835499997913,9650.02725000072,55925.534499996305,15781.03724999972,12316.381749999982,47011.12299999515,21888.926999996544,20875.26074999778,22821.54874999888,26850.959249998734,14482.292750000377,44445.30149999263,145718.31149999087,131256.4027499865,324075.79950003896,279959.8419999147,982960.549503787
2021,'B2',0.1,15125.507749998376,30414.12324999817,34514.18424999744,9786.058500000749,56548.14949999625,15854.834749999665,12321.445249999975,45098.81324999489,21866.01374999655,22166.770249997728,22852.614499998872,26868.805999998734,14482.292750000377,44696.6364999926,148661.79199999062,131622.03299998646,327899.6137500409,322202.8699999012,1131819.1980050271
2022,'B2',0.1,15359.135499998298,42672.27024999724,34532.513749997444,9867.52900000075,78733.98199999439,15817.482499999658,12362.118999999964,51132.36924999431,23019.805749996438,25061.517499997546,22856.292249998864,26876.561499998737,14487.829000000378,44981.74874999255,187795.2297499969,136979.31524998596,372779.4072500498,364850.87199988763,1325852.4750066437
2023,'B2',0.1,15571.654249998222,42679.75449999728,34542.82674999744,9860.219000000754,78982.87999999437,15807.075749999654,12579.197499999964,52971.487249993734,22990.47074999644,25211.831749997553,22850.370249998865,26880.439249998737,14487.829000000378,45777.73924999227,189049.59549999697,137565.5877499858,375416.0360000512,408659.7019998737,1521930.3232582773
2024,'B2',0.1,15252.70224999833,42762.1144999973,34683.8839999974,9804.663000000752,79150.76874999437,15781.198999999653,12356.829499999965,53044.174749993676,22887.02824999646,25397.447999997556,23036.629249998772,26889.85324999873,14496.50325000038,44924.72599999256,190165.7689999971,137437.11999998588,375543.79775005096,451423.20199986006,1719616.1055099242
