'year','tong_luc','total_2rice_luk','total_rice_shrimp','tong_tsl','tong_bhk','total_fruit_tree_lnk','climate_maxTAS_shrimp','climate_maxPR_thuysan','climate_maxTAS_caytrong','climate_minPR_caytrong','area_shrimp_tsl_risk','area_rice_fruit_tree_risk'
year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,868725.0,796175.0,157500.0,594525.0,110675.0,470650.0,37.0,400.0,36.0,200.0,0.0,600.0
2016,848750.0,814000.0,128425.0,625275.0,111500.0,470300.0,37.0,400.0,36.0,200.0,0.0,800.0
2017,838950.0,822400.0,106150.0,648225.0,112100.0,470425.0,37.0,400.0,36.0,200.0,150.0,49275.0
2018,833075.0,826925.0,88375.0,666300.0,113000.0,470575.0,37.0,400.0,36.0,200.0,0.0,39750.0
2019,829650.0,829425.0,75125.0,679600.0,113625.0,470825.0,37.0,400.0,36.0,200.0,133475.0,66550.0
2020,793500.0,864075.0,63325.0,691950.0,123700.0,461700.0,37.0,400.0,36.0,200.0,162950.0,68400.0
2021,789975.0,868150.0,53375.0,702000.0,126475.0,458275.0,37.0,400.0,36.0,200.0,154700.0,67625.0
2022,786775.0,871100.0,44700.0,710725.0,127625.0,457325.0,37.0,400.0,36.0,200.0,150.0,57500.0
2023,784350.0,873250.0,37325.0,718125.0,128325.0,456875.0,37.0,400.0,36.0,200.0,175.0,35225.0
2024,782075.0,875125.0,30950.0,724525.0,128650.0,456925.0,37.0,400.0,36.0,200.0,775.0,50825.0
2025,779975.0,876700.0,25775.0,729700.0,128950.0,457150.0,37.0,400.0,36.0,200.0,75.0,23050.0
2026,778500.0,877975.0,21300.0,734175.0,129125.0,457175.0,37.0,400.0,36.0,200.0,0.0,22425.0
2027,777125.0,879100.0,17700.0,737775.0,129375.0,457175.0,37.0,400.0,36.0,200.0,5900.0,65875.0
2028,775275.0,880525.0,14500.0,740975.0,129425.0,457550.0,37.0,400.0,36.0,200.0,155625.0,66175.0
2029,773925.0,881750.0,11700.0,743775.0,129500.0,457600.0,37.0,400.0,36.0,200.0,550.0,51125.0
2030,765475.0,911500.0,9150.0,762225.0,112375.0,437525.0,37.0,400.0,36.0,200.0,400.0,54800.0
2031,758950.0,918150.0,7150.0,764675.0,112075.0,437250.0,37.0,400.0,36.0,200.0,2800.0,19750.0
2032,755150.0,921825.0,5150.0,766850.0,112000.0,437275.0,37.0,400.0,36.0,200.0,135975.0,57100.0
2033,753150.0,923650.0,3500.0,768600.0,112100.0,437250.0,37.0,400.0,36.0,200.0,0.0,48100.0
2034,751875.0,924900.0,2125.0,770000.0,112125.0,437225.0,37.0,400.0,36.0,200.0,350.0,14175.0
2035,750575.0,926125.0,1275.0,770850.0,112125.0,437300.0,37.0,400.0,36.0,200.0,225.0,53375.0
2036,749300.0,927150.0,900.0,771225.0,112200.0,437475.0,37.0,400.0,36.0,200.0,5375.0,44350.0
2037,748300.0,928025.0,500.0,771625.0,112225.0,437575.0,37.0,400.0,36.0,200.0,5075.0,59925.0
2038,747350.0,928850.0,300.0,771825.0,112300.0,437625.0,37.0,400.0,36.0,200.0,100.0,58950.0
2039,746625.0,929450.0,125.0,772000.0,112325.0,437725.0,37.0,400.0,36.0,200.0,180675.0,58800.0
2040,669675.0,1036425.0,0.0,778875.0,86825.0,426450.0,37.0,400.0,36.0,200.0,4000.0,54350.0
2041,616750.0,1091050.0,0.0,779225.0,86325.0,424900.0,37.0,400.0,36.0,200.0,155150.0,51650.0
2042,589675.0,1118525.0,0.0,779275.0,86325.0,424450.0,37.0,400.0,36.0,200.0,7900.0,47650.0
2043,582475.0,1125625.0,0.0,779300.0,86375.0,424475.0,37.0,400.0,36.0,200.0,186700.0,49025.0
2044,579500.0,1128425.0,0.0,779300.0,86600.0,424425.0,37.0,400.0,36.0,200.0,154325.0,50425.0
2045,577225.0,1130550.0,0.0,779300.0,86775.0,424400.0,37.0,400.0,36.0,200.0,5075.0,47950.0
2046,575225.0,1132450.0,0.0,779300.0,86950.0,424325.0,37.0,400.0,36.0,200.0,103300.0,48750.0
2047,573350.0,1134250.0,0.0,779300.0,87075.0,424275.0,37.0,400.0,36.0,200.0,186250.0,46575.0
2048,571950.0,1135650.0,0.0,779300.0,87100.0,424250.0,37.0,400.0,36.0,200.0,178775.0,46275.0
2049,570400.0,1137050.0,0.0,779300.0,87150.0,424350.0,37.0,400.0,36.0,200.0,49150.0,47175.0
2050,544125.0,1166150.0,0.0,781950.0,83200.0,422825.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,526275.0,1184325.0,0.0,782000.0,82975.0,422675.0,37.0,400.0,36.0,200.0,0.0,0.0
