year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,868925.0,795825.0,172325.0,579700.0,110775.0,470700.0,37.0,400.0,36.0,200.0,0.0,625.0
2016,848950.0,813550.0,151900.0,601850.0,111725.0,470275.0,37.0,400.0,36.0,200.0,0.0,800.0
2017,839125.0,821850.0,136000.0,618450.0,112250.0,470575.0,37.0,400.0,36.0,200.0,200.0,49450.0
2018,833500.0,826325.0,122025.0,632625.0,113150.0,470625.0,37.0,400.0,36.0,200.0,0.0,41400.0
2019,829900.0,829000.0,111225.0,643500.0,113825.0,470800.0,37.0,400.0,36.0,200.0,126475.0,63925.0
2020,793925.0,863925.0,102950.0,652300.0,123350.0,461800.0,37.0,400.0,36.0,200.0,159600.0,69450.0
2021,789875.0,868125.0,95725.0,659625.0,126675.0,458225.0,37.0,400.0,36.0,200.0,147700.0,68400.0
2022,786950.0,871000.0,89400.0,666025.0,127800.0,457075.0,37.0,400.0,36.0,200.0,150.0,56000.0
2023,784700.0,872875.0,84225.0,671225.0,128550.0,456675.0,37.0,400.0,36.0,200.0,75.0,35275.0
2024,782575.0,874550.0,79875.0,675600.0,128825.0,456825.0,37.0,400.0,36.0,200.0,625.0,52525.0
2025,780525.0,876200.0,76200.0,679275.0,129200.0,456850.0,37.0,400.0,36.0,200.0,225.0,24525.0
2026,779025.0,877350.0,73225.0,682250.0,129375.0,457025.0,37.0,400.0,36.0,200.0,0.0,22575.0
2027,777350.0,878700.0,70825.0,684650.0,129575.0,457150.0,37.0,400.0,36.0,200.0,5275.0,66125.0
2028,775500.0,880050.0,68475.0,687000.0,129850.0,457375.0,37.0,400.0,36.0,200.0,155650.0,65175.0
2029,773925.0,881150.0,66100.0,689375.0,130100.0,457600.0,37.0,400.0,36.0,200.0,475.0,51750.0
2030,772600.0,882275.0,64125.0,692425.0,129925.0,456900.0,37.0,400.0,36.0,200.0,175.0,56425.0
2031,771300.0,883350.0,62025.0,694625.0,130050.0,456900.0,37.0,400.0,36.0,200.0,2825.0,21400.0
2032,770225.0,884175.0,60125.0,696550.0,130075.0,457100.0,37.0,400.0,36.0,200.0,134700.0,58025.0
2033,769375.0,884900.0,58400.0,698300.0,130025.0,457250.0,37.0,400.0,36.0,200.0,0.0,50300.0
2034,768375.0,885775.0,56625.0,700100.0,130075.0,457300.0,37.0,400.0,36.0,200.0,350.0,15950.0
2035,767525.0,886475.0,54875.0,701850.0,130100.0,457425.0,37.0,400.0,36.0,200.0,250.0,56425.0
2036,766725.0,887150.0,53250.0,703500.0,130125.0,457500.0,37.0,400.0,36.0,200.0,5250.0,45925.0
2037,766200.0,887700.0,52150.0,704600.0,130150.0,457450.0,37.0,400.0,36.0,200.0,5550.0,61925.0
2038,765475.0,888375.0,51200.0,705550.0,130200.0,457450.0,37.0,400.0,36.0,200.0,100.0,61950.0
2039,764925.0,888850.0,50275.0,706475.0,130225.0,457500.0,37.0,400.0,36.0,200.0,184575.0,61825.0
2040,764525.0,899900.0,49600.0,714075.0,124050.0,446100.0,37.0,400.0,36.0,200.0,4325.0,61525.0
2041,762600.0,901700.0,48325.0,715675.0,123825.0,446125.0,37.0,400.0,36.0,200.0,164075.0,60550.0
2042,760500.0,903475.0,47150.0,717075.0,123925.0,446125.0,37.0,400.0,36.0,200.0,8175.0,59925.0
2043,758550.0,904900.0,46025.0,718350.0,124200.0,446225.0,37.0,400.0,36.0,200.0,198450.0,60900.0
2044,755200.0,907950.0,45100.0,719350.0,124400.0,446250.0,37.0,400.0,36.0,200.0,159875.0,58650.0
2045,752075.0,910825.0,44150.0,720300.0,124625.0,446275.0,37.0,400.0,36.0,200.0,5400.0,58950.0
2046,749250.0,913125.0,43250.0,721325.0,124750.0,446550.0,37.0,400.0,36.0,200.0,105625.0,58100.0
2047,746450.0,915525.0,42400.0,722225.0,125025.0,446625.0,37.0,400.0,36.0,200.0,197175.0,56225.0
2048,743525.0,918100.0,41625.0,723025.0,125475.0,446500.0,37.0,400.0,36.0,200.0,191350.0,57775.0
2049,740575.0,920450.0,40850.0,723800.0,125975.0,446600.0,37.0,400.0,36.0,200.0,57050.0,55225.0
2050,737550.0,922800.0,40075.0,724575.0,126300.0,446950.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,734800.0,925050.0,39250.0,725400.0,126700.0,447050.0,37.0,400.0,36.0,200.0,0.0,0.0
