'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2015,'M1',0.5,15182.857999998043,39121.68799999766,33536.61624999737,8959.489249999797,73242.92424999463,14492.580499998097,12798.598249999191,43053.758999997,26487.48924999733,25162.642749997623,22625.447999998774,24109.152749998353,13546.4139999998,48110.807999992845,169776.7727499895,131277.2739999855,352319.66025005287
2015,'M1',0.1,15209.225999998043,39073.07399999766,33511.54074999739,8986.761249999805,73251.53099999462,14491.3457499981,12689.355499999188,43037.177249996996,26478.17299999733,25267.209499997607,22642.211749998773,24129.339749998355,13499.783499999801,48114.01449999282,169852.52424998948,131145.38474998553,352266.72900005267
2015,'M1',0.2,15203.323249998039,38977.32324999767,33532.928499997375,8975.693499999801,73319.33999999461,14447.640749998096,12704.210749999189,43074.001249997025,26493.89324999732,25283.5919999976,22613.642499998776,24133.53399999835,13553.202999999798,48105.33824999285,169776.14649998953,131276.03574998552,352312.32600005274
2015,'M1',1.0,15172.392249998053,39137.27399999766,33538.94699999737,9009.166749999793,73268.69574999463,14479.854249998101,12750.718499999186,42983.95374999702,26480.13049999733,25204.0004999976,22612.77224999878,24121.614999998357,13541.407749999798,48130.95949999285,169769.95874998954,131245.20449998553,352300.92825005273
2016,'M1',1.0,15203.117999998058,39525.16724999763,33689.53524999736,9042.015749999779,74357.15099999458,14554.194999998133,12748.045249999184,44690.45499999698,26677.993999997332,25331.914749997606,22784.48949999886,24701.691999998366,13554.4352499998,48259.41299999286,173182.6597499894,132263.32974998548,356860.2080000514
2016,'M1',0.2,15239.923499998045,39360.013499997636,33688.71474999736,9008.542499999785,74425.26524999457,14525.52099999813,12701.537499999187,44774.419249997,26683.65049999733,25401.610499997605,22792.438749998855,24714.012499998367,13556.805749999796,48232.34324999286,173176.93799998937,132308.36849998546,356872.4552500514
2016,'M1',0.1,15239.148749998045,39460.56574999762,33667.32699999736,9022.00849999979,74344.75149999457,14568.824499998133,12679.603249999185,44748.67999999699,26675.992999997332,25390.35849999761,22821.52524999884,24710.67374999837,13514.406249999802,48238.85224999285,173257.98149998937,132192.22674998548,356843.86600005144
2016,'M1',0.5,15215.115749998045,39504.37824999764,33690.458249997355,8988.79874999978,74336.18099999458,14571.263749998132,12792.38549999919,44774.176749996965,26694.01799999733,25275.09299999762,22799.161999998847,24706.927249998367,13554.697499999802,48251.04499999287,173182.75224998937,132314.05299998546,356902.6557500516
2017,'M1',0.1,15205.452749998069,39491.7984999977,33762.25124999736,8995.7094999998,75173.14324999455,14610.30549999816,12299.56249999933,45929.987999996796,26648.853499997393,24831.299249998032,22737.78949999896,25030.62799999839,13527.422999999804,48246.12499999287,175731.17224998944,131112.10174998615,358244.2045000551
2017,'M1',0.5,15184.156249998068,39532.95274999771,33792.57724999734,8956.83924999979,75159.80749999455,14611.68424999816,12417.369999999322,45966.74874999679,26669.77799999739,24615.543749998105,22708.938999998973,25030.01949999839,13570.112499999803,48273.76974999288,175603.97849998943,131183.97499998612,358216.52875005547
