year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2020,644450.0,837725.0,87800.0,704375.0,167425.0,556475.0,37.0,400.0,36.5,180.0,166825.0,63275.0
2030,432125.0,858450.0,41100.0,753550.0,252925.0,660100.0,37.0,400.0,36.5,180.0,275.0,625.0
2040,305575.0,863175.0,23650.0,771200.0,296250.0,738400.0,37.0,400.0,36.5,180.0,7625.0,20125.0
2050,226175.0,861175.0,16275.0,778600.0,327025.0,789000.0,37.0,400.0,36.5,180.0,0.0,0.0
2015,807975.0,804225.0,164525.0,610475.0,111625.0,499425.0,37.0,400.0,36.5,180.0,0.0,0.0
2016,767450.0,815500.0,142600.0,640825.0,118375.0,513500.0,37.0,400.0,36.5,180.0,0.0,0.0
2017,732625.0,822150.0,124300.0,662650.0,125025.0,531500.0,37.0,400.0,36.5,180.0,75.0,29050.0
2018,704300.0,826700.0,109225.0,680050.0,129975.0,548000.0,37.0,400.0,36.5,180.0,0.0,7825.0
2019,678125.0,830000.0,97450.0,693350.0,133825.0,565500.0,37.0,400.0,36.5,180.0,137625.0,36250.0
2020,646000.0,837750.0,87800.0,704375.0,167825.0,554500.0,37.0,400.0,36.5,180.0,167700.0,63100.0
2021,614525.0,841600.0,79250.0,713550.0,189850.0,559475.0,37.0,400.0,36.5,180.0,158450.0,47850.0
2022,587375.0,844900.0,72325.0,720925.0,203000.0,569725.0,37.0,400.0,36.5,180.0,50.0,1425.0
2023,564650.0,847925.0,66675.0,726950.0,211575.0,580475.0,37.0,400.0,36.5,180.0,125.0,1550.0
2024,542950.0,850025.0,61725.0,732175.0,218575.0,592800.0,37.0,400.0,36.5,180.0,525.0,425.0
2025,521675.0,851925.0,57375.0,736775.0,225700.0,604800.0,37.0,400.0,36.5,180.0,50.0,900.0
2026,502900.0,853600.0,53450.0,740825.0,231625.0,615850.0,37.0,400.0,36.5,180.0,0.0,250.0
2027,485350.0,855150.0,49975.0,744400.0,236775.0,626600.0,37.0,400.0,36.5,180.0,6200.0,26625.0
2028,467775.0,855800.0,46550.0,747900.0,242100.0,638125.0,37.0,400.0,36.5,180.0,165825.0,36850.0
2029,451125.0,856575.0,43525.0,751050.0,247475.0,648500.0,37.0,400.0,36.5,180.0,325.0,0.0
2030,435250.0,857525.0,41100.0,753550.0,252525.0,658300.0,37.0,400.0,36.5,180.0,300.0,400.0
2031,419625.0,858200.0,38675.0,756000.0,257575.0,668175.0,37.0,400.0,36.5,180.0,2575.0,400.0
2032,405075.0,859075.0,36300.0,758375.0,262850.0,676575.0,37.0,400.0,36.5,180.0,143125.0,35025.0
2033,391325.0,860200.0,34125.0,760550.0,267850.0,684200.0,37.0,400.0,36.5,180.0,0.0,2150.0
2034,378375.0,860900.0,31975.0,762700.0,272175.0,692125.0,37.0,400.0,36.5,180.0,250.0,75.0
2035,366050.0,861275.0,30175.0,764525.0,276375.0,699850.0,37.0,400.0,36.5,180.0,150.0,25700.0
2036,353725.0,861800.0,28575.0,766225.0,280350.0,707575.0,37.0,400.0,36.5,180.0,5600.0,6200.0
2037,342400.0,862250.0,27075.0,767750.0,283925.0,714850.0,37.0,400.0,36.5,180.0,5500.0,14475.0
2038,331300.0,863000.0,25800.0,769025.0,287650.0,721475.0,37.0,400.0,36.5,180.0,150.0,20450.0
2039,320725.0,863675.0,24700.0,770125.0,291600.0,727425.0,37.0,400.0,36.5,180.0,199700.0,35375.0
2040,310600.0,863600.0,23650.0,771200.0,295150.0,734050.0,37.0,400.0,36.5,180.0,6925.0,21950.0
2041,301450.0,863825.0,22700.0,772175.0,298475.0,739625.0,37.0,400.0,36.5,180.0,170100.0,33800.0
2042,292900.0,863975.0,21700.0,773175.0,301725.0,744775.0,37.0,400.0,36.5,180.0,13050.0,29700.0
2043,284425.0,863675.0,20825.0,774050.0,304925.0,750350.0,37.0,400.0,36.5,180.0,210475.0,30550.0
2044,276600.0,862975.0,20000.0,774875.0,308200.0,755600.0,37.0,400.0,36.5,180.0,170250.0,30225.0
2045,269325.0,862600.0,19150.0,775725.0,311275.0,760175.0,37.0,400.0,36.5,180.0,5775.0,18050.0
2046,261625.0,862150.0,18425.0,776450.0,314550.0,765050.0,37.0,400.0,36.5,180.0,115100.0,28200.0
2047,253875.0,861975.0,17775.0,777100.0,317575.0,769950.0,37.0,400.0,36.5,180.0,213250.0,29500.0
2048,246150.0,861575.0,17250.0,777625.0,320600.0,775050.0,37.0,400.0,36.5,180.0,205475.0,28050.0
2049,239075.0,861050.0,16775.0,778100.0,323800.0,779450.0,37.0,400.0,36.5,180.0,66250.0,26525.0
2050,232475.0,861250.0,16275.0,778600.0,326500.0,783150.0,37.0,400.0,36.5,180.0,0.0,0.0
2015,807900.0,804375.0,164525.0,610475.0,111200.0,499775.0,37.0,400.0,36.5,180.0,0.0,0.0
2016,766275.0,815700.0,142600.0,640825.0,118050.0,514800.0,37.0,400.0,36.5,180.0,0.0,0.0
2017,733525.0,823025.0,124300.0,662650.0,123850.0,530900.0,37.0,400.0,36.5,180.0,225.0,29650.0
2018,705625.0,827500.0,109225.0,680050.0,128425.0,547425.0,37.0,400.0,36.5,180.0,0.0,7725.0
2019,679475.0,831500.0,97450.0,693350.0,131975.0,564500.0,37.0,400.0,36.5,180.0,134850.0,36625.0
2020,646650.0,839250.0,87800.0,704375.0,166400.0,553775.0,37.0,400.0,36.5,180.0,170000.0,63425.0
2021,615500.0,842875.0,79250.0,713525.0,188550.0,558550.0,37.0,400.0,36.5,180.0,158425.0,47275.0
