'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2020,'M1',0.5,13423.0,19484.0,24337.0,8102.0,36683.0,13718.0,11006.0,30667.0,20175.0,16585.0,20951.0,25029.0,13841.0,38774.0,98703.0,116524.0,254001.0
2020,'M1',0.005,13621.0,19182.0,24136.0,8222.0,36657.0,13867.0,10941.0,30770.0,20260.0,16366.0,20833.0,24972.0,13881.0,39393.0,97817.0,116498.0,253708.0
2020,'M1',0.007,13566.0,18958.0,24167.0,8158.0,37087.0,13920.0,11053.0,30307.0,20263.0,16526.0,20901.0,25045.0,13900.0,39469.0,97973.0,116409.0,253851.0
2030,'M1',0.005,15399.0,20272.0,24940.0,8951.0,37477.0,15832.0,11481.0,31744.0,22221.0,18742.0,21609.0,28071.0,16114.0,42750.0,101287.0,128816.0,272853.0
2030,'M1',0.5,14364.0,20781.0,25095.0,8674.0,38687.0,15058.0,11602.0,31687.0,21219.0,19462.0,21744.0,27867.0,16098.0,39530.0,104678.0,128130.0,272338.0
2030,'M1',0.007,14950.0,19890.0,24760.0,8932.0,38206.0,15574.0,11648.0,31569.0,22452.0,18959.0,21702.0,28025.0,16099.0,41925.0,101959.0,128882.0,272766.0
2040,'M1',0.5,15363.0,20875.0,25470.0,9134.0,39023.0,16481.0,11867.0,32674.0,22459.0,21606.0,22254.0,29573.0,17343.0,41430.0,106744.0,135948.0,284122.0
2040,'M1',0.007,16451.0,20592.0,25403.0,9289.0,39398.0,17031.0,11931.0,32568.0,23924.0,20617.0,22137.0,29725.0,17361.0,44722.0,105705.0,136000.0,286427.0
2040,'M1',0.005,17102.0,20925.0,25448.0,9409.0,38443.0,17503.0,11828.0,32523.0,23818.0,20772.0,22098.0,29646.0,17337.0,45875.0,104948.0,136029.0,286852.0
2050,'M1',0.5,16812.0,39454.0,31469.0,9592.0,73548.0,17918.0,12385.0,50480.0,25624.0,30319.0,22634.0,30519.0,17902.0,45018.0,183112.0,150526.0,378656.0
2050,'M1',0.007,18525.0,39285.0,31426.0,9872.0,73570.0,18757.0,12435.0,50518.0,27273.0,29447.0,22510.0,30588.0,17906.0,49514.0,182279.0,150319.0,382112.0
2050,'M1',0.005,18998.0,39463.0,31405.0,9922.0,73641.0,19431.0,12328.0,50432.0,27191.0,29373.0,22519.0,30569.0,17900.0,50602.0,181919.0,150651.0,383172.0
