'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt'
2020,'M1',0.5,3544.0361000730863,66295.62546525033,23421.132968077454,974.7494755024981,133275.19360452186,1212.7955439479974,1816.7938627729566,45088.16844909639,7866.48488083652,30573.591108288892,723.919873706498,0.0,0.0,9481.539888002386,271417.54455877614,33893.40688548792,314792.4913325143
2020,'M1',0.005,3644.9435372415883,67049.78739852068,23434.26995390744,1028.2401185409997,133856.423821935,1147.1672545749975,1846.9218895449585,45528.753203274544,7837.924417014034,30381.76643135732,776.3089858834982,0.0,0.0,9395.769836414831,272362.08083869197,34774.6563368804,316532.5070122403
2020,'M1',0.007,3632.439423006585,67377.19268948752,23135.381861784954,933.7506099919995,133291.40222672108,1158.485001167498,1798.5488881979566,45638.74971908194,8052.064705745029,30063.321318355356,738.0106262004979,0.0,8.769925010000001,9474.270030126832,272327.31092777225,34026.536037045866,315828.1169951889
2030,'M1',0.005,11764.01276019181,250369.1275016056,85548.41218811789,3368.70525206409,484778.2708345849,4006.272496952996,5671.336244363908,197175.73948640862,30518.903766370502,106217.41724493129,2462.1202004165534,0.0,0.0,31247.7164067962,1016477.5435668045,134155.05800318602,1181880.3179781013
2030,'M1',0.5,11283.785159678931,248242.20678469847,85506.31818751543,3284.1234648565814,484024.59152990935,3814.430849909995,5589.893826235893,195359.6324608156,30596.340376496522,105961.31021245263,2244.8295275620035,0.0,0.0,30819.03470322966,1011838.7382274101,133249.68945026444,1175907.4623822805
2030,'M1',0.007,11697.199277272368,250613.78723560544,84824.6890481986,2997.0513767355815,486531.9492966691,3900.3986303144993,5626.988545438922,198026.47471807717,30612.873281753476,105417.68118176985,2273.8284645030208,0.0,22.226352148,31428.280046731765,1018514.1934252618,132602.67393722723,1182545.1474105346
2040,'M1',0.5,18335.55328267005,428196.2155281038,144043.56711568564,5319.9717687835655,826239.6881062977,6538.732360917975,8736.43658688473,361006.741361826,53203.14598133536,178049.62170149523,3455.2225495340654,0.0,0.0,50392.298437518744,1753269.215392081,229463.38251430096,2033124.896348358
2040,'M1',0.007,19236.262651556015,431355.3123210577,144610.4086695773,5134.571382806037,829696.3311788836,6554.301622978484,8806.858266325247,362608.36998836027,53248.733295791186,177834.43315588887,3497.4795525995846,0.0,59.547052795999996,51417.72062112953,1762143.4717171113,229081.416800713,2042642.6091433766
2040,'M1',0.005,19158.91658912447,430410.980327382,145056.8321780562,5539.3491716065655,828081.928363694,6828.3007673989705,8810.375193035217,363213.33219459344,52791.46048291097,178588.23761416745,3909.4303036206275,0.0,0.0,50877.02195244571,1761061.2188214203,230450.90241208565,2042389.1431903585
2050,'M1',0.5,23975.90305510311,585550.1347071994,195394.37342106306,6925.234082057549,1129007.01192371,8938.310407629946,11188.422067318616,512540.18503460754,73108.58928453014,240150.70873434428,4358.290729424538,0.0,0.0,66410.71064909588,2412875.8648867747,311850.58791377547,2791137.16345136
2050,'M1',0.007,25884.401016863212,589539.2709523281,196306.91816314572,6903.102491551026,1132604.1310366176,8882.75517555746,11217.713464465156,514464.9646019885,72966.0879499625,241113.48420008124,4408.50650612255,0.0,77.728491533,68189.55634528471,2425086.4148329394,311093.09287456446,2804369.0640541515
2050,'M1',0.005,25311.040798248694,587584.6649660475,196701.86215304025,7370.451727293555,1131785.7259964687,9194.19589653494,11286.622940168088,515280.3133553395,72587.72174559282,241401.506203285,5008.294810788606,0.0,0.0,67215.34549262772,2423955.3059283947,312341.74917442945,2803512.4005967127
