'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2020,'M1',0.2,13364.0,26189.0,26564.0,8306.0,50400.0,13583.0,11250.0,40812.0,20453.0,19409.0,21125.0,25053.0,13938.0,39037.0,130884.0,120525.0,290446.0
2020,'M1',0.1,13419.0,26200.0,26360.0,8226.0,49978.0,13529.0,11299.0,40800.0,20424.0,19456.0,21018.0,25007.0,13949.0,38904.0,130636.0,120125.0,289665.0
2020,'M1',0.5,13386.0,26076.0,26403.0,8274.0,49331.0,13556.0,11318.0,40878.0,20391.0,19657.0,20996.0,25005.0,13990.0,38892.0,129966.0,120403.0,289261.0
2020,'M1',1.0,13379.0,26299.0,26574.0,8215.0,50041.0,13593.0,11171.0,40800.0,20580.0,19533.0,21004.0,25140.0,13899.0,39029.0,130828.0,120371.0,290228.0
2030,'M1',0.5,15252.0,38220.0,30853.0,8979.0,71715.0,15293.0,12108.0,47369.0,23328.0,26784.0,21948.0,28046.0,16210.0,41777.0,175328.0,139000.0,356105.0
2030,'M1',0.1,15249.0,38303.0,30976.0,9036.0,71558.0,15156.0,12102.0,47739.0,22886.0,27097.0,21934.0,28151.0,16141.0,41686.0,175707.0,138935.0,356328.0
2030,'M1',0.2,15258.0,38187.0,30948.0,9000.0,71703.0,15329.0,12003.0,47260.0,23187.0,26622.0,21940.0,27875.0,16152.0,41837.0,175010.0,138617.0,355464.0
2030,'M1',1.0,15178.0,38229.0,31004.0,9029.0,71698.0,15317.0,11996.0,47469.0,23323.0,26717.0,21929.0,27972.0,16075.0,41703.0,175380.0,138853.0,355936.0
2040,'M1',0.5,15913.0,38798.0,31201.0,9346.0,72908.0,16659.0,12326.0,49180.0,24657.0,27033.0,22332.0,29807.0,17339.0,43014.0,178756.0,145729.0,367499.0
2040,'M1',0.2,15928.0,38804.0,31252.0,9376.0,72976.0,16618.0,12212.0,49404.0,24607.0,26668.0,22337.0,29792.0,17392.0,43067.0,178865.0,145434.0,367366.0
2040,'M1',1.0,15881.0,38711.0,31315.0,9433.0,72849.0,16709.0,12216.0,49271.0,24724.0,26735.0,22373.0,29589.0,17269.0,43020.0,178569.0,145486.0,367075.0
2040,'M1',0.1,15790.0,38688.0,31830.0,9426.0,72213.0,16552.0,12271.0,49764.0,23929.0,25748.0,22649.0,29871.0,17289.0,42756.0,177509.0,145755.0,366020.0
2050,'M1',0.1,16407.0,39382.0,31976.0,9743.0,72625.0,17552.0,12391.0,50778.0,24406.0,29164.0,22833.0,30790.0,17858.0,43752.0,181289.0,150864.0,375905.0
2050,'M1',0.2,16542.0,39482.0,31431.0,9795.0,73720.0,17607.0,12341.0,50634.0,25376.0,30365.0,22506.0,30788.0,17946.0,44505.0,183400.0,150628.0,378533.0
2050,'M1',0.5,16556.0,39603.0,31393.0,9666.0,73670.0,17605.0,12426.0,50396.0,25553.0,30019.0,22515.0,30683.0,17907.0,44460.0,182858.0,150674.0,377992.0
2050,'M1',1.0,16588.0,39515.0,31474.0,9787.0,73606.0,17573.0,12315.0,50511.0,25796.0,30024.0,22587.0,30548.0,17867.0,44514.0,183059.0,150618.0,378191.0
