'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt'
2020,'M1',0.2,372.5852057584988,15627.940468480821,2699.063006554486,130.1799354459999,28998.425900595925,96.94706714000004,454.05975934199404,2674.4950354064817,1160.1044868974939,7241.530738299683,68.59666295799981,0.0,0.0,915.3137236079922,50729.59755614416,7879.016987127155,59523.92826687845
2020,'M1',0.1,407.6183504749979,15441.337122993358,2845.459373199985,151.21807268350034,29630.927320068877,82.40500706900004,415.8261750474951,2759.5711726844806,1231.4109196734935,7136.259743769179,68.56518663749978,0.0,0.0,1034.3536630994909,51164.3365973531,7971.908183849156,60170.59844430087
2020,'M1',0.5,388.7955108159977,15716.7482798318,2778.1944762914854,154.36478757450033,30010.46853604583,135.72589399600005,431.50102601949436,2720.6415478909817,1307.8162468404932,6905.146373073158,104.4915321744997,0.0,4.847353357000001,992.4182065019911,51655.06148746852,8011.261869940658,60658.74156391021
2020,'M1',1.0,385.994118291498,15431.097942135351,2726.4474053894855,134.93194268250002,29194.680662683902,159.96266078100007,437.51398981099527,2898.2178770514806,1279.9754732864933,7050.108432832175,92.63691448949965,0.0,0.0,1038.658488493491,50566.60626234611,8186.302668594662,59791.567419433515
2030,'M1',0.5,425.51849689649714,36599.53684326249,2966.2142609370203,201.8288482815003,68846.75895011715,313.27522795800036,998.3120224099945,14318.292947986536,5691.858927964962,12352.507990051,332.3889811734981,0.0,4.847353357000001,2343.443987976959,121582.75438277131,19125.142479615442,143051.34085038074
2030,'M1',0.1,436.1872377434973,35920.8537158846,3024.812124855517,210.7466208175003,69061.73445986603,314.13390616300035,967.8935890624983,14170.618560937004,5545.6387632819715,12835.099388493942,243.37782043749914,0.0,0.0,2363.9213544644476,121265.96379128775,19101.211041757433,142731.09618752688
2030,'M1',0.2,413.2598154889982,36080.46318147203,2894.6028539185236,196.30199768699978,68106.4211194242,192.55332473300015,1006.9824163984922,14292.879190046024,5638.372655119965,12809.54404740696,289.9717366839979,0.0,0.0,2162.8931883039595,120977.55042280181,18780.908727237416,141921.35233835992
2030,'M1',1.0,416.13154073999755,36025.53909320858,2911.28957919852,193.32374766849998,68744.12096859442,289.2537116700003,1003.0834170594946,14271.949779595534,5666.053596727452,12690.896275313991,307.89626120299744,0.0,0.0,2263.388100994465,120823.24077373829,19432.909096211944,142519.53797096215
2040,'M1',0.5,1177.5813635955005,58586.995280702664,6410.646024175935,430.3632355704995,107946.70749050421,464.7819748880004,1627.119591795477,24635.547744706404,10872.852133870496,21992.975253655273,564.9768899264996,0.0,10.631199194,4867.752745036015,197623.99508875614,32229.430348740923,234721.178182616
2040,'M1',0.2,1157.919309485006,58449.59501299823,6248.211927740452,425.7163051524992,107161.4744038673,367.19545501100015,1566.6922916834783,24515.739772365374,10803.81185694849,23391.129341394666,492.35902456499554,0.0,0.0,4502.259222895991,198505.23506211585,31572.350416140936,234579.84470124016
2040,'M1',1.0,1142.523219169003,58696.19531001196,6322.6553650564465,438.07081587349927,108488.26381273393,458.11199611100034,1585.0142279009774,24641.432820645226,10798.51693465799,22514.604123109126,504.53625275099483,0.0,0.0,4747.91172135549,198103.76188714054,32738.25126946713,235589.92487804953
2040,'M1',0.1,1146.6701923240053,58142.175803049526,6315.713608343442,408.23209295649923,108260.72963825104,500.59248369900035,1533.5568893744826,25517.690747216093,11006.641748924974,24861.084409700612,409.0870236819977,0.0,0.0,4672.566420509999,201457.14844554683,31972.459771408434,238102.17463755145
2050,'M1',0.1,3469.543386771546,115304.90351729345,28078.41259111445,1019.4097938659996,228644.52714156898,1576.4790255829992,2761.1436509035325,78990.8899101655,24514.975788494667,55074.52821571845,1006.0461641590032,0.0,0.0,10294.460741905357,467684.8278431545,62461.5706002219,540440.859184979
2050,'M1',0.2,3829.0625902895476,114452.40150343171,25382.85594353325,1080.748073786,221767.17366404593,1494.697353148998,2838.281108647026,75829.24356582832,23795.338199852366,52941.06902910489,958.3421643635065,0.0,0.0,11737.444984133883,450640.21239593846,61991.555815634114,524369.2131955511
2050,'M1',0.5,3701.7520224585514,114952.76150057548,25318.786768010814,1097.5448070174987,222219.87166549213,1569.3451203429995,2896.953842783025,75222.29528141802,22137.45869173998,46901.8367590529,1187.7972026500058,0.0,22.378174434,11878.793464751418,442648.18075216433,62701.80761874167,517228.7818355238
2050,'M1',1.0,3637.9860307715394,114268.60380550928,25068.463799609817,1043.621484112,221777.78583900083,1647.6552347639995,2791.424515476033,74515.56078421604,22978.079223152392,47264.29880682349,906.3370730070051,0.0,0.0,11733.234878431358,440961.5144687397,63205.06724896021,515899.8165959895
