year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,808675.0,804000.0,164525.0,610475.0,111400.0,499175.0,37.0,400.0,36.0,200.0,0.0,700.0
2016,769025.0,815150.0,142600.0,640825.0,118175.0,512475.0,37.0,400.0,36.0,200.0,0.0,875.0
2017,734875.0,822375.0,124300.0,662650.0,125425.0,528625.0,37.0,400.0,36.0,200.0,225.0,43650.0
2018,706325.0,826950.0,109225.0,680050.0,131000.0,544700.0,37.0,400.0,36.0,200.0,0.0,36250.0
2019,680200.0,830450.0,97450.0,693350.0,135325.0,561475.0,37.0,400.0,36.0,200.0,136150.0,55850.0
2020,657000.0,832125.0,87800.0,704375.0,138950.0,578000.0,37.0,400.0,36.0,200.0,168700.0,61925.0
2021,636350.0,833375.0,79250.0,713525.0,141700.0,594050.0,37.0,400.0,36.0,200.0,158925.0,59725.0
2022,616425.0,834250.0,72325.0,720900.0,143725.0,610625.0,37.0,400.0,36.0,200.0,125.0,48600.0
2023,598000.0,834000.0,66675.0,726925.0,145675.0,626975.0,37.0,400.0,36.0,200.0,150.0,28575.0
2024,581525.0,833750.0,61725.0,732150.0,147000.0,642100.0,37.0,400.0,36.0,200.0,525.0,46000.0
2025,564675.0,833125.0,57375.0,736750.0,148350.0,657975.0,37.0,400.0,36.0,200.0,175.0,17875.0
2026,549500.0,832750.0,53450.0,740800.0,149550.0,672200.0,37.0,400.0,36.0,200.0,0.0,18900.0
2027,534975.0,831475.0,49975.0,744375.0,150250.0,687200.0,37.0,400.0,36.0,200.0,6425.0,49725.0
2028,521300.0,829775.0,46550.0,747875.0,151075.0,701675.0,37.0,400.0,36.0,200.0,167175.0,50525.0
2029,508400.0,828350.0,43525.0,751025.0,151450.0,715500.0,37.0,400.0,36.0,200.0,375.0,38850.0
2030,496375.0,826425.0,41100.0,753525.0,151925.0,728900.0,37.0,400.0,36.0,200.0,425.0,39350.0
2031,484475.0,825250.0,38675.0,755975.0,152250.0,741625.0,37.0,400.0,36.0,200.0,3250.0,14625.0
2032,473675.0,824025.0,36300.0,758350.0,152425.0,753475.0,37.0,400.0,36.0,200.0,142850.0,38325.0
2033,463200.0,823350.0,34125.0,760525.0,152925.0,764125.0,37.0,400.0,36.0,200.0,0.0,35225.0
2034,452650.0,821750.0,31975.0,762675.0,152975.0,776225.0,37.0,400.0,36.0,200.0,300.0,9375.0
2035,444200.0,820175.0,30175.0,764500.0,152975.0,786225.0,37.0,400.0,36.0,200.0,250.0,38175.0
2036,434900.0,819075.0,28575.0,766200.0,153100.0,796400.0,37.0,400.0,36.0,200.0,5650.0,29850.0
2037,426225.0,818050.0,27075.0,767725.0,153225.0,805950.0,37.0,400.0,36.0,200.0,5325.0,39575.0
2038,417925.0,816675.0,25800.0,769000.0,153250.0,815600.0,37.0,400.0,36.0,200.0,125.0,38475.0
2039,409100.0,814900.0,24700.0,770100.0,153625.0,825825.0,37.0,400.0,36.0,200.0,200675.0,40600.0
2040,401025.0,813025.0,23650.0,771175.0,154025.0,835350.0,37.0,400.0,36.0,200.0,8075.0,37875.0
2041,394000.0,810850.0,22700.0,772150.0,154400.0,844150.0,37.0,400.0,36.0,200.0,170750.0,37475.0
2042,387425.0,809225.0,21700.0,773150.0,154500.0,852250.0,37.0,400.0,36.0,200.0,13300.0,36000.0
2043,381750.0,807700.0,20825.0,774025.0,154575.0,859375.0,37.0,400.0,36.0,200.0,212175.0,36050.0
2044,375025.0,805450.0,20000.0,774875.0,154625.0,868275.0,37.0,400.0,36.0,200.0,169000.0,35175.0
2045,368825.0,803850.0,19125.0,775775.0,154950.0,875725.0,37.0,400.0,36.0,200.0,5725.0,33300.0
2046,362375.0,801975.0,18350.0,776550.0,154975.0,884025.0,37.0,400.0,36.0,200.0,113675.0,33800.0
2047,356500.0,800175.0,17700.0,777200.0,155125.0,891550.0,37.0,400.0,36.0,200.0,210900.0,32775.0
2048,350900.0,798475.0,17175.0,777725.0,155225.0,898750.0,37.0,400.0,36.0,200.0,204725.0,31975.0
2049,346350.0,796100.0,16700.0,778200.0,155225.0,905675.0,37.0,400.0,36.0,200.0,66325.0,31875.0
2050,341625.0,794275.0,16200.0,778700.0,155175.0,912275.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,336750.0,792450.0,15850.0,779050.0,155200.0,918950.0,37.0,400.0,36.0,200.0,0.0,0.0
