'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2015,'B2',0.5,15643.741249998064,39267.84624999766,33976.50124999727,9196.807499999766,75426.92374999478,14962.325749998246,13133.730749999278,44901.360749997395,27222.26249999726,27100.709249997173,23490.90249999884,25070.744249998355,13976.485249999861,49375.60124999282,175943.29574998963,134896.63849998478,363370.341000055
2016,'B2',0.5,16100.181499998062,39718.22474999762,34406.10024999723,9264.659499999767,77132.55574999504,15334.17074999831,13210.79974999928,46947.86724999721,27571.875499997248,27590.90649999713,23980.0969999989,26276.334499998407,14357.904749999921,50048.348499992804,181105.36299998997,137583.1607499844,371891.67775005504
2017,'B2',0.5,16511.863249998118,39814.30374999769,34727.241749997185,9320.613749999793,78219.802749995,15716.739749998385,12952.282749999413,48731.06549999665,27835.052999997264,27206.60074999746,24150.354499998983,27152.000999998407,14726.24424999998,50745.09549999276,184776.08749999048,138388.17824998466,377064.1667500576
2018,'B2',0.5,16976.533999998108,40307.951499997616,35035.89474999714,9449.414249999787,79095.80974999492,16062.16874999844,13033.171999999426,50195.52274999625,28355.20699999719,27562.584249997384,24479.621999998883,27823.57349999841,15086.247750000039,51534.95549999273,187802.3399999909,140971.6012499841,383463.7022500546
2019,'B2',0.5,17240.295499998185,30223.364249998485,35203.77674999716,9524.780999999803,58865.191249995914,16398.28874999849,13032.228749999422,49772.07724999603,28430.512499997214,23114.630499997806,24552.804499998943,28414.097499998363,15429.695000000096,51675.51949999292,156238.7069999912,139278.25724998425,350201.7435000582
2020,'B2',0.5,17150.33674999828,30150.25599999852,31381.643999997676,9525.116999999815,57721.055999996046,16489.284499998525,13141.147499999426,49521.28099999582,27481.935749997254,23667.73599999774,24687.625499998932,28963.368999998325,15726.727250000144,51355.78674999316,151411.11049999145,140170.965999984,345607.5162500628
2021,'B2',0.5,17939.846999998197,30516.449749998457,35677.39599999711,9707.688749999808,58085.284749996004,16992.848249998468,13343.825249999416,46692.00274999565,27943.553249997192,25443.016499997542,24795.587499998925,29437.379249998263,16038.319000000201,52734.53449999308,154160.3529999912,142639.7432499835,352613.19800005853
2022,'B2',0.5,18519.77824999811,42399.42349999731,35801.7482499971,9848.997499999807,81213.7734999946,17289.42999999846,13456.674999999423,53127.70374999533,29363.256499997082,28699.364499997344,24944.959499998913,29877.006999998197,16355.848500000258,53687.06974999291,194826.2722499922,149229.8182499825,400897.96575005807
2023,'B2',0.5,19075.755749998,42602.691499997345,35957.86249999707,9945.113499999812,81537.81949999454,17599.652499998436,13643.476249999383,54305.85874999496,29626.645249997036,29082.397249997328,25036.929999998905,30246.467999998134,16644.66050000021,54902.07874999268,195997.5582499924,151250.88874998197,405305.33125005255
2024,'B2',0.5,19199.535749998035,42891.936249997336,36205.98874999701,9965.931749999838,81832.22099999449,17921.48649999839,13555.815999999435,54305.47874999491,29806.981499997026,29296.63899999731,25214.71074999882,30539.844999998102,16931.591500000144,54866.1564999929,197098.6942499927,152569.29849998179,407668.1625000548
2025,'B2',0.5,19696.0814999979,43419.32849999722,36295.86874999699,10140.099499999838,82077.80874999445,18251.23349999834,13791.6689999994,55304.77599999459,30194.170499996937,29653.381499997307,25215.80699999886,30840.63924999805,17264.420250000087,56021.727499992674,198139.27824999287,154829.47274998104,412145.28400005697
2026,'B2',0.5,20013.552999997868,43495.878249997244,36331.270749997,10228.171999999853,82288.87849999442,18537.290999998306,13825.325249999418,55751.41374999443,30474.256249996888,30035.514749997237,25305.536249998848,31166.379999998004,17537.077500000043,56591.27349999269,199001.26199999303,156243.20624998075,414990.54725005524
2027,'B2',0.5,20057.490249997947,43532.55249999729,36409.48174999699,10258.036749999874,82484.83249999439,18655.20374999831,13766.953999999454,55561.271249994476,29160.412999996963,30222.70649999727,25348.68574999884,31503.71049999794,17761.43875,56179.57474999305,198757.13399999327,156638.19374998086,414722.77725005435
2028,'B2',0.5,20357.199749997908,31716.918749998396,36521.811999996964,10309.985749999883,59520.029249995736,19039.071499998223,13800.784749999471,49271.655749994476,29603.164249996873,27548.25924999751,25469.090249998804,31808.96299999789,17977.46399999996,56853.44024999302,159869.92924999134,153197.90749998094,372944.39825005835
2029,'B2',0.5,20774.865749997858,43850.26999999728,36663.219499996914,10394.016749999886,82942.63849999431,19327.25074999815,13919.82174999946,56526.51349999419,31110.867749996727,30740.0614999973,25627.498499998732,32109.239999997866,18162.77499999993,57732.65574999283,201584.92449999347,159683.58424998014,422149.0392500536
2030,'B2',0.5,21046.55974999784,44126.40949999719,36689.794249996914,10447.999749999892,83146.02974999427,19550.29349999812,13954.523249999475,56821.36999999409,31370.20824999665,30989.383749997323,25645.34749999876,32359.900749997825,18333.927999999894,58188.9754999928,202345.4969999937,160806.33149997983,424481.74800005456
2031,'B2',0.5,21318.05424999782,44326.48049999715,36813.48274999688,10533.308249999884,83322.80624999423,19754.159249998087,14266.396999999386,57351.712999993906,30764.53799999662,31629.94024999716,25737.821249998746,32645.681499997787,18548.69624999986,58701.16399999275,202365.87824999387,162791.23074997924,427013.0785000528
2032,'B2',0.5,21578.283749997783,32019.836249998367,36833.03224999689,10525.792999999909,62599.125249995355,19966.910749998027,14065.974999999478,55511.091749993975,31685.874499996535,27366.559999997608,25769.26499999875,32870.26524999776,18716.309749999822,59078.384749992736,169538.4412499939,157785.20624997982,389508.32250005176
2033,'B2',0.5,21852.96324999776,44234.421499997254,36908.023749996864,10629.209499999917,83647.76774999416,20223.033499997982,14125.973499999487,57967.22149999367,31977.523249996473,31648.427749997343,25907.555499998685,33114.47999999772,18856.748499999794,59726.25524999266,204405.56849999411,163806.71999997913,431093.34925004677
2034,'B2',0.5,22148.442499997735,44584.62299999715,36963.861749996846,10695.178749999925,83769.33799999415,20476.89549999792,14264.925999999441,58688.0712499934,32080.569499996443,32240.212749997187,25953.488249998674,33313.88574999771,19026.76024999976,60434.6239999925,205183.31524999422,165440.43924997863,434206.25325004756
2035,'B2',0.5,22252.880249997765,44425.88499999724,36979.27674999684,10754.239499999932,83890.75549999412,20670.998249997876,14211.97199999948,58516.34749999348,32251.2244999964,32135.783499997324,25998.521999998666,33464.99549999767,19185.012249999727,60461.85674999263,205653.61374999437,165481.47799997882,434737.89250004455
2036,'B2',0.5,22601.24249999771,44527.786499997215,36991.82799999684,10800.69124999994,83984.55424999411,20828.80874999784,14259.652999999495,59091.33524999328,30937.80174999645,32356.764499997334,25959.114249998707,33689.57924999762,19321.911499999696,61116.477749992424,205035.15449999465,166051.56374997867,435351.0707500427
2037,'B2',0.5,22743.73849999771,44595.72249999721,37005.39924999684,10889.540249999953,84080.6709999941,21056.076499997787,14281.625249999503,58998.34024999332,31176.433999996407,32556.61999999731,25993.502749998697,33866.60674999761,19417.47799999968,61211.43699999254,205511.93224999474,166790.51099997855,436661.75500004244
2038,'B2',0.5,22975.39274999769,44643.006999997204,37066.017499996815,10941.301749999968,84164.23574999407,21268.94399999775,14320.685749999508,59227.86524999323,32753.360999996254,32803.33674999731,26034.816249998687,34027.47949999758,19511.90324999966,61703.38849999248,207109.9804999947,167770.1719999783,439738.3465000387
2039,'B2',0.5,22836.14024999771,32873.750499998365,32693.20749999735,10889.240749999974,60863.44999999545,21288.690999997758,14265.26824999952,50579.455499993666,31530.703499996318,28113.89199999776,26029.910499998696,34210.78299999753,19618.20399999964,61397.72224999254,158777.80974999283,162933.6502499787,385792.69675005134
2040,'B2',0.5,23433.062749997618,41138.31800000021,37106.33824999681,11083.370749999984,81262.32399999631,21676.63249999766,14391.97449999951,59634.38299999308,32933.09204999625,31147.181999997567,26112.96249999867,34380.32999999752,19737.405749999616,62564.289749992335,200375.27044999006,167970.73334997942,434037.376050147
