'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt','total_wu'
2015,'B2',0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.296489912000004,0.0,0.0,0.0,0.0,5.709084602000002,0.0,6.587405310000002,12.296489912000004,257368.9999998452
2016,'B2',0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.724057599999998,20.281308311999997,0.0,0.0,0.0,0.0,16.215424602,0.0,10.789941310000005,27.005365911999977,253183.4999998331
2017,'B2',0.5,19.918513198999996,129.90334695000018,0.0,16.454423946999988,0.0,0.0,141.16163701899984,83.36703230050013,92.8440443560451,283.6223075074973,51.09531646700007,0.0,0.0,60.49361719102,94.39643211700012,663.4765724380209,818.3666217460609,249501.29999982333
2018,'B2',0.5,19.918513198999996,275.7410687900015,0.0,32.449528923000024,0.0,0.0,300.6422425149999,164.28344570850018,98.48937552404503,557.8913134194855,51.09531646700007,0.0,0.0,67.55028115102,176.2537340529999,1256.706789341997,1500.5108045460315,246483.99999981478
2019,'B2',0.5,126.18852851450079,7569.090572526748,68.79315001100002,64.79257706250002,14029.857112758673,0.0,525.9313531021718,1199.2096480008588,236.25354721134943,4014.765522816238,98.83981610150052,0.0,0.0,394.10725719950403,22966.52349877954,4475.370674325798,27933.721828103076,244244.19999980804
2020,'B2',0.5,577.0222932199707,15579.498747046211,2987.0547344218376,159.41574745998548,29865.715140143875,150.35577300119508,744.0934157244619,3028.435869013208,1246.4231010178498,7427.738862709812,169.10912780172606,0.0,0.0,1361.5917727759409,51436.36184231914,8699.675762848065,61934.86281153468,242520.59999980067
2021,'B2',0.5,766.6594622839551,24116.115843814267,3048.573935100345,195.53711299598615,46660.73812754068,150.35577300119508,904.490538585765,7591.305023402552,2156.7379521587036,9918.633370298874,228.40693089933205,0.0,0.0,1834.6282782931844,80597.02503626363,12812.394019169576,95737.55407004322,240958.5999997949
2022,'B2',0.5,877.0345097679568,24209.094824031697,3114.559017835346,197.9365705499862,46660.73812754068,150.35577300119508,1058.6556864302672,7928.428809739302,2224.7149375249287,10230.562852318642,278.7955395333328,0.0,0.0,2170.5907977463344,80706.80021935901,13559.978894812932,96930.87664822752,239811.79999979015
2023,'B2',0.5,885.4837783424562,24389.12923904171,3173.0539541203516,200.5363454959862,46660.73812754068,150.35577300119508,1157.4471343782768,7928.428809739302,2294.508954509062,10530.186914845171,339.2403070278334,0.0,0.0,2194.0721179865445,80815.34082335448,14206.189660346388,97709.10933799467,238983.29999978462
2024,'B2',0.5,1023.0571003264479,24586.36446086605,3173.0539541203516,249.66967477598524,46660.73812754068,156.71791981527508,1348.3652138662962,8263.237353547353,2454.039507174655,10879.033552732868,339.9422117318334,0.0,0.0,2632.6907159756984,80919.92462425039,15069.010559474242,99134.21907643913,238269.19999978034
2025,'B2',0.5,1039.2892929294462,24586.36446086605,3173.0539541203516,251.14532864898524,46660.73812754068,156.71791981527508,1440.5935809287855,8263.237353547353,2534.055970406386,11206.62871253883,396.75488584233557,0.0,0.0,2672.6752937280135,81016.57995293188,15506.731163727127,99708.57958712577,237739.19999977647
2026,'B2',0.5,1039.2892929294462,24661.714448266164,3223.5384456783668,251.14532864898524,46660.73812754068,156.71791981527508,1543.8230636667854,8270.018852413346,2567.209964862396,11446.241672470613,457.7883756363355,0.0,0.0,2676.4427930980137,81128.85143415791,15960.338087874963,100278.22549187063,237245.99999977215
2027,'B2',0.5,1259.4971877214434,24851.002741392447,3286.180139102403,284.3273401929848,46660.73812754068,313.9363311157351,1729.340673662783,8715.713598378938,4148.298656980923,11727.534633968355,558.3786676904549,0.0,0.0,3471.680308824935,82328.12385780105,17215.715171223856,103534.94809768545,236880.79999976838
2028,'B2',0.5,1476.29382899792,36797.12119222508,3334.190467966412,321.8354096179836,69432.43469327626,334.33498435467004,1941.7325437745515,15726.117393474447,5567.664016934076,14887.863512566779,611.6401262739572,0.0,0.0,4132.880499534222,122521.6549992584,23128.072440259886,150431.22816935417,236508.9999997652
2029,'B2',0.5,1621.332654622903,36988.512632225465,3334.190467966412,354.73081336798475,69432.43469327626,334.33498435467004,2116.6762818995517,16041.614220349315,5694.731309480944,15162.988707566663,613.1353718989573,0.0,0.0,4544.552404565535,122600.15539457089,23894.577566335727,151694.6821368806,236215.29999976108
2030,'B2',0.5,1753.911540784396,37061.838384907074,3373.445668896922,394.72667846698573,69432.43469327626,334.33498435467004,2301.1016598560986,16397.133021229,5826.636191249118,15427.405815720906,671.6478412104542,0.0,0.0,4953.683963440095,122697.18240064425,24654.92641001089,152974.61647981397,236062.0999997579
2031,'B2',0.5,1888.7251500969123,37061.838384907074,3373.445668896922,406.3862338669853,69432.43469327626,334.33498435467004,2301.1016598560986,16612.83479612943,6704.262071370361,15427.405815720906,716.8286183854526,0.0,0.0,5328.574248340509,123478.7849834845,24783.415139179004,154259.59807671458,235877.5999997555
2032,'B2',0.5,2015.8879115939076,48594.15694485348,3397.735185137929,470.1966420610092,88981.61692913281,340.81036767227505,2499.3562213794803,18832.3153971487,6849.4864835254475,19523.291468572545,772.5516262324505,0.0,0.0,5749.189665671682,155550.048686694,30264.015435858862,192277.40517708834,235667.69999975245
2033,'B2',0.5,2130.7486102899265,48771.350583695064,3397.735185137929,504.5147776470096,88981.61692913281,340.81036767227505,2656.2391269155205,19096.354930126083,6862.793515691451,19748.810645280017,773.2519963464505,0.0,0.0,6031.438821613754,155622.88717855013,30895.749278686166,193264.22666772228,235479.49999975017
2034,'B2',0.5,2251.0692782398924,48771.350583695064,3397.735185137929,536.8294713250106,88981.61692913281,340.81036767227505,2739.432274469497,19099.105116822077,6956.828869855214,19748.810645280017,773.2519963464505,0.0,0.0,6221.5543746376425,155622.88717855013,31032.015771763145,193596.84071775922,235333.89999974865
2035,'B2',0.5,2446.185968223846,48927.30890683061,3397.735185137929,570.5866841250082,88981.61692913281,340.81036767227505,2875.1362699254646,19396.843733718808,7031.527624626412,19946.627912288503,774.6022848584504,0.0,0.0,6639.5985350849105,155683.65016159017,31633.110602909404,194688.98186633058,235208.09999974637
2036,'B2',0.5,2573.425711551888,49065.151962103315,3420.9299300154366,601.0712059640078,88981.61692913281,352.82407603588507,3015.630153183511,19484.321057256777,8384.310247098852,20134.173992297936,824.3478008092549,0.0,0.0,6939.5841620522915,156721.00062648967,32438.588855769314,196837.80306522918,235156.29999974382
2037,'B2',0.5,2755.2135278378623,49202.63307047806,3446.341130141433,621.9214214520085,88981.61692913281,352.82407603588507,3154.4144000254914,19790.558597236733,9641.53186462675,20307.49140854191,872.647478297616,0.0,0.0,7396.016842541675,157746.21300427898,33240.42873565462,199127.1939035922,235100.3999997421
2038,'B2',0.5,2932.7280306638963,49349.918654345216,3460.4908368884358,647.6481609920089,88981.61692913281,352.82407603588507,3286.2639401680167,20090.918281365866,9682.257671652962,20451.561149965735,909.9512506306165,0.0,0.0,7798.72279324304,157793.16430393924,33809.75656332729,200146.1789816089,235101.29999974088
2039,'B2',0.5,3396.909076014762,59387.735030932155,7149.3848962449465,788.9317406649108,108507.71747557193,520.6536302285908,3480.0907546748554,27764.525702303104,10860.85447232279,24715.723276608416,983.5807348588439,0.0,0.0,8805.98593052128,198528.99785103268,39083.056319103765,247556.1067902251,235177.9999997386
2040,'B2',0.5,3575.191089434774,59556.58869745285,7169.759983492933,820.7678144899129,108507.71747557193,520.6536302285908,3606.798328498364,28036.405772769205,10942.208000833152,26621.229526694755,1021.7840234488465,0.0,0.0,9215.601965325059,200314.55551303967,39687.794901297515,250379.10434272353,235246.09999973635
2041,'B2',0.5,3938.279442534667,69875.10236913814,10901.949299776983,945.6103543867956,126189.32347519351,624.5612071118308,3752.8043545010505,30387.054988877324,12181.3340084616,30798.41024695103,1091.4476022799295,0.0,0.0,9997.863857771026,234011.05756632955,45221.39916075583,290685.8773491082,235312.99999973533
2042,'B2',0.5,4106.875874934672,70017.51526468927,10917.914871026973,973.7097597867977,126189.32347519351,659.2925229788307,3872.2268274510593,32297.227774376614,13602.042950769757,30919.748588451297,1129.1263504299322,0.0,0.0,10528.387769272293,236671.46644430122,46000.65051892995,294685.0042599831,235332.89999973436
2043,'B2',0.5,4552.428297145026,80282.03441697209,14501.71981967101,1065.9676757568523,146131.40605657987,868.7804053630098,4060.224154310623,42115.29684599484,14849.858841677311,35267.68370364849,1185.7452992084468,0.0,0.0,11697.920817535238,279963.2911907453,51275.72446078295,344881.14551647985,235350.89999973285
2044,'B2',0.5,5071.128861901281,90618.49288677855,16117.30975120479,1170.6552791258132,159933.54236746146,1056.4847665815687,4218.458480103209,50452.517796782944,16081.62721902198,39419.207184814564,1216.808062600448,0.0,0.0,12936.010619498957,313839.71360011026,56430.99774445433,385356.2326565641,235445.49999973073
2045,'B2',0.5,5258.638833851394,90751.12189132808,16131.029993054779,1194.829038575811,159933.54236746146,1080.1727449195687,4328.220414903275,50726.269288931966,17412.07407504994,39510.02211896424,1256.7039893849449,0.0,0.0,13498.490573683663,314865.96924310626,57068.65424732298,387582.6247566106,235484.7999997297
2046,'B2',0.5,5522.394918798872,93781.95586932701,19796.717068174134,1256.493710522349,174748.9678200088,1229.7026748000667,4484.86497671263,50998.79823635079,18769.763528643318,43757.314924804734,1294.4015628293828,0.0,0.0,14222.062498248866,340948.31198093254,58010.46786535569,415641.3752912738,235569.0999997285
