'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2015,'B2',0.5,15197.319249998041,39061.19149999766,33534.46274999737,8985.408499999805,73250.72349999462,14498.974249998098,12700.953249999193,43120.67099999702,26481.64124999733,25204.470499997617,22595.04999999878,24125.536249998353,13536.245249999802,48141.79749999285,169767.4032499895,131228.6409999855,352292.6472500528
2016,'B2',0.5,15230.781499998046,39447.843999997625,33687.85074999736,9020.655749999789,74355.02149999457,14573.31499999813,12693.93749999919,44818.846249997005,26680.181249997335,25331.195249997614,22773.42724999887,24709.554249998368,13544.1904999998,48276.58799999287,173192.72874998942,132242.6784999855,356866.8007500514
2017,'B2',0.5,15178.297499998069,39477.478999997715,33796.93299999734,8996.477749999796,75177.02074999454,14613.735499998154,12294.128999999337,46005.936499996824,26668.39474999739,24683.712999998097,22694.568749998973,25036.587499998383,13547.729999999801,48280.39624999289,175624.48699998943,131111.31424998614,358171.0030000563
2018,'B2',0.5,15254.61849999804,39954.084749997644,33896.590499997335,9004.631999999796,75851.73499999451,14647.10624999818,12324.857999999336,47161.768999996515,26906.404749997357,24793.561999998095,22907.505249998878,25238.889749998398,13558.348499999805,48394.54549999288,177874.08499998943,132076.66824998596,361500.10425005533
2019,'B2',0.5,15023.791999998135,29833.730499998484,33798.32774999742,9005.910999999798,57261.49149999608,14660.028249998195,12290.412499999331,46684.72024999635,26719.330499997424,20946.916249998467,22804.44324999897,25386.2744999984,13564.286249999805,47772.822999993106,148666.9459999908,128495.98199998653,327979.6645000495
2020,'B2',0.5,14556.494499998247,29938.46399999847,30083.226499997894,8918.486999999823,56091.89974999623,14495.190999998207,12360.203749999317,46094.12299999624,25747.400749997498,21140.64449999845,22781.649999998997,25499.81149999841,13575.306249999807,46811.3969999934,143400.8357499913,128352.50149998668,321282.90250004677
2021,'B2',0.5,14851.755499998219,30135.71774999842,33999.68474999741,9018.868499999795,55419.63999999629,14673.164249998212,12400.536249999326,43624.81399999605,25912.927999997486,22248.8854999983,22855.947999998985,25577.0277499984,13588.32299999981,47430.41599999332,144835.05599999125,129074.14599998658,324307.2932500454
2022,'B2',0.5,15068.544749998133,41775.65899999736,34141.296249997395,9087.155499999784,77283.68349999441,14685.39274999822,12439.833499999306,48872.774249995775,26996.25074999742,25092.894999998105,22892.923749998983,25640.010749998397,13588.32299999981,47815.08974999313,182442.59249998973,134152.25499998598,367564.7427500549
2023,'B2',0.5,15251.707999998065,41967.37224999738,34263.17299999738,9090.336999999783,77470.23174999442,14689.407749998221,12560.520999999264,49947.66249999537,27021.816249997428,25138.425749998118,22899.710249998996,25686.3529999984,13597.80024999981,48449.200999992885,183162.42024998984,134818.0919999858,369584.5187500507
2024,'B2',0.5,15047.286749998138,42166.72049999738,34469.03224999734,9032.7254999998,77618.65799999441,14674.029249998219,12441.334999999319,49771.874749995375,26949.87699999747,25208.857749998093,23067.7452499989,25722.625499998398,13604.87924999981,47797.36849999313,183830.0934999899,135007.24074998585,369775.64675005217
