'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt','total_wu'
2015,'B2',0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.492291682000005,0.0,0.439160354,0.0,0.0,8.344046726000002,0.0,6.587405310000002,14.931452036000005,255716.49999986752
2016,'B2',0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.202536,25.41888528199998,0.0,0.439160354,0.0,0.0,17.16937232600001,0.0,12.891209310000008,30.060581635999966,250516.79999985997
2017,'B2',0.5,27.279702859500013,141.59464817549983,0.0,19.052490885999994,0.0,0.4330111565,163.24520600049917,82.57755532650013,103.14999154754011,310.90201036699824,67.5558896115001,0.0,0.0,56.60115122400504,100.8915994645001,758.2977552420314,915.7905059305593,246405.09999985364
2018,'B2',0.5,27.279702859500013,286.9619257515005,0.0,42.57470408600005,0.0,0.4330111565,336.3686951524973,162.55308020650014,117.26331946753993,632.2154426789845,67.5558896115001,0.0,0.0,66.48048076800505,203.4484490165002,1403.2768411860038,1673.2057709705268,242738.19999984998
2019,'B2',0.5,144.3307342215006,7571.551023480046,92.92209068650034,76.4578973750002,12806.025464116594,0.4330111565,554.8192592866449,1040.6737829465715,284.32316582305054,3616.685460208269,136.86242133900078,0.0,0.0,415.1457874536941,20985.35897315036,4850.125913616524,26325.08431063789,239908.6999998459
2020,'B2',0.5,567.5657463493653,15394.805088228193,2860.6563561494186,175.32753817114087,27230.479299780785,121.68766680262509,751.9409754707096,2708.4305717155867,1173.601615485201,6639.091801968054,240.80856310538246,0.0,0.0,1379.0080080669893,47145.73341141605,8959.638435091318,57864.395223207546,237751.19999984372
2021,'B2',0.5,797.2750553048464,23806.73375434959,2961.1189040464305,212.01330004364155,43166.05548185436,122.81645947562508,942.142540871194,6618.3426324532575,2032.614167629587,9061.846075855778,320.95284288838394,0.0,0.0,1943.5129078623409,74395.70916764514,13184.548391175837,90041.91121473974,235881.9999998417
2022,'B2',0.5,925.0461700553484,23921.907716941503,3045.699782824932,218.61180831714165,43166.05548185436,123.41632386412508,1124.5013149751967,7014.852993251463,2130.5459105276677,9447.558877660991,398.93521339338514,0.0,0.0,2340.1001924471366,74540.27648527361,14118.614167856354,91517.13159362394,234230.69999984006
2023,'B2',0.5,957.5433568803459,24111.041344262492,3121.743199995439,223.8113582091417,43166.05548185436,124.06626760062508,1251.240343592709,7014.852993251463,2251.035538958806,9861.573037811531,491.87716771288603,0.0,0.0,2394.128868302847,74691.06343214157,14971.507041596815,92574.84009008533,232880.89999983952
2024,'B2',0.5,1131.6157234723528,24334.247040134876,3121.743199995439,272.2427827851414,43166.05548185436,143.1527080428651,1475.8498488727319,7355.276774691608,2500.7249250829486,10289.734907251159,494.6847865288861,0.0,0.0,2932.166074336783,74823.02151649365,15999.275546164588,94285.32817865451,231763.59999983935
