'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2015,'B2',0.5,15206.007249998038,39065.64549999766,33555.27424999737,8941.134499999796,73262.38324999463,14489.605749998098,12810.26249999919,43048.913499997005,26437.353999997347,25212.53399999761,22658.58624999878,24096.665999998353,13546.132999999809,48105.00949999285,169801.6514999895,131269.0332499855,352330.4997500528
2015,'B2',1.0,15173.371249998057,39167.20224999765,33545.600499997374,8954.089749999803,73177.56799999463,14474.123999998092,12736.50324999919,43055.965499997,26498.366249997325,25256.5242499976,22633.899749998774,24124.36649999836,13533.378249999807,48099.12199999284,169790.6827499895,131286.34924998553,352330.95950005273
2015,'B2',0.2,15162.784499998066,39089.77224999766,33517.93899999739,9014.449249999801,73276.09224999462,14479.2422499981,12629.83874999919,43094.47624999698,26456.87724999734,25267.043499997588,22674.668749998775,24159.868499998345,13516.334999999792,48140.54424999285,169642.5597499895,131401.4779999855,352339.3875000528
2015,'B2',0.1,15188.191999998036,39139.091999997654,33524.74074999738,9005.887999999792,73183.67549999463,14478.950499998098,12719.753749999181,43043.655999997005,26494.632499997322,25239.996249997595,22643.34924999877,24110.643249998353,13516.950499999806,48114.66124999283,169663.4184999895,131356.63499998552,352289.52025005256
2016,'B2',0.5,15238.666499998042,39447.934249997634,33707.003749997355,8985.858999999782,74346.10949999458,14567.084499998131,12803.648249999189,44770.51349999695,26632.31324999735,25329.74949999761,22833.90624999883,24684.223499998363,13564.696749999812,48240.68599999286,173200.53499998938,132315.68199998548,356911.7085000516
2016,'B2',0.1,15218.516249998043,39526.985249997626,33669.79274999737,9044.674749999778,74278.44299999459,14556.027749998131,12717.08049999918,44754.499749996976,26686.72874999733,25362.743749997597,22816.672499998844,24676.963749998362,13522.497499999807,48243.15199999284,173074.1462499894,132359.52249998547,356831.62625005125
2016,'B2',1.0,15209.168499998059,39563.12774999762,33701.38674999735,8983.399249999786,74261.25799999459,14553.208749998124,12739.36624999919,44769.38774999699,26690.77699999733,25370.178999997603,22810.814999998838,24703.703749998374,13551.994499999808,48218.94124999286,173200.96849998937,132333.05699998548,356907.77225005144
2016,'B2',0.2,15193.510249998073,39472.06099999764,33667.787499997365,9050.837749999786,74369.34899999457,14561.866499998136,12623.224499999187,44802.00274999697,26662.54874999734,25383.599999997587,22849.988749998825,24740.34699999837,13531.813249999792,48262.13724999287,173045.61874998943,132446.37549998547,356908.93700005166
2017,'B2',0.5,15211.145999998069,39495.06049999771,33803.924749997335,8972.563249999786,75172.87399999455,14608.163999998158,12430.352249999314,45942.8142499968,26608.861249997408,24728.226749998066,22775.173499998946,24991.160999998385,13568.236249999813,48237.894249992896,175629.8142499894,131286.04374998613,358308.55775005557
2017,'B2',1.0,15172.906499998082,39597.392249997705,33802.248749997336,8958.863249999793,75083.25724999455,14591.106749998151,12331.073749999332,45955.238749996795,26716.969749997374,24718.991999998078,22726.677749998962,25011.898249998394,13559.07349999981,48252.50049999288,175626.94449998945,131191.44799998612,358225.69850005605
2017,'B2',0.2,15151.58774999807,39514.421999997714,33775.84424999735,9030.543749999792,75196.11349999455,14601.885499998158,12220.234499999346,45989.65149999678,26649.990749997396,24743.419499998057,22787.964999998938,25064.98199999839,13548.369499999795,48275.585499992885,175474.79024998946,131369.8282499861,358275.0095000561
2017,'B2',0.1,15167.75174999807,39564.5669999977,33769.51349999735,9023.678249999792,75106.83474999455,14594.98624999816,12350.906999999312,45931.60099999681,26671.22449999739,24720.843749998076,22750.49649999895,25000.457499998385,13534.372999999807,48240.80199999288,175485.84199998944,131305.7852499861,358187.2347500551
2018,'B2',0.5,15267.976499998033,39928.58724999766,33898.78574999733,8977.61674999979,75850.72624999452,14636.533249998183,12417.870749999327,47077.3932499965,26872.982249997363,24791.239249998085,22968.385749998855,25206.479999998395,13570.634499999811,48371.13849999287,177864.1597499894,132075.10774998597,361465.2115000546
