'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt','total_wu'
2015,'B2',0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.370612390000005,0.0,0.0,0.0,0.0,9.222367434000002,0.0,6.148244956000002,15.370612390000005,255725.59999986747
2015,'B2',1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.418169204000003,0.0,0.0,0.0,0.0,7.026565664000002,0.0,4.391603540000001,11.418169204000003,255727.79999986742
2015,'B2',0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.053131328000005,0.0,0.0,0.0,0.0,7.904886372000003,0.0,6.148244956000002,14.053131328000005,255729.09999986747
2015,'B2',0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.492291682000005,0.0,0.0,0.0,0.0,7.904886372000003,0.0,6.587405310000002,14.492291682000005,255718.89999986754
2016,'B2',0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.202536,29.23898118999997,0.0,0.0,0.0,0.0,20.14896103400001,0.0,13.292556156000007,33.44151718999997,250528.89999985998
2016,'B2',0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.202536,27.520153281999974,0.0,0.0,0.0,0.0,18.83147997200001,0.0,12.891209310000008,31.722689281999962,250514.2999998601
2016,'B2',1.0,0.0,0.4202536,0.0,0.0,0.0,0.0,0.0,7.564564799999998,24.025777203999986,0.0,0.0,0.0,0.0,21.315188064000004,0.0,10.695407540000001,32.01059560399997,250533.39999985992
2016,'B2',0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.564564799999998,24.559471327999983,0.4202536,0.0,0.0,0.0,20.93274797200001,0.0,11.611541756000005,32.54428972799997,250530.09999986
2017,'B2',0.5,19.485502042499995,136.3985142975,0.0,15.588401633999988,0.0,0.0,152.4199270879995,83.44357763950013,114.76428827254011,293.58156410699763,61.48758422300009,0.0,0.0,71.38309578352502,100.45858830800012,705.3276752125109,877.1693593040579,246411.8999998536
2017,'B2',1.0,23.382602451000004,144.61296871449974,0.0,17.75345741649999,0.0,1.2990334694999999,166.70929525249906,85.07356181350013,82.99858545751509,310.4689992104982,66.6837181010001,0.0,0.0,57.28287771000502,100.02557715150013,741.6737670250066,898.9822218865338,246412.9999998536
2017,'B2',0.2,24.248624764000006,136.3985142975,0.0,16.021412790499987,0.0,0.4330111565,164.54423946999913,87.23861759600014,100.93601681103011,306.9921524019981,59.75553959700009,0.0,0.0,65.18317690451502,94.8294432735001,736.5555087065113,896.5681288845487,246418.59999985356
2017,'B2',0.1,26.41368054650001,140.29561470599987,0.0,17.75345741649999,0.0,0.866022313,151.12089361849954,79.54647723100013,109.12059629953511,307.0049099584981,63.219628849000095,0.0,0.0,63.054145248010045,106.52074449900013,725.7663911915215,895.3412809385536,246399.59999985382
2018,'B2',0.5,19.485502042499995,295.4086755295004,0.0,37.228837778000035,0.0,0.0,326.0138605039983,175.18020911950038,125.58450634453997,614.8949964189839,61.48758422300009,0.0,0.0,80.32153679952502,200.66321654000018,1374.2994186204833,1655.2841719600244,242739.19999984995
2018,'B2',0.2,24.248624764000006,287.8815673055007,0.0,39.54362599050004,0.0,0.4330111565,325.4361777579977,164.86192115600025,115.51978899502993,630.1873617699842,59.75553959700009,0.0,0.0,73.18072939251503,191.7409616575,1382.945927442484,1647.8676184925164,242746.69999984998
2018,'B2',1.0,23.382602451000004,306.91623979449946,0.0,38.45300503250004,0.0,1.2990334694999999,336.06923029249714,165.51953095750022,97.5823576415149,648.2479807624837,66.6837181010001,0.0,0.0,66.22131872600504,205.4050922875003,1412.527287488978,1684.1536985025,242739.69999985
2018,'B2',0.1,26.41368054650001,292.2491119780003,0.0,35.63033944850003,0.0,0.866022313,322.3626057144985,155.758447999,119.47037010753498,647.6065570944835,63.219628849000095,0.0,0.0,69.64036494401005,215.66381374700038,1378.2725853594943,1663.5767640505205,242729.39999985008
2019,'B2',0.2,141.81303784250062,7632.286278769687,90.3551821040003,81.19337868241023,12815.332168669005,0.4330111565,526.8793115922348,996.8637323674074,255.17290340980895,3514.2713224333424,137.78956050500076,0.0,0.0,395.4002339150647,20880.551523439543,4837.331141481982,26192.389887530142,239919.59999984593
2019,'B2',0.5,143.2104957190006,7637.792776955387,88.30165523800028,68.03174076800006,12927.01262329794,1.5401451494999998,565.6776591531709,939.1193823035612,285.45700866905077,3652.5724990248195,132.84764281650087,0.0,0.0,437.6484990103046,21055.967696832427,4859.533740004466,26441.56362909309,239912.7999998459
2019,'B2',1.0,138.89348866350065,7598.212216665248,99.59605300100043,74.90310690400017,12722.265123144893,1.2990334694999999,576.726875546965,1063.727954296482,288.45526392225577,3522.610605640046,144.20435729250067,0.0,0.0,454.61451854842454,20771.174968022242,4925.997603280459,26230.894078544665,239903.699999846
2019,'B2',0.1,141.9245667590006,7745.286904599801,92.40870897000033,72.62673986420512,12764.145293630743,0.866022313,538.246261266146,1029.1270479797518,275.6833667611351,3556.0827930549867,137.1465960250008,0.0,0.0,421.80059316208485,21083.3552888908,4792.54819185658,26353.544301221995,239903.799999846
