year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,868825.0,795750.0,172325.0,579725.0,110650.0,470975.0,37.0,400.0,36.0,200.0,0.0,625.0
2016,847475.0,815100.0,151900.0,601775.0,111150.0,470850.0,37.0,400.0,36.0,200.0,0.0,925.0
2017,836550.0,824625.0,136025.0,618325.0,111525.0,471200.0,37.0,400.0,36.0,200.0,125.0,48400.0
2018,829025.0,830900.0,122050.0,632475.0,112325.0,471475.0,37.0,400.0,36.0,200.0,0.0,40625.0
2019,823600.0,835300.0,111250.0,643450.0,112975.0,471675.0,37.0,400.0,36.0,200.0,125400.0,63775.0
2020,818575.0,839400.0,102975.0,651850.0,113400.0,472050.0,37.0,400.0,36.0,200.0,155675.0,76050.0
2021,812900.0,844250.0,95775.0,659100.0,113775.0,472450.0,37.0,400.0,36.0,200.0,150100.0,73475.0
2022,806650.0,849650.0,89425.0,665450.0,114125.0,472950.0,37.0,400.0,36.0,200.0,125.0,60825.0
2023,800575.0,854875.0,84225.0,670675.0,114575.0,473325.0,37.0,400.0,36.0,200.0,125.0,40325.0
2024,795225.0,859450.0,79875.0,675050.0,114975.0,473675.0,37.0,400.0,36.0,200.0,675.0,54350.0
2025,790725.0,863275.0,76200.0,678725.0,115375.0,473950.0,37.0,400.0,36.0,200.0,125.0,26100.0
2026,787275.0,866150.0,73225.0,681700.0,115525.0,474375.0,37.0,400.0,36.0,200.0,0.0,24500.0
2027,784275.0,868625.0,70825.0,684125.0,115650.0,474750.0,37.0,400.0,36.0,200.0,5625.0,63925.0
2028,781325.0,871250.0,68475.0,686500.0,115750.0,474950.0,37.0,400.0,36.0,200.0,156950.0,66625.0
2029,778425.0,873825.0,66100.0,688875.0,115800.0,475225.0,37.0,400.0,36.0,200.0,400.0,51700.0
2030,775950.0,875900.0,64125.0,690850.0,115900.0,475525.0,37.0,400.0,36.0,200.0,250.0,54625.0
2031,773850.0,877725.0,62025.0,692950.0,115975.0,475725.0,37.0,400.0,36.0,200.0,3150.0,21825.0
2032,771775.0,879600.0,60125.0,694850.0,116125.0,475775.0,37.0,400.0,36.0,200.0,133725.0,57775.0
2033,769625.0,881500.0,58400.0,696575.0,116150.0,476000.0,37.0,400.0,36.0,200.0,0.0,48575.0
2034,767675.0,883300.0,56625.0,698350.0,116150.0,476150.0,37.0,400.0,36.0,200.0,325.0,14250.0
2035,766225.0,884675.0,54875.0,700100.0,116150.0,476225.0,37.0,400.0,36.0,200.0,175.0,56300.0
2036,764925.0,885875.0,53250.0,701725.0,116150.0,476325.0,37.0,400.0,36.0,200.0,5250.0,45225.0
2037,763850.0,886850.0,52150.0,702825.0,116150.0,476425.0,37.0,400.0,36.0,200.0,5275.0,62650.0
2038,762625.0,887925.0,51200.0,703775.0,116175.0,476550.0,37.0,400.0,36.0,200.0,125.0,60325.0
2039,761225.0,889225.0,50275.0,704700.0,116225.0,476600.0,37.0,400.0,36.0,200.0,187700.0,60700.0
2040,759950.0,890550.0,49350.0,705625.0,116250.0,476525.0,37.0,400.0,36.0,200.0,4175.0,60450.0
2041,758900.0,891600.0,48425.0,706550.0,116225.0,476550.0,37.0,400.0,36.0,200.0,162300.0,59900.0
2042,757775.0,892625.0,47675.0,707300.0,116250.0,476625.0,37.0,400.0,36.0,200.0,7725.0,61700.0
2043,756475.0,893825.0,47025.0,707950.0,116300.0,476675.0,37.0,400.0,36.0,200.0,193300.0,59775.0
2044,755225.0,894925.0,46450.0,708525.0,116375.0,476750.0,37.0,400.0,36.0,200.0,156750.0,58575.0
2045,753900.0,896000.0,45700.0,709275.0,116525.0,476850.0,37.0,400.0,36.0,200.0,5575.0,57750.0
2046,752775.0,897000.0,45025.0,709950.0,116600.0,476900.0,37.0,400.0,36.0,200.0,106100.0,58075.0
2047,751625.0,898000.0,44375.0,710600.0,116675.0,476975.0,37.0,400.0,36.0,200.0,194050.0,57350.0
2048,750675.0,898875.0,43650.0,711325.0,116675.0,477050.0,37.0,400.0,36.0,200.0,179750.0,56275.0
2049,749750.0,899700.0,42900.0,712075.0,116675.0,477150.0,37.0,400.0,36.0,200.0,53525.0,57650.0
2050,749000.0,900450.0,42175.0,712800.0,116650.0,477175.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,748275.0,901275.0,41425.0,713550.0,116625.0,477100.0,37.0,400.0,36.0,200.0,0.0,0.0
