year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,868825.0,795875.0,172325.0,579700.0,110650.0,470875.0,37.0,400.0,36.0,200.0,0.0,625.0
2016,847500.0,815250.0,151900.0,601775.0,111150.0,470675.0,37.0,400.0,36.0,200.0,0.0,1100.0
2017,836675.0,824700.0,136025.0,618325.0,111500.0,471025.0,37.0,400.0,36.0,200.0,75.0,48775.0
2018,829150.0,830950.0,122050.0,632475.0,112325.0,471300.0,37.0,400.0,36.0,200.0,0.0,39150.0
2019,823350.0,835500.0,111250.0,643450.0,112950.0,471750.0,37.0,400.0,36.0,200.0,127200.0,62500.0
2020,786875.0,870725.0,102975.0,652175.0,122850.0,462650.0,37.0,400.0,36.0,200.0,158500.0,66775.0
2021,780825.0,877450.0,95775.0,659425.0,125825.0,458950.0,37.0,400.0,36.0,200.0,149325.0,67350.0
2022,775100.0,882875.0,89425.0,665775.0,126925.0,458150.0,37.0,400.0,36.0,200.0,150.0,54200.0
2023,769975.0,887875.0,84225.0,671000.0,127325.0,457850.0,37.0,400.0,36.0,200.0,175.0,32025.0
2024,765075.0,892375.0,79875.0,675375.0,127800.0,457750.0,37.0,400.0,36.0,200.0,525.0,49375.0
2025,760700.0,896350.0,76200.0,679050.0,128125.0,457825.0,37.0,400.0,36.0,200.0,75.0,21850.0
2026,756875.0,899650.0,73225.0,682025.0,128250.0,458225.0,37.0,400.0,36.0,200.0,0.0,20125.0
2027,754050.0,902200.0,70825.0,684425.0,128175.0,458575.0,37.0,400.0,36.0,200.0,5275.0,61000.0
2028,751225.0,904800.0,68475.0,686775.0,128300.0,458675.0,37.0,400.0,36.0,200.0,155050.0,60800.0
2029,748525.0,907175.0,66100.0,689150.0,128450.0,458850.0,37.0,400.0,36.0,200.0,275.0,45425.0
2030,745850.0,909575.0,64125.0,691125.0,128550.0,459025.0,37.0,400.0,36.0,200.0,350.0,50125.0
2031,743150.0,912050.0,62025.0,693225.0,128575.0,459225.0,37.0,400.0,36.0,200.0,2850.0,19950.0
2032,740925.0,914050.0,60125.0,695125.0,128575.0,459450.0,37.0,400.0,36.0,200.0,134975.0,52850.0
2033,738900.0,915850.0,58400.0,696850.0,128650.0,459600.0,37.0,400.0,36.0,200.0,0.0,43175.0
2034,737075.0,917400.0,56625.0,698625.0,128800.0,459725.0,37.0,400.0,36.0,200.0,475.0,15500.0
2035,735275.0,919075.0,54875.0,700375.0,128900.0,459750.0,37.0,400.0,36.0,200.0,200.0,51025.0
2036,733325.0,920850.0,53250.0,702000.0,128975.0,459850.0,37.0,400.0,36.0,200.0,5650.0,39150.0
2037,731450.0,922525.0,52150.0,703100.0,129025.0,460000.0,37.0,400.0,36.0,200.0,5075.0,54175.0
2038,729525.0,924275.0,51200.0,704050.0,129050.0,460150.0,37.0,400.0,36.0,200.0,150.0,52925.0
2039,727775.0,925850.0,50275.0,704975.0,129125.0,460250.0,37.0,400.0,36.0,200.0,186150.0,54325.0
2040,726300.0,927225.0,49350.0,705900.0,129150.0,460325.0,37.0,400.0,36.0,200.0,3425.0,52325.0
2041,724500.0,928800.0,48425.0,706825.0,129275.0,460425.0,37.0,400.0,36.0,200.0,158925.0,53275.0
2042,722950.0,930200.0,47675.0,707575.0,129325.0,460525.0,37.0,400.0,36.0,200.0,7700.0,52725.0
2043,721425.0,931600.0,47025.0,708225.0,129375.0,460600.0,37.0,400.0,36.0,200.0,193450.0,52825.0
2044,720175.0,932775.0,46450.0,708800.0,129400.0,460650.0,37.0,400.0,36.0,200.0,157450.0,51150.0
2045,719100.0,933750.0,45700.0,709550.0,129425.0,460725.0,37.0,400.0,36.0,200.0,4850.0,50700.0
2046,718000.0,934825.0,45025.0,710225.0,129425.0,460750.0,37.0,400.0,36.0,200.0,105875.0,53075.0
2047,716875.0,935900.0,44375.0,710875.0,129400.0,460825.0,37.0,400.0,36.0,200.0,195250.0,52150.0
2048,715675.0,937075.0,43650.0,711600.0,129400.0,460850.0,37.0,400.0,36.0,200.0,185000.0,50200.0
2049,714650.0,938100.0,42900.0,712350.0,129400.0,460850.0,37.0,400.0,36.0,200.0,56275.0,50800.0
2050,713750.0,939025.0,42175.0,713075.0,129375.0,460850.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,712950.0,939750.0,41425.0,713825.0,129400.0,460900.0,37.0,400.0,36.0,200.0,0.0,0.0
