'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2020,0.3,32201.0,18708.0,22938.0,9698.0,38960.0,26164.0,10668.0,48424.0,36418.0,18233.0,18123.0,15167.0,11144.0,99940.0,104524.0,102382.0,306846.0
2020,0.2,31412.0,18694.0,22713.0,9860.0,39114.0,26549.0,10652.0,47852.0,36040.0,18300.0,18039.0,15031.0,11119.0,99192.0,103982.0,102201.0,305375.0
2020,0.15,31912.0,18601.0,22848.0,9874.0,38646.0,26212.0,10691.0,48167.0,36476.0,18151.0,18133.0,15233.0,11150.0,99454.0,104486.0,102154.0,306094.0
2020,0.1,32103.0,18745.0,22908.0,9651.0,39536.0,26543.0,10686.0,48143.0,36220.0,18087.0,18061.0,15241.0,11129.0,99734.0,104933.0,102386.0,307053.0
2030,0.3,31717.0,18455.0,23256.0,9860.0,38606.0,26192.0,10661.0,47774.0,36319.0,18221.0,18210.0,15218.0,11099.0,98898.0,104224.0,102466.0,305588.0
2030,0.1,31941.0,19098.0,23210.0,10104.0,38678.0,26445.0,10656.0,47500.0,36257.0,18202.0,18277.0,14967.0,11083.0,99936.0,104111.0,102371.0,306418.0
2030,0.15,32034.0,18740.0,23299.0,9713.0,38556.0,26128.0,10688.0,47878.0,36431.0,18267.0,18139.0,15062.0,11159.0,99228.0,104375.0,102491.0,306094.0
2030,0.2,31868.0,18749.0,22777.0,9905.0,38358.0,26513.0,10657.0,48150.0,36447.0,18441.0,18081.0,14816.0,11135.0,100140.0,103618.0,102139.0,305897.0
2040,0.1,32913.0,18805.0,22974.0,10006.0,38846.0,26631.0,10626.0,47776.0,36226.0,18204.0,18138.0,15162.0,11133.0,100872.0,104349.0,102219.0,307440.0
2040,0.15,31368.0,18631.0,23133.0,9932.0,38676.0,26200.0,10683.0,48603.0,36264.0,18212.0,18137.0,15035.0,11128.0,99426.0,104119.0,102457.0,306002.0
2040,0.2,32018.0,18989.0,23027.0,9934.0,38904.0,26633.0,10632.0,47557.0,36431.0,18317.0,18187.0,15061.0,11104.0,99756.0,104585.0,102453.0,306794.0
2040,0.3,32167.0,18838.0,23164.0,9789.0,38054.0,26096.0,10654.0,47579.0,36344.0,18049.0,17972.0,14815.0,11127.0,99336.0,102759.0,102553.0,304648.0
2050,0.2,63860.0,33820.0,29514.0,13442.0,77592.0,49097.0,11336.0,89913.0,66692.0,31936.0,20167.0,21283.0,11974.0,199314.0,208372.0,112940.0,520626.0
2050,0.3,63883.0,33713.0,29556.0,13346.0,77600.0,49064.0,11352.0,89987.0,66700.0,31894.0,20154.0,21261.0,11947.0,199194.0,208218.0,113045.0,520457.0
2050,0.1,63885.0,33798.0,29550.0,13427.0,77570.0,49059.0,11339.0,89891.0,66624.0,31923.0,20219.0,21326.0,11945.0,199248.0,208380.0,112928.0,520556.0
2050,0.15,63810.0,33721.0,29534.0,13489.0,77634.0,49030.0,11372.0,89944.0,66715.0,31903.0,20215.0,21288.0,11955.0,199344.0,208300.0,112966.0,520610.0
