'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2020,0.15,31764,18657,23030,9782,38658,26258,10678,47852,36543,18259,18112,14788,11114,99680,103698,102117,305495
2020,0.2,32014,18703,22946,9786,39038,26371,10723,47935,36507,17591,17988,15229,11092,99376,104337,102210,305923
2020,0.1,31919,19149,23126,9771,39296,26508,10670,47733,36304,18009,18161,15005,11131,99566,105011,102205,306782
2020,0.3,31846,18671,22995,9725,38904,26544,10663,48027,36636,18354,17931,15196,11062,99796,104435,102323,306554
2030,0.1,32237,18829,23021,9667,39296,26804,10663,48087,36531,18148,18024,15093,11140,100302,105006,102232,307540
2030,0.15,32040,18590,22944,10020,38928,26788,10620,47643,35986,17970,18091,15122,11125,99996,103642,102229,305867
2030,0.2,31968,18828,22920,10080,38624,26545,10712,47772,36425,18269,18065,15170,11099,100008,104166,102303,306477
2030,0.3,31914,18660,23435,9861,38880,26120,10657,48496,36206,18230,18220,15194,11080,99300,105213,102440,306953
2040,0.1,31745,18757,22854,9897,38954,26354,10665,47697,36570,18185,18187,15085,11097,99594,104463,101990,306047
2040,0.3,31602,18596,22945,9870,39186,26420,10635,47762,36820,18014,18061,15044,11061,99330,104434,102252,306016
2040,0.15,31404,18674,22950,9748,38574,26356,10642,48129,36067,18065,18066,15078,11128,98832,103701,102348,304881
2040,0.2,31950,18640,23287,9890,38828,26665,10696,47617,36532,17988,18009,14910,11120,100074,103895,102163,306132
2050,0.1,63887,33823,29556,13442,77552,49034,11341,89989,66565,31984,20204,21303,11956,199314,208446,112876,520636
2050,0.15,63888,33725,29554,13469,77538,49030,11341,90047,66665,31919,20226,21265,11941,199488,208155,112965,520608
2050,0.2,63834,33760,29550,13437,77612,49051,11391,89960,66678,31868,20146,21335,11930,199326,208290,112936,520552
2050,0.3,63852,33803,29564,13416,77628,49022,11374,89959,66735,31860,20179,21289,11913,199284,208375,112935,520594
