'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2020,0.3,32059,18948,23129,10000,38556,26138,10691,47795,36061,18061,18155,14873,11148,99674,103692,102248,305614
2020,0.1,32345,18869,23080,9835,39362,26384,10671,47760,36060,17874,18162,15041,11084,99228,104923,102376,306527
2020,0.15,32181,18329,23118,9806,38606,26801,10705,48658,36350,17981,18164,15115,11070,100890,103756,102238,306884
2020,0.2,31530,18369,22871,9916,39010,26595,10732,48477,36241,17880,18196,15125,11074,99618,104140,102258,306016
2030,0.1,31847,18401,23170,9617,38396,26648,10701,47969,36481,18189,18078,14861,11059,99348,104051,102018,305417
2030,0.15,31677,18909,23078,9883,38792,26219,10712,47628,36119,18205,18162,14909,11085,98904,104082,102392,305378
2030,0.2,31872,18865,23294,9922,39184,26571,10686,47522,36329,17968,18141,14953,11076,99708,104232,102443,306383
2030,0.3,32109,18608,22950,9833,38760,26336,10676,47336,36533,18261,18041,15107,11160,99516,103852,102342,305710
2040,0.15,31731,18870,22728,9880,39056,26195,10711,47972,36617,18201,18153,14921,11084,99858,103873,102388,306119
2040,0.2,32142,18733,23019,10015,38380,26565,10670,48037,35936,17902,18120,15300,11112,99852,103738,102341,305931
2040,0.3,31827,19107,22824,9997,38214,26342,10685,47531,36476,17842,18104,15099,11176,99420,103297,102507,305224
2040,0.1,31895,18679,22804,9864,38786,26258,10720,47458,35699,18024,18244,15124,11090,98730,103727,102188,304645
2050,0.1,63875,33728,29566,13442,77588,49064,11379,90005,66713,31915,20154,21304,11943,199350,208382,112944,520676
2050,0.15,63831,33795,29562,13414,77582,49097,11380,89999,66570,31927,20207,21295,11937,199332,208289,112975,520596
2050,0.2,63756,33686,29550,13430,77686,49047,11379,89977,66649,31859,20197,21331,11922,199074,208498,112897,520469
2050,0.3,63819,33754,29524,13461,77610,49004,11375,89967,66733,31818,20182,21310,11985,199332,208286,112924,520542
