'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt'
2020,0.3,134191.6322,63185.64963,26897.80705,15024.81291,164597.0771,95907.81179,2081.892664,177397.0584,128747.0357,56673.43828,7650.401924,24734.03841,2531.550361,420867.3913,441564.7684,37188.04674,899620.2064
2020,0.1,134722.452,62504.6387,27410.80644,15260.82035,164476.0979,95811.76343,2030.464698,178301.5246,129061.8073,57474.59826,7458.727012,24197.49647,2570.88373,422920.7321,441553.4006,36807.94827,901282.0809
2020,0.15,134281.9495,63086.97134,27137.41656,14847.32661,164532.6885,96049.57968,2030.770225,177269.581,128095.196,56920.93739,7556.42044,24255.49311,2566.763122,421147.9155,440332.3369,37150.84105,898631.0934
2020,0.2,135965.7939,64044.06484,27540.95772,14929.0126,165163.973,95553.98109,1998.782262,176698.4093,127806.2781,57043.5864,7507.236929,24085.88861,2577.792669,421884.2516,441614.7263,37416.7796,900915.7575
2030,0.1,471730.9226,219756.0036,94976.04575,53735.03882,577081.4844,334857.1021,7051.833168,620963.9904,450447.6853,198263.6435,26277.8401,84536.36267,8994.495229,1477907.869,1541061.715,129702.8636,3148672.448
2030,0.15,470595.3758,220496.0993,93994.60646,52388.09172,575185.6752,335972.18,7131.078437,621371.5531,447980.9147,197525.8138,26446.38099,85384.3796,8892.787706,1474513.148,1539375.767,129476.0222,3143364.937
2030,0.2,472820.8769,221240.188,95153.96113,52463.35831,573651.1893,334708.012,7103.389727,619063.5791,446582.3545,199088.4003,26721.36643,84720.86566,8908.764255,1472476.116,1540422.674,129327.5159,3142226.306
2030,0.3,470744.0086,220534.4932,94519.16,52664.21863,575343.2827,335461.3179,7110.278144,619989.9626,449064.1703,198969.8198,27044.75528,84967.91282,8956.774051,1475403.721,1539909.923,130056.509,3145370.154
2040,0.15,796980.6404,372038.1562,158814.2396,88790.69456,969299.7784,567622.3745,11885.17017,1049089.727,755769.2175,333023.3838,44974.38437,143368.0392,15072.94499,2492734.803,2595504.939,218489.0093,5306728.751
2040,0.2,797584.4738,372714.6839,160193.4611,88579.61309,969502.819,564908.5013,11860.48535,1046262.09,753093.8633,335763.672,45199.15068,143152.4509,15074.28572,2486365.241,2599485.119,218039.1903,5303889.55
2040,0.3,794696.0862,371463.9673,159053.9093,89173.79846,969923.9214,566162.8345,11939.14726,1047851.116,755585.4056,334651.0575,45248.81357,143361.0076,14970.39997,2489373.299,2595806.035,218902.1298,5304081.464
2040,0.1,795553.4301,370895.0949,160694.0403,89658.83704,972643.4904,565005.3461,11899.22163,1045968.276,757875.6075,334440.1112,44216.15316,142664.4256,15160.57351,2489024.349,2599430.584,218219.6743,5306674.607
2050,0.1,1080552.775,502538.1633,218535.6875,121607.9189,1318461.23,765804.5844,16292.59127,1419058.326,1027694.283,453974.0431,60173.79964,193658.594,20506.10462,3377517.82,3525138.126,296202.1544,7198858.101
2050,0.15,1080110.053,504004.1588,215519.5218,120959.6521,1315771.067,768995.1618,16138.31594,1421100.298,1025788.719,452444.3985,60937.98516,193977.7844,20403.05266,3380020.865,3519874.858,296254.4447,7196150.168
2050,0.3,1080323.309,503603.0133,215378.3787,120855.332,1315551.139,767745.5354,16123.49225,1419686.636,1024101.916,454194.4612,61409.90747,194780.1622,20325.3065,3377665.904,3519180.937,297231.748,7194078.589
2050,0.2,1082098.129,504342.2761,216519.3755,120086.8102,1315934.873,765403.9177,16125.85971,1419513.275,1022565.263,455123.3972,61423.03525,194420.2287,20438.58097,3371914.229,3526451.05,295629.743,7193995.021
