year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,528450.0,192675.0,36275.0,1742675.0,58575.0,439600.0,34.0,200.0,34.0,80.0,865975.0,166100.0
2016,528450.0,192675.0,36275.0,1748950.0,58575.0,433325.0,34.0,200.0,34.0,80.0,872375.0,164725.0
2017,528450.0,192675.0,36275.0,1750900.0,58575.0,431375.0,34.0,200.0,34.0,80.0,872125.0,165475.0
2018,528450.0,192675.0,36275.0,1751525.0,58575.0,430750.0,34.0,200.0,34.0,80.0,877200.0,162925.0
2019,528450.0,192675.0,36275.0,1751850.0,58575.0,430425.0,34.0,200.0,34.0,80.0,865150.0,163925.0
2020,528450.0,192675.0,36275.0,1751900.0,58575.0,430375.0,34.0,200.0,34.0,80.0,869350.0,165025.0
2021,528450.0,192675.0,36275.0,1751950.0,58575.0,430325.0,34.0,200.0,34.0,80.0,862400.0,164975.0
2022,528450.0,192675.0,36275.0,1751975.0,58575.0,430300.0,34.0,200.0,34.0,80.0,864925.0,163025.0
2023,528450.0,192675.0,36275.0,1751975.0,58575.0,430300.0,34.0,200.0,34.0,80.0,868825.0,163750.0
2024,528450.0,192675.0,36275.0,1751975.0,58575.0,430300.0,34.0,200.0,34.0,80.0,870150.0,162600.0
2025,528450.0,192675.0,36275.0,1751975.0,58575.0,430300.0,34.0,200.0,34.0,80.0,871550.0,161200.0
2026,528450.0,192675.0,36275.0,1751975.0,58575.0,430300.0,34.0,200.0,34.0,80.0,869125.0,160275.0
2027,528450.0,192675.0,36275.0,1751975.0,58575.0,430300.0,34.0,200.0,34.0,80.0,871850.0,162525.0
2028,528450.0,192675.0,36275.0,1751975.0,58575.0,430300.0,34.0,200.0,34.0,80.0,870125.0,161600.0
2029,528450.0,192675.0,36275.0,1751975.0,58575.0,430300.0,34.0,200.0,34.0,80.0,867775.0,163375.0
2015,528300.0,192625.0,36225.0,1743475.0,58500.0,439125.0,33.0,300.0,33.0,200.0,868575.0,163725.0
2015,528175.0,193000.0,36000.0,1743125.0,58475.0,439475.0,33.0,300.0,33.0,200.0,864250.0,165150.0
2015,528150.0,192350.0,35850.0,1744800.0,58400.0,438700.0,33.0,300.0,33.0,200.0,868075.0,162875.0
2015,528050.0,192325.0,35975.0,1744525.0,58425.0,438950.0,33.0,300.0,33.0,200.0,868825.0,164575.0
2016,528050.0,192325.0,35975.0,1750125.0,58425.0,433350.0,33.0,300.0,33.0,200.0,864500.0,164450.0
2017,528050.0,192325.0,35975.0,1752150.0,58425.0,431325.0,33.0,300.0,33.0,200.0,868075.0,162000.0
2018,528050.0,192325.0,35975.0,1752825.0,58425.0,430650.0,33.0,300.0,33.0,200.0,869525.0,163400.0
