year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,808425.0,803650.0,164525.0,610475.0,111525.0,499650.0,37.0,400.0,36.5,180.0,0.0,0.0
2016,768325.0,815100.0,142600.0,640825.0,118225.0,513175.0,37.0,400.0,36.5,180.0,0.0,0.0
2017,735000.0,822150.0,124300.0,662650.0,124250.0,529900.0,37.0,400.0,36.5,180.0,275.0,31375.0
2018,705700.0,827500.0,109225.0,680050.0,129075.0,546700.0,37.0,400.0,36.5,180.0,0.0,8000.0
2019,680550.0,831300.0,97450.0,693350.0,132800.0,562800.0,37.0,400.0,36.5,180.0,135100.0,35850.0
2020,657425.0,833950.0,87800.0,704375.0,135350.0,579350.0,37.0,400.0,36.5,180.0,169150.0,63075.0
2021,637350.0,835150.0,79250.0,713525.0,137375.0,595600.0,37.0,400.0,36.5,180.0,159925.0,49950.0
2022,617700.0,835825.0,72325.0,720900.0,139425.0,612075.0,37.0,400.0,36.5,180.0,175.0,1400.0
2023,598775.0,836250.0,66675.0,726925.0,141075.0,628550.0,37.0,400.0,36.5,180.0,100.0,1475.0
2024,581475.0,836100.0,61725.0,732150.0,143025.0,643775.0,37.0,400.0,36.5,180.0,725.0,975.0
2025,564825.0,835550.0,57375.0,736750.0,144575.0,659175.0,37.0,400.0,36.5,180.0,150.0,950.0
2026,549300.0,834600.0,53450.0,740800.0,145975.0,674125.0,37.0,400.0,36.5,180.0,0.0,300.0
2027,536225.0,833600.0,49975.0,744375.0,146875.0,687200.0,37.0,400.0,36.5,180.0,6550.0,30400.0
2028,522025.0,832450.0,46550.0,747875.0,148150.0,701200.0,37.0,400.0,36.5,180.0,169650.0,39675.0
2029,509400.0,830675.0,43525.0,751025.0,148575.0,715050.0,37.0,400.0,36.5,180.0,375.0,250.0
2030,497700.0,829400.0,41100.0,753525.0,149200.0,727325.0,37.0,400.0,36.5,180.0,325.0,950.0
2031,486575.0,827600.0,38675.0,755975.0,149575.0,739850.0,37.0,400.0,36.5,180.0,3125.0,600.0
2032,475525.0,825800.0,36300.0,758350.0,149700.0,752575.0,37.0,400.0,36.5,180.0,138425.0,38150.0
2033,464625.0,824450.0,34125.0,760525.0,150275.0,764250.0,37.0,400.0,36.5,180.0,0.0,2625.0
2034,454950.0,823500.0,31975.0,762675.0,150400.0,774750.0,37.0,400.0,36.5,180.0,425.0,300.0
2035,445075.0,821700.0,30175.0,764500.0,150675.0,786125.0,37.0,400.0,36.5,180.0,225.0,27125.0
2036,436825.0,820400.0,28575.0,766200.0,150650.0,795600.0,37.0,400.0,36.5,180.0,5650.0,8225.0
2037,429400.0,818575.0,27075.0,767725.0,150650.0,804825.0,37.0,400.0,36.5,180.0,5325.0,18150.0
2038,421500.0,816875.0,25800.0,769000.0,150725.0,814350.0,37.0,400.0,36.5,180.0,175.0,22625.0
2039,413675.0,814475.0,24700.0,770100.0,150825.0,824475.0,37.0,400.0,36.5,180.0,199550.0,40275.0
2040,405750.0,811975.0,23650.0,771175.0,150850.0,834850.0,37.0,400.0,36.5,180.0,7425.0,22175.0
2041,398550.0,810050.0,22700.0,772150.0,150900.0,843900.0,37.0,400.0,36.5,180.0,170000.0,36375.0
2042,391650.0,808100.0,21700.0,773150.0,150425.0,853225.0,37.0,400.0,36.5,180.0,13075.0,34225.0
2043,385450.0,805750.0,20825.0,774025.0,150325.0,861875.0,37.0,400.0,36.5,180.0,211675.0,35800.0
2044,379500.0,804000.0,20000.0,774850.0,150150.0,869750.0,37.0,400.0,36.5,180.0,170300.0,36450.0
2045,373000.0,802050.0,19150.0,775700.0,149850.0,878500.0,37.0,400.0,36.5,180.0,4975.0,19525.0
2046,367075.0,799925.0,18425.0,776425.0,149850.0,886550.0,37.0,400.0,36.5,180.0,113125.0,34350.0
2047,361850.0,797825.0,17775.0,777075.0,149800.0,893925.0,37.0,400.0,36.5,180.0,212450.0,33400.0
2048,356525.0,796075.0,17250.0,777600.0,149575.0,901225.0,37.0,400.0,36.5,180.0,204425.0,32775.0
2049,351200.0,793675.0,16775.0,778075.0,149500.0,909025.0,37.0,400.0,36.5,180.0,65575.0,31575.0
2050,347025.0,791400.0,16275.0,778575.0,149225.0,915750.0,37.0,400.0,36.5,180.0,0.0,0.0
2051,342300.0,789750.0,15925.0,778925.0,149100.0,922250.0,37.0,400.0,36.5,180.0,0.0,0.0
