'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2020,'B2',0.5,14515.926499998233,29845.771499998453,30114.71249999789,8902.569249999815,55351.330749996276,14481.218499998207,12350.349499999322,45961.62499999625,25732.364749997505,20873.545749998484,22851.274999998976,25495.087249998418,13585.832999999808,46736.785499993406,142461.28699999137,128283.98349998667,320061.6092500476
2020,'B2',0.1,14588.893999998229,29911.946999998494,30050.523749997934,8956.079249999819,55335.69599999628,14446.097749998202,12282.265499999334,45796.605749996255,25674.56824999751,21077.466249998455,22843.544749998968,25421.240249998413,13649.905749999805,46915.13224999339,142485.22299999138,127923.24149998676,320034.83425004856
2020,'B2',0.2,14597.763749998216,29905.25399999847,30302.50624999786,8926.22974999982,55641.57399999626,14495.303999998207,12330.269249999325,45949.73924999628,25606.18149999751,21215.368749998448,22837.694499998983,25500.48399999841,13631.195749999812,46812.24999999339,142912.36599999137,128427.4729999867,320939.5647500469
2020,'B2',1.0,14592.45424999822,29852.407749998452,30141.9757499979,8984.926499999818,55614.27274999626,14491.263749998203,12264.428749999328,46042.56874999623,25722.8642499975,21322.125749998457,22870.85274999897,25492.433499998402,13578.845749999798,46891.42224999338,142652.91874999134,128646.53424998665,320971.42025004805
2030,'B2',0.2,15078.73624999812,36663.88160000196,34640.68924999735,9110.909999999803,73118.9071499977,14680.704999998225,12465.837499999347,50331.56019999538,27144.65589999755,25305.67659999811,23051.22449999897,25753.7807499984,13676.183749999815,47766.408499993166,176515.8908999896,133599.50504998706,361022.74845021096
2030,'B2',0.5,15137.197249998106,43205.890999997275,34631.55724999737,9040.923999999799,78289.41399999437,14719.878749998228,12554.854749999333,50843.80574999479,27203.195749997445,25327.95924999813,23052.220999998965,25769.219499998413,13631.962249999817,47854.165999993114,186329.77774999005,136076.2619999858,373408.0805000538
2030,'B2',0.1,15076.365799998126,34648.0555500029,30525.028000000602,7510.840499999921,68740.45065000253,14665.817599998221,10320.674649999499,46419.13470000298,25758.43369999945,21358.71404999961,21599.8735999999,20652.914700001267,11994.254800000857,47571.18954999328,163528.83959998644,115060.08044999724,329270.5582998918
2030,'B2',1.0,15094.23974999813,43309.399499997264,34606.91149999736,9114.593499999806,78291.58724999438,14661.528749998222,12470.790749999323,50836.87899999477,27256.742749997433,25316.3967499981,23033.906999998977,25753.834749998397,13639.01724999981,47857.87349999313,186140.64799999003,136239.4322499858,373385.8285000543
2040,'B2',0.2,15027.840749998159,11576.651052673693,31008.19230000034,7753.649849999964,50835.99727759757,14686.181999998225,10387.596949999504,46005.771176952294,25881.052358462297,20715.591734141854,21731.91204999984,20763.735200001287,12085.980200000853,47544.94944999336,130768.57227076679,107076.38082906796,288460.15289955284
2040,'B2',0.1,14432.306066578414,4150.0914529203,13454.966385211264,1695.7313665989689,30132.86137583405,12686.626663504932,2495.7946893967846,28957.625308955223,18095.344410631606,6669.473665116696,13609.915547298138,2847.5061069153166,4888.686715735233,42114.795658026094,73646.20016678037,35535.75899205595,154116.92975455365
2040,'B2',0.5,15063.806499998163,39745.83580000006,34818.41824999736,9082.5204999998,76113.00304999638,14724.295249998228,12571.300999999366,52496.66874999405,27405.805499997477,24355.257249998253,23052.181999998964,25811.693499998397,13652.057999999819,47809.62074999322,182694.34209999,135261.79999998707,368892.84535015834
2040,'B2',1.0,15040.640999998177,43334.565999997336,34812.511249997355,9117.005249999807,79019.04324999434,14664.884749998222,12517.542499999352,52454.52699999406,27465.94874999743,24461.347499998214,23041.749999998985,25804.24324999839,13655.573499999813,47760.14449999327,187945.12074999016,136584.95924998587,375389.58400004875
2050,'B2',0.1,12369.315622643287,899.7351950711708,2605.7096280618202,236.24738976843645,6478.953439720493,5334.62492508429,634.1812029478174,16833.310959922208,6434.861736756616,1740.5505134751231,2824.521251399951,718.9783449531354,564.7784072943454,25685.46342257799,22842.573499836348,7042.60262019596,57675.76861723971
2050,'B2',0.2,15260.884299998379,1709.7410800006614,15173.54012446477,2445.1171394224916,29375.04519057122,14119.179249999386,2632.0971520947896,29823.362467719242,19684.1453134375,8415.168727466918,14874.441646374928,2947.0172296449273,5254.014392454459,45882.95591860186,74844.60853837349,38016.505875050505,161713.75401349957
2050,'B2',0.5,15478.138999998011,22849.93554427945,34870.74624999735,9162.42949999979,62211.71354379405,14724.295249998228,12883.660149999256,52567.56909999547,27390.94274351092,25593.16544999801,23194.76899999888,24388.937899999753,13566.218649999868,48764.192499992845,158249.96878301707,128713.55529856277,338882.52208165743
2050,'B2',1.0,15482.498499998015,43653.109749997224,34887.31749999734,9193.016749999792,79357.37599999431,14665.945249998222,12862.785499999247,54201.820499993395,27619.89494999738,26027.020499997736,23208.728499998877,25850.256749998392,13662.652499999815,48779.773499992865,190380.24744999016,138357.59649998517,380672.42295004433
