'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt','total_wu'
2020,'B2',0.2,377.9361802434983,15974.595962329766,2858.994191014985,133.90390185349997,29212.960383450896,116.33648056800006,451.27667715899435,2679.2908012109815,1167.5162986079936,7214.143941164682,57.70795932299985,0.0,0.0,970.9710815894915,51169.04976270011,8104.641932636666,60244.662776925485,240515.89999980616
2020,'B2',0.1,430.69049340149746,15971.462498740804,2869.759092625985,140.16110596800016,29330.60327566389,126.03118728200006,450.41862100049485,2586.7219260284814,1154.450634784994,7140.1297769571775,96.39665503049972,0.0,0.0,1044.3269610944906,51220.3466804751,8032.151625914174,60296.82526748307,240539.5999998059
2020,'B2',0.5,416.274338612498,15707.089542771788,2884.2382000559846,132.8085192735,29361.2460029329,145.42060071000006,476.7471420834938,2571.868967016982,1141.8011531294944,6750.570952211157,84.73425478599972,0.0,0.0,994.1028574374916,50696.5703697091,7982.126446437155,59672.79967358294,240660.0999998057
2020,'B2',1.0,400.06403355499776,15654.388849872337,2910.6783092759847,124.61399819599983,29291.879925305904,130.87854063900005,437.9326553274943,2855.3627854429806,1184.4607566019938,7331.396790277687,75.44654568349974,0.0,0.0,967.361997459491,51678.736494027624,7751.004698690644,60397.10319017689,240561.19999980548
2030,'B2',0.1,517.6101252769963,36498.21680731353,3047.532293876517,204.2025481455001,68675.26531973241,350.49134697500045,996.6431381834933,14170.032334658983,5670.875478315961,12781.211143107923,338.4182016289975,0.0,0.0,2468.386340938947,121851.4556656419,18930.656730600924,143250.49873719865,234052.49999976347
2030,'B2',0.2,443.6816889569975,37076.154182439044,3022.1276829315157,198.697782068,69362.40587598766,314.3805863660004,984.9767179289915,13895.58415122148,5704.996728501464,13068.802589533401,256.1308995919991,0.0,0.0,2417.7698709809547,122512.7042177409,19397.464796771932,144327.93888550988,233981.19999976477
2030,'B2',0.5,485.0712805584973,36971.071749310504,3068.2651260165203,203.43382649400002,69336.40712544076,356.65472796800043,1036.9154516979866,13882.165033705945,5521.094153504474,12681.613772686962,278.24567641449835,0.0,0.0,2394.3759257849524,121946.38262688095,19480.179371098937,143820.93792378032,234241.4999997624
2030,'B2',1.0,479.2639801014972,36673.49186658458,3100.8993925770214,186.58759531699963,68422.44904663868,402.14149313800056,988.9044339889938,14329.370800871038,5790.18914726245,12908.456726379884,308.18366657149704,0.0,0.0,2443.2375667464567,121995.127665902,19151.572916748926,143589.93814941376,234082.09999976397
2040,'B2',0.2,1307.0541693454907,59556.818270621676,6445.980156678427,396.3712141594992,107486.23634113565,472.5784344050004,1572.2711542119773,24322.339512915118,10849.758600842486,22865.836648180644,454.58177821149695,0.0,0.0,4945.933939091514,197997.59870764648,32786.293633915535,235729.8262807352,233175.19999974268
2040,'B2',0.1,1414.7781744249853,58936.38880429558,6436.202566505435,446.81450462699866,107616.0171981876,525.8212326290003,1617.8013235089766,24377.063867332716,10870.17238140646,22799.741422695526,562.2886368699984,0.0,0.0,5073.364559291525,198641.66984980972,31888.05570332786,235603.09011251145,233263.4999997408
2040,'B2',0.5,1392.0118471334845,59423.203306482,6484.737859345935,442.8733742719982,108491.00364675376,519.0414111960004,1601.8958193754702,24157.1041401961,10390.342110217023,22615.853642924172,465.0970278724959,0.0,0.0,5004.034667011527,198032.05417840078,32947.075340303585,235983.164185797,233374.7999997417
2040,'B2',1.0,1355.770776146488,59149.229868614995,6398.147769910435,437.71803483849874,108289.39466071405,594.7936606149998,1552.921557295979,24756.524304932438,10687.612760223945,23021.004208600105,561.0932390104977,0.0,0.0,5063.127357597516,199846.69917973888,31894.38430351197,236804.2108409324,233302.89999974138
2050,'B2',0.1,4485.458485804848,114523.32483504331,25094.625347757883,1108.932824995,221909.36983377562,1650.5969893489982,2894.0938237355217,74269.84352494801,22666.00207673542,48360.69627801074,1114.0085373820052,0.0,0.0,12730.390118878066,442848.71490800206,62497.84753034301,518076.95255708037,234062.19999972716
2050,'B2',0.2,4341.628983674924,115508.51954658545,25286.024275549265,1185.679191438499,221576.80204614697,1603.625959473998,2884.180593368026,73430.10971025878,22882.465603975903,48036.43228345414,893.7070231785063,0.0,0.0,12500.20069455545,441229.93232016574,63899.04220207577,517629.1752166444,233986.19999972841
2050,'B2',0.5,4417.7941407243925,115363.338811165,25295.4256283238,1191.8384247359998,221149.3425398246,1713.1144961699981,2841.383064909522,73239.53673784198,22408.37710855818,47073.39610313852,942.3824945175058,0.0,0.0,12630.502455250484,439402.58814086264,63602.83895349406,515635.9295494564,234079.69999972745
2050,'B2',1.0,4197.059681240489,114259.84613651522,25578.845134282783,1223.0627584985023,222345.3188961682,1564.844614255999,2791.266204835526,74975.22038061435,22693.610154257058,48630.077799545725,1163.2664783800074,0.0,0.0,12457.863644924968,444957.9551241775,62006.59946917498,519422.4182381262,234001.19999972777
