year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,807550.0,803350.0,164525.0,610475.0,111425.0,500925.0,37.0,400.0,36.5,180.0,0.0,0.0
2016,768650.0,814250.0,142600.0,640825.0,118625.0,513300.0,37.0,400.0,36.5,180.0,0.0,0.0
2017,735700.0,821525.0,124300.0,662675.0,125425.0,528625.0,37.0,400.0,36.5,180.0,125.0,29025.0
2018,707700.0,825925.0,109225.0,680100.0,130225.0,545075.0,37.0,400.0,36.5,180.0,0.0,7325.0
2019,680600.0,829700.0,97450.0,693375.0,134100.0,563025.0,37.0,400.0,36.5,180.0,135975.0,36625.0
2020,656975.0,831750.0,87800.0,704375.0,136400.0,580950.0,37.0,400.0,36.5,180.0,169225.0,65100.0
2021,636000.0,833000.0,79250.0,713525.0,138825.0,597650.0,37.0,400.0,36.5,180.0,159350.0,47075.0
2022,615575.0,834300.0,72325.0,720900.0,140975.0,614175.0,37.0,400.0,36.5,180.0,25.0,1500.0
2023,597500.0,835275.0,66675.0,726925.0,142575.0,629300.0,37.0,400.0,36.5,180.0,125.0,1550.0
2024,579950.0,836025.0,61725.0,732150.0,144000.0,644400.0,37.0,400.0,36.5,180.0,525.0,950.0
2025,563975.0,836050.0,57375.0,736750.0,145050.0,659050.0,37.0,400.0,36.5,180.0,50.0,1325.0
2026,549950.0,834625.0,53450.0,740800.0,145850.0,673575.0,37.0,400.0,36.5,180.0,0.0,500.0
2027,535675.0,833475.0,49975.0,744375.0,146675.0,688075.0,37.0,400.0,36.5,180.0,6250.0,29975.0
2028,521975.0,831925.0,46550.0,747875.0,147600.0,702325.0,37.0,400.0,36.5,180.0,166125.0,38050.0
2029,508275.0,830800.0,43525.0,751025.0,148400.0,716225.0,37.0,400.0,36.5,180.0,325.0,275.0
2030,495900.0,830050.0,41100.0,753525.0,148675.0,729000.0,37.0,400.0,36.5,180.0,250.0,1100.0
2031,484775.0,828250.0,38675.0,755975.0,148750.0,741825.0,37.0,400.0,36.5,180.0,2725.0,750.0
2032,473950.0,826850.0,36300.0,758350.0,148950.0,753850.0,37.0,400.0,36.5,180.0,140250.0,38800.0
2033,462900.0,825750.0,34125.0,760525.0,149175.0,765775.0,37.0,400.0,36.5,180.0,0.0,2100.0
2034,452775.0,824325.0,31975.0,762675.0,149400.0,777100.0,37.0,400.0,36.5,180.0,375.0,375.0
2035,443050.0,822700.0,30175.0,764500.0,149825.0,788000.0,37.0,400.0,36.5,180.0,175.0,24650.0
2036,433800.0,821525.0,28575.0,766200.0,150100.0,798050.0,37.0,400.0,36.5,180.0,5550.0,8350.0
2037,424725.0,820275.0,27075.0,767725.0,150175.0,808275.0,37.0,400.0,36.5,180.0,5575.0,17700.0
2038,415825.0,819200.0,25800.0,769000.0,150150.0,818275.0,37.0,400.0,36.5,180.0,175.0,24025.0
2039,407650.0,817350.0,24700.0,770100.0,150250.0,828200.0,37.0,400.0,36.5,180.0,203975.0,39800.0
2040,400250.0,815450.0,23650.0,771175.0,150225.0,837500.0,37.0,400.0,36.5,180.0,6650.0,23700.0
2041,392825.0,812775.0,22700.0,772150.0,150325.0,847475.0,37.0,400.0,36.5,180.0,166925.0,37250.0
2042,386000.0,810800.0,21700.0,773150.0,150375.0,856225.0,37.0,400.0,36.5,180.0,11575.0,32675.0
2043,379675.0,808575.0,20825.0,774025.0,150400.0,864750.0,37.0,400.0,36.5,180.0,213750.0,36525.0
2044,373350.0,806625.0,20000.0,774850.0,150300.0,873125.0,37.0,400.0,36.5,180.0,171025.0,33725.0
2045,367150.0,804950.0,19150.0,775700.0,150425.0,880875.0,37.0,400.0,36.5,180.0,5475.0,20675.0
2046,360875.0,802900.0,18425.0,776425.0,150525.0,889100.0,37.0,400.0,36.5,180.0,112450.0,32700.0
2047,355600.0,800825.0,17775.0,777075.0,150600.0,896375.0,37.0,400.0,36.5,180.0,212050.0,32800.0
2048,350475.0,799250.0,17250.0,777600.0,150550.0,903125.0,37.0,400.0,36.5,180.0,207925.0,33400.0
2049,345625.0,796675.0,16775.0,778075.0,150550.0,910550.0,37.0,400.0,36.5,180.0,66300.0,30875.0
2050,340800.0,794575.0,16275.0,778600.0,150775.0,917225.0,37.0,400.0,36.5,180.0,0.0,0.0
2051,335650.0,792800.0,15925.0,778975.0,150900.0,924000.0,37.0,400.0,36.5,180.0,0.0,0.0
