'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2020,'M1',0.1,14580.524499998219,29639.64824999849,29997.836749997914,8877.630999999828,55609.40349999626,14441.536999998201,12304.517499999334,46097.40399999625,25742.724749997513,20943.457749998484,22836.42274999898,25508.066749998405,13581.990249999806,46835.94324999339,142613.51549999134,128007.39924998675,320161.1647500468
2020,'M1',1.0,14547.653749998222,29221.10749999853,30090.216249997902,8882.173749999829,55339.93549999628,14515.87574999821,12386.229249999311,46063.25074999625,25739.756249997507,21093.023499998468,22856.79474999897,25508.664749998406,13546.176249999804,46823.06199999339,142052.36574999144,128190.3312499867,319790.8580000472
2020,'M1',0.2,14581.645499998227,29569.99849999851,30185.68449999789,8901.101249999821,55459.09124999627,14474.504749998197,12344.001749999326,46158.054999996224,25705.251749997504,20926.96374999847,22816.911249998982,25439.76449999841,13641.716499999813,46824.42524999337,142564.13649999135,128035.58349998674,320204.69025004713
2020,'M1',0.5,14564.186999998248,29825.416749998494,30181.779999997907,8901.01124999983,55997.71474999624,14482.458749998197,12348.185499999334,46149.42849999622,25715.718499997514,20921.922249998475,22850.005749998978,25472.18749999841,13573.678249999808,46818.01149999339,143520.5807499913,127871.48824998675,320983.694750047
2030,'M1',0.2,15075.230749998118,39554.92600000011,34617.88999999737,9035.200749999804,75355.54044999636,14683.281999998222,12497.40899999934,50925.45474999477,27217.66339999745,25278.02249999813,23011.697249998986,25741.75874999841,13684.306249999818,47786.91524999314,180748.62744999025,134994.96439998696,366678.3818501659
2030,'M1',1.0,15051.670749998128,43063.61349999729,34618.87624999735,9078.155499999802,78379.15974999437,14739.107749998226,12536.562249999331,50884.35449999479,27252.89174999744,25326.752749998122,23041.796499998967,25747.286249998397,13586.36774999981,47850.08274999313,186162.78824999003,136145.84949998584,373306.5952500525
2030,'M1',0.1,15127.167749998118,34634.67135000292,31803.978899999445,8725.384949999887,69794.4538000012,14665.38449999822,10914.082299999442,47582.44035000069,26362.73469999902,22435.29329999954,22106.69484999969,20925.62490000136,12470.301350000786,47882.831749993136,167416.40469998703,119117.73559999537,337548.2129999808
2030,'M1',0.5,15096.543999998117,43124.546499997276,34624.65449999737,9061.921249999803,78348.19499999438,14674.790499998217,12500.808499999348,50894.27899999477,27232.989749997436,25283.765499998113,23013.338999998985,25743.519999998407,13632.708499999815,47815.15874999314,186231.23874999004,136037.78974998582,373232.0620000537
2040,'M1',0.2,15040.214999998168,22150.633172793503,33693.610949997754,8963.918249999795,60572.8480860764,14688.758999998221,11802.176999999385,50019.56064999855,27216.41025434835,23171.335649998644,22730.8242999992,22427.04160000139,13135.362800000186,47764.83724999323,152270.75583058567,122462.49648263206,325612.6967132051
2040,'M1',0.1,14807.979599998629,4195.14949643878,18411.51038401517,6051.043081861121,35163.66806808624,13855.948349999648,4448.871628821722,33272.07037152156,21093.59654001655,10377.768020484446,16098.738850882113,3586.1611451706617,6791.060971753474,45118.394104523075,89244.03817252825,50852.15926308892,188153.56650894604
2040,'M1',1.0,15077.49024999817,43088.79399999736,34794.121999997355,9095.785749999806,79128.81474999433,14749.542749998227,12581.923749999356,52470.48049999406,27463.102999997438,24331.59399999824,23038.056499998973,25807.05624999839,13613.542499999814,47881.68199999322,187732.28524999018,136520.0484999859,375240.306000049
2040,'M1',0.5,15056.617749998171,43133.49524999735,34793.281999997365,9089.176749999811,79099.47724999434,14682.746499998217,12591.754999999355,52504.976999994054,27449.90724999744,24358.08074999825,23059.550249998967,25803.405749998397,13649.264749999818,47819.73599999324,187915.81124999016,136416.03724998588,375271.73625004926
2050,'M1',0.2,15455.472499998032,3342.8149112286474,29810.75036942789,8620.677268328136,42806.75244920391,14692.298499998222,9416.863284177687,42482.37419398039,26621.534106988278,20491.199798804948,21805.141939369925,10559.507050134225,11109.662155396587,48758.791999992856,114457.98441366976,90868.80822580736,257215.04852696604
2050,'M1',1.0,15458.99524999802,43398.56574999725,34878.24174999734,9159.773749999793,79462.3822499943,14750.603249998227,12912.273499999254,54237.62174999339,27606.988249997386,26084.96524999774,23191.60649999888,25845.589249998393,13617.081999999815,48820.51624999287,190384.41524999012,138244.9514999852,380604.6885000451
2050,'M1',0.1,14144.145785969926,899.1626290527327,4546.407017743016,683.1292567993438,14272.325350698457,10961.229154107692,932.2972528700647,18839.74794037569,11332.703820919687,2178.5532702633363,5668.935371993278,786.0171882228697,780.6597729909222,36051.23281553989,35033.54549726694,12381.29955233966,86025.3138120664
2050,'M1',0.5,15458.484499998018,43453.21299999724,34883.805999997356,9181.386499999795,79436.1827499943,14682.746499998217,12900.021249999265,54257.86924999339,27627.31074999738,26064.29249999774,23199.93549999888,25831.721749998393,13651.662999999819,48777.522749992866,190508.67424999012,138187.63074998523,380628.63325004495
