'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt','total_wu'
2020,'M1',0.1,543.9777777303304,15898.388218170921,2915.9933131210228,210.17309907974573,27704.545883700648,123.7629094006251,769.6995240344903,2708.6294819818577,1170.6605624608649,6844.896389842069,212.42515251900235,0.0,0.0,1371.1170456303544,48066.51784381698,9266.494976937385,59103.15231202133,237755.29999984373
2020,'M1',1.0,539.273985686261,16196.178033133887,2855.455247028884,204.9987820476058,27961.212085771174,122.8382322596251,756.4344297073253,2691.6621811323234,1172.3954255068256,6623.658187527069,205.9503035515372,0.0,0.0,1373.0569902766588,48446.93801956584,9134.896701082671,59330.05689333225,237747.09999984383
2020,'M1',0.2,528.369973112725,15859.29491634857,2799.5454122367446,187.54186934088085,28135.28379697203,117.9446145697801,748.9238734999146,2583.5706451248943,1187.313844537799,6798.408982549854,205.9501029751923,0.0,0.0,1321.1708330448698,48220.304686886244,9241.735352783458,59152.148031248136,237744.89999984394
2020,'M1',0.5,542.0841507082952,15549.885207963855,2777.5147563144,193.49210926955564,27234.612812723222,98.38312854640006,712.6308696124959,2655.7680821044028,1201.8810779334449,6758.841941436605,215.4424403815373,0.0,0.0,1366.5304194492746,47052.46290210934,9166.369319761783,57940.53657697532,237740.7999998439
2030,'M1',0.2,2045.6366577881386,37134.724495917486,3231.456203217829,481.0170992468828,65207.61852277067,304.1951817828149,2671.8118389042934,13856.98301718698,6149.399763924342,15940.148408151003,894.664343479842,0.0,0.0,5687.531646734738,114630.14379290733,26987.75848969557,147917.65553222896,227673.9999998372
2030,'M1',1.0,2033.269741080678,37282.1607157952,3264.9106557389814,483.74598969510805,65186.1826982169,322.54444274801494,2701.7715991908617,14012.24853411118,5858.985332658844,15661.728197034476,923.6799324237074,0.0,0.0,5751.921850773971,114604.77338909954,26759.893292715515,147731.22783855407,227657.09999983705
2030,'M1',0.1,2064.281066096256,37425.27646569274,3338.52905474764,494.0588052587484,64546.09235036829,296.40813548274485,2697.162790795271,14362.662031460795,5811.326195262628,15879.777941188919,919.129653339152,0.0,0.0,5750.248211858881,114406.68661332128,27093.741567856054,147834.7044895533,227675.49999983734
2030,'M1',0.5,2069.7890409482357,36508.83785631137,3211.677513131019,472.16562965205713,64599.53161471757,258.3319961622949,2708.061492139171,13954.97077273255,5764.119384248008,15779.137281989933,900.3835824046865,0.0,0.0,5706.0851144435865,113373.22433538573,26581.588325586774,146227.00616430014,227669.29999983736
2040,'M1',0.2,4199.120965427935,59576.85720535142,6611.45254667611,967.1302525271727,101923.41476908619,457.39693860250554,4466.444542569886,23687.260757018597,11463.73988344742,26615.005271298116,1445.9862361139524,0.0,0.0,10844.678527842058,184811.21246231117,44642.58676912475,241413.8093679208,223961.8999998351
2040,'M1',0.1,4093.429084102451,59925.59599543168,6991.624066664116,1024.575322116753,101651.25749829724,468.7813838417105,4452.6066121453905,24515.922425188244,11296.721066913795,26097.82660736031,1515.4179781188413,0.0,0.0,10911.086112630714,186042.325276274,43909.73377959988,242033.75803998392,224677.4999998402
2040,'M1',1.0,4096.542492210606,59594.92561129557,6672.365202674843,1005.615880353389,102034.61190694729,468.8101647783006,4510.656851337211,24101.50426708862,11245.083183757954,26295.340278463227,1505.9067490549623,0.0,0.0,10852.087058677516,185108.36856181076,44368.191832769284,241531.36258776346,223821.1999998347
2040,'M1',0.5,4101.939549142001,58513.17597924625,6565.9437887844315,984.2568832696123,101416.55403168987,419.51693490479045,4507.573071965829,24160.12359980471,11043.049296258887,26347.586236433875,1461.7256639392965,0.0,0.0,10804.951581010475,183508.85324057905,44173.89652406379,239521.44503524396,223836.29999983494
2050,'M1',0.2,7533.110178408744,114003.30701277412,25098.977566463393,1981.2441101975808,208581.57746521916,1597.89027165971,6427.663268416694,64326.667975240816,23328.19406404604,49532.50240216722,2228.946294737785,0.0,0.0,19956.822498300473,403673.785540296,77667.05380757026,504640.0806097793,222508.79999983785
2050,'M1',1.0,7431.5667490687465,115569.44249118838,25364.187021433343,1952.4130758032677,210514.50594651804,1507.9312551380308,6467.9704315389035,64442.82508877534,23365.93438786465,49364.898449753164,2350.6077040070577,0.0,0.0,19803.782014850563,406645.424155331,78379.57368629408,508332.28260154993,221971.29999983337
2050,'M1',0.1,7427.474005190542,114162.10178175574,25763.17289400174,2026.8614491023998,210398.4386801816,1568.357609513326,6023.115178376288,64569.29102179209,22668.749548933887,48856.85192089274,2145.0737809673365,0.0,0.0,20083.490040859244,408095.81817582593,73784.62714127812,505609.48787116335,223268.49999984974
2050,'M1',0.5,7352.119037612501,113818.92417701051,25456.29612925938,1852.873652082096,209413.90129042242,1536.1452481766669,6485.090594031293,64436.8051245336,22795.293449595574,49890.0494423981,2240.502378785125,0.0,5.772643160180001,19682.925441284344,404581.2534725437,77581.88371147406,505283.77316753124,221982.19999983342
