year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2020,646375.0,838400.0,87800.0,704375.0,167550.0,553750.0,37.0,400.0,36.5,180.0,168075.0,61900.0
2030,434500.0,858600.0,41100.0,753525.0,253100.0,657425.0,37.0,400.0,36.5,180.0,150.0,550.0
2040,310475.0,862000.0,23650.0,771175.0,295900.0,735050.0,37.0,400.0,36.5,180.0,7200.0,20650.0
2050,232425.0,856950.0,16275.0,778575.0,327525.0,786500.0,37.0,400.0,36.5,180.0,0.0,0.0
2015,808625.0,803875.0,164525.0,610475.0,111375.0,499375.0,37.0,400.0,36.5,180.0,0.0,0.0
2016,768100.0,814575.0,142600.0,640825.0,118550.0,513600.0,37.0,400.0,36.5,180.0,0.0,0.0
2017,735250.0,822325.0,124300.0,662650.0,124700.0,529025.0,37.0,400.0,36.5,180.0,275.0,29625.0
2018,706025.0,827325.0,109225.0,680050.0,129750.0,545875.0,37.0,400.0,36.5,180.0,0.0,8075.0
2019,679350.0,830925.0,97450.0,693350.0,133350.0,563825.0,37.0,400.0,36.5,180.0,133700.0,37800.0
2020,646925.0,840300.0,87800.0,704375.0,167550.0,551300.0,37.0,400.0,36.5,180.0,167950.0,60150.0
2021,615075.0,844400.0,79250.0,713550.0,188525.0,557450.0,37.0,400.0,36.5,180.0,156825.0,47525.0
2022,588025.0,847150.0,72325.0,720925.0,202325.0,567500.0,37.0,400.0,36.5,180.0,225.0,1400.0
2023,564250.0,849625.0,66675.0,726950.0,210675.0,580075.0,37.0,400.0,36.5,180.0,225.0,975.0
2024,541500.0,852050.0,61725.0,732175.0,218050.0,592750.0,37.0,400.0,36.5,180.0,600.0,550.0
2025,521225.0,854300.0,57375.0,736775.0,224400.0,604175.0,37.0,400.0,36.5,180.0,50.0,875.0
2026,502100.0,856075.0,53450.0,740825.0,230300.0,615500.0,37.0,400.0,36.5,180.0,0.0,325.0
2027,484775.0,857725.0,49975.0,744400.0,235900.0,625475.0,37.0,400.0,36.5,180.0,6150.0,27525.0
2028,467625.0,859025.0,46550.0,747900.0,241000.0,636150.0,37.0,400.0,36.5,180.0,169275.0,36800.0
2029,451025.0,860450.0,43525.0,751050.0,245800.0,646400.0,37.0,400.0,36.5,180.0,400.0,100.0
2030,434025.0,862200.0,41100.0,753550.0,251200.0,656175.0,37.0,400.0,36.5,180.0,300.0,525.0
2031,418000.0,863675.0,38675.0,756000.0,256175.0,665725.0,37.0,400.0,36.5,180.0,2525.0,575.0
2032,403250.0,864225.0,36300.0,758375.0,260875.0,675225.0,37.0,400.0,36.5,180.0,142250.0,34475.0
2033,389400.0,865225.0,34125.0,760550.0,265000.0,683950.0,37.0,400.0,36.5,180.0,0.0,2400.0
2034,375700.0,866225.0,31975.0,762700.0,269175.0,692475.0,37.0,400.0,36.5,180.0,425.0,200.0
2035,363275.0,866400.0,30175.0,764525.0,273450.0,700425.0,37.0,400.0,36.5,180.0,50.0,24350.0
2036,351000.0,867075.0,28575.0,766225.0,277150.0,708225.0,37.0,400.0,36.5,180.0,5550.0,6225.0
2037,339325.0,867400.0,27075.0,767750.0,280400.0,716300.0,37.0,400.0,36.5,180.0,6050.0,15300.0
2038,328475.0,868325.0,25800.0,769025.0,283675.0,722950.0,37.0,400.0,36.5,180.0,125.0,20875.0
2039,318375.0,868650.0,24700.0,770125.0,286500.0,729900.0,37.0,400.0,36.5,180.0,201800.0,36275.0
2040,308450.0,868825.0,23650.0,771200.0,289725.0,736400.0,37.0,400.0,36.5,180.0,6650.0,21450.0
2041,299800.0,868775.0,22700.0,772175.0,292800.0,742000.0,37.0,400.0,36.5,180.0,172475.0,33875.0
2042,290275.0,868600.0,21700.0,773175.0,296075.0,748425.0,37.0,400.0,36.5,180.0,12525.0,31600.0
2043,281525.0,868825.0,20825.0,774050.0,299150.0,753875.0,37.0,400.0,36.5,180.0,213050.0,32150.0
2044,273700.0,868675.0,20000.0,774875.0,302250.0,758750.0,37.0,400.0,36.5,180.0,167750.0,30400.0
2045,266100.0,867975.0,19150.0,775725.0,305375.0,763925.0,37.0,400.0,36.5,180.0,5875.0,17375.0
2046,258625.0,868025.0,18425.0,776450.0,307950.0,768775.0,37.0,400.0,36.5,180.0,110450.0,28575.0
2047,252100.0,867800.0,17775.0,777100.0,310725.0,772750.0,37.0,400.0,36.5,180.0,219350.0,28825.0
2048,245900.0,867150.0,17250.0,777625.0,313175.0,777150.0,37.0,400.0,36.5,180.0,206125.0,28100.0
2049,239925.0,866825.0,16775.0,778100.0,315275.0,781350.0,37.0,400.0,36.5,180.0,66475.0,27125.0
2050,234575.0,866650.0,16275.0,778600.0,317250.0,784900.0,37.0,400.0,36.5,180.0,0.0,0.0
2051,229175.0,866575.0,15925.0,778950.0,319100.0,788525.0,37.0,400.0,36.5,180.0,0.0,0.0
