'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2020,'B1',0.1,13442.0,25707.0,26306.0,8248.0,49313.0,13626.0,11220.0,40857.0,20530.0,19694.0,21020.0,24838.0,13905.0,38987.0,129547.0,120172.0,288706.0
2020,'B1',0.2,13392.0,25914.0,26535.0,8233.0,49558.0,13575.0,11351.0,41044.0,20444.0,19477.0,20941.0,25125.0,13934.0,38915.0,130131.0,120477.0,289523.0
2020,'B1',0.5,13269.0,26058.0,26515.0,8216.0,49608.0,13633.0,11252.0,40728.0,20584.0,19518.0,20917.0,25110.0,13774.0,38806.0,130371.0,120005.0,289182.0
2020,'B1',1.0,13250.0,25879.0,26691.0,8255.0,50223.0,13649.0,11271.0,40735.0,20272.0,19474.0,20967.0,25129.0,13763.0,38807.0,130445.0,120306.0,289558.0
2030,'B1',1.0,15055.0,38084.0,30953.0,8946.0,71828.0,15340.0,12115.0,47255.0,23402.0,26699.0,21878.0,28081.0,16051.0,41559.0,175412.0,138716.0,355687.0
2030,'B1',0.1,15170.0,38207.0,31005.0,8908.0,71546.0,15411.0,12057.0,47868.0,22975.0,27010.0,21921.0,27959.0,16145.0,41750.0,175853.0,138579.0,356182.0
2030,'B1',0.5,15120.0,38208.0,30920.0,8921.0,71807.0,15303.0,12104.0,47320.0,23275.0,26704.0,21881.0,28125.0,16123.0,41623.0,175550.0,138638.0,355811.0
2030,'B1',0.2,15162.0,38185.0,30938.0,8940.0,71772.0,15318.0,12158.0,47438.0,23245.0,26753.0,21794.0,28111.0,16155.0,41735.0,175377.0,138857.0,355969.0
2040,'B1',0.1,15697.0,38665.0,31867.0,9337.0,72128.0,16685.0,12305.0,49729.0,23870.0,25283.0,22679.0,29842.0,17381.0,42722.0,177172.0,145574.0,365468.0
2040,'B1',1.0,15664.0,38708.0,31247.0,9412.0,73021.0,16767.0,12343.0,49080.0,24769.0,26881.0,22325.0,29934.0,17193.0,42743.0,178809.0,145792.0,367344.0
2040,'B1',0.5,15917.0,38866.0,31246.0,9300.0,72893.0,16627.0,12282.0,49170.0,24607.0,26797.0,22285.0,29867.0,17339.0,43006.0,178797.0,145393.0,367196.0
2040,'B1',0.2,15831.0,38753.0,31263.0,9358.0,72954.0,16712.0,12394.0,49657.0,24463.0,26383.0,22285.0,29870.0,17454.0,42914.0,178567.0,145896.0,367377.0
2050,'B1',1.0,16293.0,39346.0,31402.0,9717.0,73744.0,17756.0,12448.0,50329.0,25633.0,30064.0,22550.0,30777.0,17815.0,44262.0,182934.0,150678.0,377874.0
2050,'B1',0.2,16519.0,39401.0,31919.0,9644.0,73752.0,17641.0,12495.0,51002.0,25150.0,30471.0,22667.0,30740.0,17965.0,44327.0,184237.0,150802.0,379366.0
2050,'B1',0.1,16059.0,39302.0,31997.0,9666.0,72597.0,17068.0,12370.0,50696.0,24405.0,29158.0,22898.0,30778.0,17930.0,42884.0,181341.0,150699.0,374924.0
2050,'B1',0.5,16687.0,39871.0,31397.0,9595.0,73726.0,17570.0,12397.0,50403.0,25629.0,30110.0,22510.0,30728.0,17914.0,44611.0,183444.0,150482.0,378537.0
